date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,268.31,273.7,265.83,273.25,32755731,64.8379797463,66.1404906882,64.238679721,66.031746732,131022924,0.0,1.0
2020-04-14,280.0,288.25,278.05,287.05,48748672,67.6629060749,69.6565452717,67.1916822647,69.3665613886,194994688,0.0,1.0
2020-04-15,282.4,286.33,280.63,284.43,32788641,68.2428738412,69.1925710586,67.8151476136,68.7334299103,131154564,0.0,1.0
2020-04-16,287.38,288.2,282.35,286.69,39281290,69.4463069564,69.6444626099,68.2307911794,69.2795662236,157125160,0.0,1.0
2020-04-17,284.69,286.95,276.86,282.8,53812478,68.7962597516,69.342396065,66.9041149139,68.3395351356,215249912,0.0,1.0
2020-04-20,277.95,281.68,276.85,276.93,32503750,67.1675169411,68.0688835113,66.9016983815,66.9210306404,130015000,0.0,1.0
2020-04-21,276.28,277.25,265.43,268.37,45247893,66.763956037,66.9983596759,64.1420184266,64.8524789404,180991572,0.0,1.0
2020-04-22,273.61,277.9,272.2,276.1,29264342,66.118741897,67.1554342793,65.7780108342,66.7204584546,117057368,0.0,1.0
2020-04-23,275.87,281.75,274.87,275.03,31203582,66.6648782103,68.0857992379,66.4232249743,66.4618894921,124814328,0.0,1.0
2020-04-24,277.2,283.01,277.0,282.97,31627183,66.9862770141,68.3902823152,66.9379463669,68.3806161857,126508732,0.0,1.0
2020-04-27,281.8,284.54,279.95,283.17,29271893,68.0978818997,68.7600117662,67.6508234131,68.4289468329,117087572,0.0,1.0
2020-04-28,285.08,285.83,278.2,278.58,28001187,68.8905045137,69.0717444407,67.2279302501,67.3197584798,112004748,0.0,1.0
2020-04-29,284.73,289.67,283.89,287.73,34320204,68.8059258811,69.9996928668,68.6029371629,69.530885589,137280816,0.0,1.0
2020-04-30,289.96,294.53,288.35,293.8,45765968,70.0697723053,71.1741275937,69.6807105953,70.9977207314,183063872,0.0,1.0
2020-05-01,286.25,299.0,285.85,289.07,60154175,69.1732387998,72.2543175585,69.0765775054,69.8547009252,240616700,0.0,1.0
2020-05-04,289.17,293.69,286.32,293.16,33391986,69.8788662488,70.9711388755,69.1901545263,70.8430626604,133567944,0.0,1.0
2020-05-05,295.06,301.0,294.46,297.56,36937795,71.3022038088,72.7376240305,71.1572118672,71.9063368987,147751180,0.0,1.0
2020-05-06,300.46,303.24,298.87,300.63,35583438,72.6071312831,73.2789272791,72.2229026379,72.6482123332,142333752,0.0,1.0
2020-05-07,303.22,305.17,301.97,303.74,28803764,73.2740942144,73.7453180245,72.9720276694,73.3997538971,115215056,0.0,1.0
