date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,216.98,219.18,215.15,218.27,2168055,180.4548146486,182.284479098,178.932866493,181.5276633485,2168055,0.0,1.0
2020-04-14,221.01,228.32,220.25,226.8,3028974,183.8064272536,189.8859032195,183.174361353,188.6217714182,3028974,0.0,1.0
2020-04-15,224.99,225.51,219.31,221.8,3107124,187.1164565757,187.5489227183,182.3925956337,184.4634431241,3107124,0.0,1.0
2020-04-16,225.0,232.1,223.22,230.9,2617328,187.1247732323,193.0295994099,185.6444083596,192.0316006193,2617328,0.0,1.0
2020-04-17,236.83,236.99,229.22,234.97,2864273,196.963377976,197.0964444814,190.6344023125,195.4164798506,2864273,0.0,1.0
2020-04-20,234.2,239.56,232.39,236.6,2824060,194.7760972934,199.2338252246,193.2707824509,196.7720948745,2824060,0.0,1.0
2020-04-21,235.0,235.77,229.0,230.75,2672870,195.4414298204,196.0818123777,190.4514358675,191.9068507705,2672870,0.0,1.0
2020-04-22,233.35,234.0,227.59,229.29,2845168,194.0691814834,194.6097641616,189.2787872886,190.6926189086,2845168,0.0,1.0
2020-04-23,229.09,235.65,228.88,232.49,3226457,190.5262857768,195.9820124986,190.3516359885,193.3539490168,3226457,0.0,1.0
2020-04-24,234.04,236.93,230.8,236.28,1946281,194.6430307879,197.0465445419,191.9484340534,196.5059618637,1946281,0.0,1.0
2020-04-27,236.63,243.0,235.0,242.43,2472687,196.7970448443,202.0947550909,195.4414298204,201.6207056654,2472687,0.0,1.0
2020-04-28,243.0,244.95,236.86,237.67,2548919,202.0947550909,203.7165031256,196.9883279458,197.6619771294,2548919,0.0,1.0
2020-04-29,238.9,239.31,235.24,235.69,3365329,198.6849258898,199.0259088099,195.6410295785,196.015279125,3365329,0.0,1.0
2020-04-30,236.02,240.07,231.91,239.22,5704522,196.2897287924,199.6579747106,192.8715829347,198.9510589006,5704522,0.0,1.0
2020-05-01,233.0,237.05,228.0,230.98,3045498,193.7780985028,197.146344421,189.6197702087,192.098133872,3045498,0.0,1.0
2020-05-04,232.44,232.92,228.1,230.91,2035913,193.3123657338,193.7115652501,189.7029367746,192.0399172759,2035913,0.0,1.0
2020-05-05,231.28,237.98,229.17,236.36,1975551,192.3476335696,197.9197934837,190.5928190295,196.5724951164,1975551,0.0,1.0
2020-05-06,237.31,239.68,235.69,236.59,1980563,197.3625774923,199.3336251036,196.015279125,196.7637782179,1980563,0.0,1.0
2020-05-07,236.9,237.97,232.1,233.33,2451212,197.0215945721,197.9114768271,193.0295994099,194.0525481702,2451212,0.0,1.0
2020-05-08,234.95,235.73,231.6,234.82,1534384,195.3998465375,196.0485457513,192.6137665804,195.2917300018,1534384,0.0,1.0
2020-05-11,233.07,243.49,232.51,242.74,2163904,193.8363150989,202.5022712637,193.37058233,201.8785220196,2163904,0.0,1.0
2020-05-12,242.68,244.5,237.05,237.21,2240986,201.8286220801,203.3422535791,197.146344421,197.2794109264,2240986,0.0,1.0
2020-05-13,235.22,243.94,235.22,236.83,2292659,195.6243962653,202.8765208102,195.6243962653,196.963377976,2292659,0.0,1.0
2020-05-14,235.95,238.97,233.8,237.98,3322788,196.2315121963,198.7431424859,194.4434310298,197.9197934837,3322788,0.0,1.0
2020-05-15,234.43,240.43,233.89,240.2,3111458,196.2660806806,201.2893135607,195.8139897214,201.0967563003,3111458,1.6,1.0
2020-05-18,243.66,244.39,231.8,233.19,5631628,203.9934872612,204.6046472616,194.0642302682,195.2279458854,5631628,0.0,1.0
2020-05-19,232.64,233.44,227.17,227.43,3835753,194.7674828714,195.4372472554,190.1879688957,190.4056423205,3835753,0.0,1.0
2020-05-20,229.27,230.12,225.64,227.87,3714620,191.9461004037,192.6577250617,188.9070445113,190.7740127317,3714620,0.0,1.0
2020-05-21,228.11,228.24,224.0,224.78,2377709,190.9749420469,191.0837787593,187.534027524,188.1870477984,2377709,0.0,1.0
2020-05-22,224.17,226.77,223.61,226.43,2334329,187.6763524556,189.8530867037,187.2075173868,189.5684368405,2334329,0.0,1.0
2020-05-26,227.53,228.35,221.73,222.4,2397794,190.4893628685,191.1758713621,185.6335710844,186.194498756,2397794,0.0,1.0
2020-05-27,222.32,225.13,217.47,224.81,2932075,186.1275223176,188.4800697164,182.0670757395,188.2121639628,2932075,0.0,1.0
2020-05-28,226.26,226.62,222.25,224.13,2591060,189.4261119089,189.7275058817,186.068917934,187.6428642364,2591060,0.0,1.0
2020-05-29,225.0,230.57,222.06,229.7,4251215,188.371233004,193.0344675277,185.9098488928,192.3060987601,4251215,0.0,1.0
2020-06-01,228.89,230.54,225.71,226.91,1817709,191.6279623213,193.0093513633,188.9656488949,189.9702954709,1817709,0.0,1.0
2020-06-02,225.8,226.36,222.58,223.72,3198896,189.0409973881,189.5098324569,186.3451957424,187.2996099896,3198896,0.0,1.0
2020-06-03,223.49,224.29,218.25,221.0,3660542,187.1070527292,187.7768171132,182.7200960139,185.022411084,3660542,0.0,1.0
2020-06-04,220.77,223.45,219.21,220.88,2392798,184.8298538236,187.07356451,183.5238132747,184.9219464264,2392798,0.0,1.0
2020-06-05,219.7,225.95,218.2,225.67,3714949,183.9340439599,189.1665782101,182.6782357399,188.9321606757,3714949,0.0,1.0
2020-06-08,223.27,226.25,221.75,225.75,2270543,186.9228675236,189.4177398541,185.650315194,188.9991371141,2270543,0.0,1.0
2020-06-09,226.0,228.31,224.57,224.9,2403581,189.2084384841,191.1423831429,188.0112346476,188.287512456,2403581,0.0,1.0
2020-06-10,226.68,229.49,225.52,227.12,2851314,189.7777382105,192.1302856093,188.8065798536,190.1461086217,2851314,0.0,1.0
2020-06-11,228.06,229.78,218.67,218.9,3900729,190.9330817729,192.3730751985,183.0717223155,183.2642795759,3900729,0.0,1.0
2020-06-12,221.1,222.35,214.2,217.9,2426695,185.106131632,186.152638482,179.3294138198,182.4270740959,2426695,0.0,1.0
2020-06-15,215.81,221.0,213.86,219.78,2471769,180.6773146427,185.022411084,179.0447639566,184.0010203983,2471769,0.0,1.0
