date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,2040.0,2180.0,2038.0,2168.87,6716709,102.0,109.0,101.9,108.4435,134334180,0.0,1.0
2020-04-14,2200.47,2292.0,2186.21,2283.32,8087193,110.0235,114.6,109.3105,114.166,161743860,0.0,1.0
2020-04-15,2257.68,2333.37,2245.0,2307.68,6866567,112.884,116.6685,112.25,115.384,137331340,0.0,1.0
2020-04-16,2346.0,2461.0,2335.0,2408.19,12038201,117.3,123.05,116.75,120.4095,240764020,0.0,1.0
2020-04-17,2372.33,2400.0,2316.02,2375.0,7930010,118.6165,120.0,115.801,118.75,158600200,0.0,1.0
2020-04-20,2389.95,2444.98,2386.05,2393.61,5770694,119.4975,122.249,119.3025,119.6805,115413880,0.0,1.0
2020-04-21,2416.61,2428.31,2279.66,2328.12,7476679,120.8305,121.4155,113.983,116.406,149533580,0.0,1.0
2020-04-22,2369.0,2394.0,2351.0,2363.49,4218295,118.45,119.7,117.55,118.1745,84365900,0.0,1.0
2020-04-23,2399.98,2424.22,2382.08,2399.45,5066552,119.999,121.211,119.104,119.9725,101331040,0.0,1.0
2020-04-24,2417.0,2420.43,2382.0,2410.22,3831797,120.85,121.0215,119.1,120.511,76635940,0.0,1.0
2020-04-27,2443.2,2444.88,2363.0,2376.0,5645645,122.16,122.244,118.15,118.8,112912900,0.0,1.0
2020-04-28,2372.1,2373.5,2306.0,2314.08,5269446,118.605,118.675,115.3,115.704,105388920,0.0,1.0
2020-04-29,2330.01,2391.89,2310.0,2372.71,4591593,116.5005,119.5945,115.5,118.6355,91831860,0.0,1.0
2020-04-30,2419.84,2475.0,2396.01,2474.0,9534611,120.992,123.75,119.8005,123.7,190692220,0.0,1.0
2020-05-01,2336.8,2362.44,2258.19,2286.04,9772605,116.84,118.122,112.9095,114.302,195452100,0.0,1.0
2020-05-04,2256.38,2326.98,2256.38,2315.99,4865926,112.819,116.349,112.819,115.7995,97318520,0.0,1.0
2020-05-05,2340.0,2351.0,2307.13,2317.8,3242496,117.0,117.55,115.3565,115.89,64849920,0.0,1.0
2020-05-06,2329.44,2357.45,2320.0,2351.26,3117814,116.472,117.8725,116.0,117.563,62356280,0.0,1.0
2020-05-07,2374.78,2376.0,2343.11,2367.61,3396411,118.739,118.8,117.1555,118.3805,67928220,0.0,1.0
2020-05-08,2372.14,2387.24,2357.0,2379.61,3211228,118.607,119.362,117.85,118.9805,64224560,0.0,1.0
2020-05-11,2374.7,2419.67,2372.11,2409.0,3259231,118.735,120.9835,118.6055,120.45,65184620,0.0,1.0
2020-05-12,2411.85,2419.0,2355.0,2356.95,3074916,120.5925,120.95,117.75,117.8475,61498320,0.0,1.0
2020-05-13,2366.8,2407.7,2337.8,2367.92,4782919,118.34,120.385,116.89,118.396,95658380,0.0,1.0
2020-05-14,2361.01,2391.37,2353.21,2388.85,3648128,118.0505,119.5685,117.6605,119.4425,72962560,0.0,1.0
2020-05-15,2368.52,2411.0,2356.37,2409.78,4234951,118.426,120.55,117.8185,120.489,84699020,0.0,1.0
2020-05-18,2404.35,2433.0,2384.01,2426.26,4366572,120.2175,121.65,119.2005,121.313,87331440,0.0,1.0
2020-05-19,2429.83,2485.0,2428.97,2449.33,4320498,121.4915,124.25,121.4485,122.4665,86409960,0.0,1.0
2020-05-20,2477.87,2500.01,2467.27,2497.94,3998143,123.8935,125.0005,123.3635,124.897,79962860,0.0,1.0
2020-05-21,2500.0,2525.45,2442.54,2446.74,5114403,125.0,126.2725,122.127,122.337,102288060,0.0,1.0
2020-05-22,2455.01,2469.85,2430.13,2436.88,2867079,122.7505,123.4925,121.5065,121.844,57341580,0.0,1.0
2020-05-26,2458.0,2462.0,2414.06,2421.86,3568153,122.9,123.1,120.703,121.093,71363060,0.0,1.0
2020-05-27,2404.99,2413.58,2330.0,2410.39,5056945,120.2495,120.679,116.5,120.5195,101138900,0.0,1.0
2020-05-28,2384.33,2436.97,2378.23,2401.1,3193136,119.2165,121.8485,118.9115,120.055,63862720,0.0,1.0
2020-05-29,2415.94,2442.37,2398.2,2442.37,3529329,120.797,122.1185,119.91,122.1185,70586580,0.0,1.0
2020-06-01,2448.0,2476.93,2444.17,2471.04,2938032,122.4,123.8465,122.2085,123.552,58760640,0.0,1.0
2020-06-02,2467.0,2473.53,2445.31,2472.41,2529903,123.35,123.6765,122.2655,123.6205,50598060,0.0,1.0
2020-06-03,2468.01,2488.0,2461.17,2478.4,2671024,123.4005,124.4,123.0585,123.92,53420480,0.0,1.0
2020-06-04,2477.43,2507.54,2450.01,2460.6,2948710,123.8715,125.377,122.5005,123.03,58974200,0.0,1.0
2020-06-05,2444.51,2488.65,2437.13,2483.0,3306445,122.2255,124.4325,121.8565,124.15,66128900,0.0,1.0
2020-06-08,2500.2,2530.0,2487.34,2524.06,3970654,125.01,126.5,124.367,126.203,79413080,0.0,1.0
2020-06-09,2529.44,2626.43,2525.0,2600.86,5175950,126.472,131.3215,126.25,130.043,103519000,0.0,1.0
2020-06-10,2645.0,2722.35,2626.26,2647.45,4946031,132.25,136.1175,131.313,132.3725,98920620,0.0,1.0
2020-06-11,2603.5,2671.38,2536.23,2557.96,5800107,130.175,133.569,126.8115,127.898,116002140,0.0,1.0
2020-06-12,2601.21,2621.48,2503.35,2545.02,5436127,130.0605,131.074,125.1675,127.251,108722540,0.0,1.0
2020-06-15,2526.6,2584.0,2508.0,2572.68,3873335,126.33,129.2,125.4,128.634,77466700,0.0,1.0
2020-06-16,2620.0,2620.0,2576.0,2615.27,3595649,131.0,131.0,128.8,130.7635,71912980,0.0,1.0
2020-06-17,2647.5,2655.0,2631.82,2640.98,2959316,132.375,132.75,131.591,132.049,59186320,0.0,1.0
2020-06-18,2647.01,2659.64,2636.11,2653.98,2487774,132.3505,132.982,131.8055,132.699,49755480,0.0,1.0
2020-06-19,2678.08,2697.43,2659.0,2675.01,5776963,133.904,134.8715,132.95,133.7505,115539260,0.0,1.0
2020-06-22,2684.5,2715.0,2669.0,2713.82,3208780,134.225,135.75,133.45,135.691,64175600,0.0,1.0
2020-06-23,2726.02,2783.11,2718.04,2764.41,4231707,136.301,139.1555,135.902,138.2205,84634140,0.0,1.0
2020-06-24,2780.0,2796.0,2721.0,2734.4,4526605,139.0,139.8,136.05,136.72,90532100,0.0,1.0
2020-06-25,2739.55,2756.23,2712.14,2754.58,2968657,136.9775,137.8115,135.607,137.729,59373140,0.0,1.0
2020-06-26,2775.06,2782.57,2688.0,2692.87,6500784,138.753,139.1285,134.4,134.6435,130015680,0.0,1.0
2020-06-29,2690.01,2696.8,2630.08,2680.38,4223422,134.5005,134.84,131.504,134.019,84468440,0.0,1.0
2020-06-30,2685.07,2769.63,2675.03,2758.82,3769686,134.2535,138.4815,133.7515,137.941,75393720,0.0,1.0
2020-07-01,2757.99,2895.0,2754.0,2878.7,6364355,137.8995,144.75,137.7,143.935,127287100,0.0,1.0
2020-07-02,2912.01,2955.56,2871.1,2890.3,6593735,145.6005,147.778,143.555,144.515,131874700,0.0,1.0
2020-07-06,2934.97,3059.88,2930.0,3057.04,6880340,146.7485,152.994,146.5,152.852,137606800,0.0,1.0
2020-07-07,3058.55,3069.55,2990.0,3000.12,5257688,152.9275,153.4775,149.5,150.006,105153760,0.0,1.0
2020-07-08,3022.61,3083.97,3012.43,3081.11,5037856,151.1305,154.1985,150.6215,154.0555,100757120,0.0,1.0
2020-07-09,3115.99,3193.88,3074.0,3182.63,6388971,155.7995,159.694,153.7,159.1315,127779420,0.0,1.0
2020-07-10,3191.76,3215.0,3135.7,3200.0,5486005,159.588,160.75,156.785,160.0,109720100,0.0,1.0
2020-07-13,3251.06,3344.29,3068.39,3104.0,7722519,162.553,167.2145,153.4195,155.2,154450380,0.0,1.0
2020-07-14,3089.0,3127.38,2950.0,3084.0,7231956,154.45,156.369,147.5,154.2,144639120,0.0,1.0
2020-07-15,3080.23,3098.35,2973.18,3008.87,5789358,154.0115,154.9175,148.659,150.4435,115787160,0.0,1.0
2020-07-16,2971.06,3032.0,2918.23,2999.9,6394284,148.553,151.6,145.9115,149.995,127885680,0.0,1.0
2020-07-17,3009.0,3024.0,2948.45,2961.97,4716329,150.45,151.2,147.4225,148.0985,94326580,0.0,1.0
2020-07-20,3000.2,3201.36,2994.02,3196.84,7488703,150.01,160.068,149.701,159.842,149774060,0.0,1.0
2020-07-21,3232.49,3240.58,3105.72,3138.29,6075758,161.6245,162.029,155.286,156.9145,121515160,0.0,1.0
