date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,11.35,11.35,10.83,11.0,2987411,11.35,11.35,10.83,11.0,2987411,0.0,1.0
2020-04-14,11.38,11.71,11.08,11.1,2148992,11.38,11.71,11.08,11.1,2148992,0.0,1.0
2020-04-15,10.28,10.38,9.87,10.16,1633914,10.28,10.38,9.87,10.16,1633914,0.0,1.0
2020-04-16,10.16,10.38,9.91,10.1,1150870,10.16,10.38,9.91,10.1,1150870,0.0,1.0
2020-04-17,11.0,11.32,10.64,11.07,2352912,11.0,11.32,10.64,11.07,2352912,0.0,1.0
2020-04-20,10.52,11.05,10.25,10.3,2103900,10.52,11.05,10.25,10.3,2103900,0.0,1.0
2020-04-21,9.7,9.98,9.37,9.76,2080571,9.7,9.98,9.37,9.76,2080571,0.0,1.0
2020-04-22,9.9,9.9342,9.01,9.15,3087729,9.9,9.9342,9.01,9.15,3087729,0.0,1.0
2020-04-23,9.06,9.52,9.01,9.04,2299557,9.06,9.52,9.01,9.04,2299557,0.0,1.0
2020-04-24,9.13,9.27,8.795,9.1,1632472,9.13,9.27,8.795,9.1,1632472,0.0,1.0
2020-04-27,9.21,10.7,9.12,10.61,2948990,9.21,10.7,9.12,10.61,2948990,0.0,1.0
2020-04-28,11.2,11.42,10.495,11.18,3085367,11.2,11.42,10.495,11.18,3085367,0.0,1.0
2020-04-29,11.9,11.97,11.37,11.38,2570151,11.9,11.97,11.37,11.38,2570151,0.0,1.0
2020-04-30,10.86,10.99,10.51,10.58,2031192,10.86,10.99,10.51,10.58,2031192,0.0,1.0
2020-05-01,10.22,10.37,9.72,10.1,1729852,10.22,10.37,9.72,10.1,1729852,0.0,1.0
2020-05-04,9.8,10.22,9.51,9.75,1891378,9.8,10.22,9.51,9.75,1891378,0.0,1.0
2020-05-05,10.0,10.255,9.515,9.55,2333571,10.0,10.255,9.515,9.55,2333571,0.0,1.0
2020-05-06,9.76,9.82,9.34,9.59,2047444,9.76,9.82,9.34,9.59,2047444,0.0,1.0
2020-05-07,9.8,10.645,9.76,10.16,1793535,9.8,10.645,9.76,10.16,1793535,0.0,1.0
2020-05-08,10.46,10.66,10.375,10.59,1769919,10.46,10.66,10.375,10.59,1769919,0.0,1.0
2020-05-11,10.34,11.31,10.19,11.14,3202827,10.34,11.31,10.19,11.14,3202827,0.0,1.0
2020-05-12,11.2,11.41,10.94,11.01,4505323,11.2,11.41,10.94,11.01,4505323,0.0,1.0
2020-05-13,10.7,11.0766,10.255,10.49,3709703,10.7,11.0766,10.255,10.49,3709703,0.0,1.0
2020-05-14,10.18,10.915,9.915,10.52,3076474,10.18,10.915,9.915,10.52,3076474,0.0,1.0
2020-05-15,10.41,11.34,10.26,11.14,1969711,10.41,11.34,10.26,11.14,1969711,0.0,1.0
2020-05-18,11.97,12.3,11.645,11.86,2713065,11.97,12.3,11.645,11.86,2713065,0.0,1.0
2020-05-19,11.74,12.07,11.43,11.65,2190277,11.74,12.07,11.43,11.65,2190277,0.0,1.0
2020-05-20,11.83,11.8878,11.25,11.36,2595460,11.83,11.8878,11.25,11.36,2595460,0.0,1.0
2020-05-21,11.39,12.39,11.37,12.03,3540603,11.39,12.39,11.37,12.03,3540603,0.0,1.0
2020-05-22,12.0,12.18,11.64,11.81,2320316,12.0,12.18,11.64,11.81,2320316,0.0,1.0
