date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,58.5,59.4,58.06,58.92,13921033,46.3858920928,47.0995212019,46.0370067505,46.7189190104,13921033,0.0,1.0
2020-04-14,59.83,60.73,59.63,60.04,14258381,47.4404773318,48.1541064409,47.2818930853,47.6069907906,14258381,0.0,1.0
2020-04-15,59.3,59.89,58.9,59.46,14401255,47.0202290787,47.4880526058,46.7030605857,47.1470964758,14401255,0.0,1.0
2020-04-16,59.8,60.35,59.5,59.56,12972180,47.4166896948,47.8527963726,47.1788133251,47.2263885991,12972180,0.0,1.0
2020-04-17,60.38,60.77,59.88,60.6,16697818,47.8765840096,48.1858232902,47.4801233934,48.0510266807,16697818,0.0,1.0
2020-04-20,60.75,62.84,60.6,61.68,17444589,48.1699648656,49.8271702412,48.0510266807,48.9073816117,17444589,0.0,1.0
2020-04-21,60.86,61.32,60.26,60.59,22199038,48.2571862011,48.621929968,47.7814334617,48.0430974684,22199038,0.0,1.0
2020-04-22,61.26,61.91,60.88,60.93,12080970,48.5743546941,49.0897534951,48.2730446258,48.3126906874,12080970,0.0,1.0
2020-04-23,61.32,61.99,60.84,60.95,11897016,48.621929968,49.1531871937,48.2413277765,48.3285491121,11897016,0.0,1.0
2020-04-24,61.67,62.55,61.26,62.25,10460276,48.8994523993,49.5972230838,48.5743546941,49.3593467141,10460276,0.0,1.0
2020-04-27,62.64,63.02,62.41,62.56,13994423,49.6685859947,49.969896063,49.4862141113,49.6051522961,13994423,0.0,1.0
2020-04-28,62.93,63.18,61.77,62.14,10858044,49.8985331521,50.0967634602,48.9787445226,49.2721253786,10858044,0.0,1.0
2020-04-29,62.37,62.62,61.53,61.63,11032027,49.454497262,49.6527275701,48.7884434268,48.8677355501,11032027,0.0,1.0
2020-04-30,60.85,61.11,60.36,60.81,17553127,48.2492569888,48.4554165092,47.860725585,48.2175401395,17553127,0.0,1.0
2020-05-01,60.85,60.87,59.68,60.26,15581998,48.2492569888,48.2651154135,47.321539147,47.7814334617,15581998,0.0,1.0
2020-05-04,60.74,60.92,59.73,60.17,16989540,48.1620356533,48.3047614751,47.3611852086,47.7100705508,16989540,0.0,1.0
2020-05-05,60.6,61.8,60.43,61.36,13337675,48.0510266807,49.0025321596,47.9162300712,48.6536468173,13337675,0.0,1.0
2020-05-06,61.65,62.23,60.94,61.13,14577991,48.8835939747,49.3434882895,48.3206198997,48.4712749339,14577991,0.0,1.0
2020-05-07,62.52,62.6,60.62,61.04,17531070,49.5734354469,49.6368691454,48.0668851054,48.399912023,17531070,0.0,1.0
2020-05-08,61.83,62.18,60.95,61.05,16960070,49.0263197965,49.3038422279,48.3285491121,48.4078412353,16960070,0.0,1.0
2020-05-11,60.87,62.81,60.77,62.66,14129512,48.2651154135,49.8033826042,48.1858232902,49.6844444194,14129512,0.0,1.0
2020-05-12,63.17,64.27,62.88,63.35,18923719,50.0888342479,50.9610476035,49.8588870905,50.2315600697,18923719,0.0,1.0
2020-05-13,63.17,63.93,62.58,63.27,17317742,50.0888342479,50.6914543845,49.6210107208,50.1681263711,17317742,0.0,1.0
2020-05-14,62.5,64.13,62.13,63.77,18219031,49.5575770222,50.8500386309,49.2641961662,50.5645869873,18219031,0.0,1.0
2020-05-15,64.2,65.34,63.81,64.09,35222853,50.9055431172,51.8094733221,50.5963038366,50.8183217816,35222853,0.0,1.0
2020-05-18,64.92,65.21,63.48,63.6,15170472,51.4764464045,51.7063935619,50.3346398299,50.4297903778,15170472,0.0,1.0
2020-05-19,63.43,63.82,62.49,62.71,11052110,50.2949937683,50.6042330489,49.5496478099,49.724090481,11052110,0.0,1.0
2020-05-20,63.0,63.25,60.83,61.68,16653536,49.9540376384,50.1522679465,48.2333985642,48.9073816117,16653536,0.0,1.0
2020-05-21,61.62,61.87,60.44,61.14,16015471,48.8598063377,49.0580366458,47.9241592836,48.4792041462,16015471,0.0,1.0
2020-05-22,61.01,61.66,60.59,60.79,9226185,48.376124386,48.891523187,48.0430974684,48.2016817149,9226185,0.0,1.0
2020-05-26,61.51,61.51,60.18,60.32,18444105,48.7725850022,48.7725850022,47.7179997631,47.8290087357,18444105,0.0,1.0
2020-05-27,60.0,60.52,59.11,60.4,19069602,47.5752739413,47.9875929821,46.8695740445,47.8924424343,19069602,0.0,1.0
2020-05-28,60.96,60.98,59.68,59.81,14977358,48.3364783244,48.352336749,47.321539147,47.4246189072,14977358,0.0,1.0
2020-05-29,60.3,60.47,59.38,59.72,27224605,47.813150311,47.9479469205,47.0836627773,47.3532559963,27224605,0.0,1.0
2020-06-01,59.46,61.44,59.43,60.29,11507821,47.1470964758,48.7170805159,47.1233088389,47.8052210987,11507821,0.0,1.0
2020-06-02,60.29,60.68,59.27,60.65,15457865,47.8052210987,48.1144603793,46.9964414417,48.0906727423,15457865,0.0,1.0
2020-06-03,60.7,60.89,59.69,60.21,13495024,48.130318804,48.2809738381,47.3294683593,47.7417874001,13495024,0.0,1.0
2020-06-04,59.82,61.09,59.82,60.89,13476149,47.4325481195,48.4395580846,47.4325481195,48.2809738381,13476149,0.0,1.0
2020-06-05,61.18,61.77,60.53,61.33,11861657,48.5109209955,48.9787445226,47.9955221945,48.6298591803,11861657,0.0,1.0
2020-06-08,60.6,61.43,60.4,61.43,12548115,48.0510266807,48.7091513036,47.8924424343,48.7091513036,12548115,0.0,1.0
2020-06-09,61.75,62.17,60.93,60.93,12159187,48.9628860979,49.2959130155,48.3126906874,48.3126906874,12159187,0.0,1.0
2020-06-10,61.24,61.42,59.9,60.16,13321730,48.5584962694,48.7012220913,47.4959818181,47.7021413385,13321730,0.0,1.0
2020-06-11,59.9,60.28,56.4,56.71,17367168,47.4959818181,47.7972918864,44.7207575048,44.9665630869,17367168,0.0,1.0
2020-06-12,57.59,57.65,55.59,56.17,14860389,45.6643337713,45.7119090453,44.0784913066,44.5383856214,14860389,0.0,1.0
2020-06-15,55.64,55.78,54.07,55.1,21584586,44.1181373682,44.2291463408,42.8732510334,43.6899599028,21584586,0.0,1.0
2020-06-16,55.93,57.29,55.5,57.06,16973627,44.3480845256,45.4264574016,44.0071283957,45.2440855182,16973627,0.0,1.0
2020-06-17,57.21,57.36,56.71,56.95,13636867,45.363023703,45.4819618879,44.9665630869,45.1568641826,13636867,0.0,1.0
2020-06-18,56.57,56.62,55.58,55.97,14105974,44.8555541143,44.895200176,44.0705620943,44.3798013749,14105974,0.0,1.0
2020-06-19,56.7,56.83,54.73,56.41,54134590,44.9586338745,45.0617136347,43.3965790468,44.7286867172,54134590,0.0,1.0
2020-06-22,56.24,57.69,55.92,57.56,18712829,44.5938901077,45.7436258946,44.3401553133,45.6405461344,18712829,0.0,1.0
2020-06-23,57.94,59.1,57.82,58.38,15555014,45.9418562027,46.8616448322,45.8467056548,46.2907415449,15555014,0.0,1.0
2020-06-24,58.11,58.21,57.11,57.76,11171858,46.0766528122,46.1559449354,45.2837315798,45.7991303808,11171858,0.0,1.0
2020-06-25,58.01,58.47,57.7,58.18,15266462,45.9973606889,46.3621044558,45.7515551069,46.1321572984,15266462,0.0,1.0
2020-06-26,57.96,58.02,56.67,57.54,26131800,45.9577146273,46.0052899013,44.9348462376,45.6246877097,26131800,0.0,1.0
2020-06-29,57.99,58.14,57.31,57.8,9831434,45.9815022643,46.1004404491,45.4423158263,45.8308472301,9831434,0.0,1.0
2020-06-30,57.86,59.2,57.5,58.8,12137786,45.8784225041,46.9409369554,45.5929708604,46.6237684625,12137786,0.0,1.0
2020-07-01,59.19,59.73,58.88,59.43,11738343,46.9330077431,47.3611852086,46.6872021611,47.1233088389,11738343,0.0,1.0
2020-07-02,59.3,59.64,58.75,59.14,11362931,47.3780089753,47.6496535461,46.9385839342,47.2501762361,11362931,0.45,1.0
2020-07-06,59.6,60.58,58.87,60.19,8810059,47.6176953613,48.4006708891,47.0344584886,48.0890785872,8810059,0.0,1.0
2020-07-07,59.76,60.61,59.52,60.29,12766642,47.7455281005,48.4246395277,47.5537789917,48.1689740492,12766642,0.0,1.0
2020-07-08,60.32,60.68,59.28,59.56,10506170,48.1929426878,48.4805663511,47.3620298829,47.5857371765,10506170,0.0,1.0
2020-07-09,59.66,60.14,57.83,58.11,12779784,47.6656326385,48.0491308562,46.2035456836,46.4272529773,12779784,0.0,1.0
2020-07-10,58.0,58.09,57.16,57.43,8769198,46.3393679691,46.4112738849,45.6682460881,45.8839638356,8769198,0.0,1.0
2020-07-13,57.57,58.49,57.5,57.75,10146862,45.9958174824,46.7308557329,45.939890659,46.139629314,10146862,0.0,1.0
2020-07-14,57.83,58.1,57.29,57.89,12159051,46.2035456836,46.4192634311,45.7721101888,46.2514829609,12159051,0.0,1.0
2020-07-15,58.65,59.61,58.32,59.27,9457561,46.8586884722,47.6256849075,46.5950334475,47.3540403367,9457561,0.0,1.0
2020-07-16,59.23,59.38,58.73,59.32,6948861,47.3220821519,47.4419253449,46.9226048418,47.3939880677,6948861,0.0,1.0
2020-07-17,59.7,60.62,59.4,60.39,9078182,47.6975908233,48.4326290739,47.4579044373,48.2488695112,9078182,0.0,1.0
2020-07-20,60.29,60.64,59.22,59.46,6754282,48.1689740492,48.4486081663,47.3140926057,47.5058417145,6754282,0.0,1.0
2020-07-21,59.59,60.24,59.32,59.8,7808090,47.6097058151,48.1290263182,47.3939880677,47.7774862854,7808090,0.0,1.0
2020-07-22,59.89,60.33,59.34,59.85,8960993,47.8493922012,48.200932234,47.4099671601,47.8174340164,8960993,0.0,1.0
2020-07-23,60.12,60.46,59.57,59.87,8913208,48.0331517638,48.3047963347,47.5937267227,47.8334131088,8913208,0.0,1.0
2020-07-24,59.67,59.76,57.55,57.85,12531912,47.6736221847,47.7455281005,45.97983839,46.219524776,12531912,0.0,1.0
2020-07-27,57.55,58.62,57.35,58.05,12371976,45.97983839,46.8347198336,45.820047466,46.3793157001,12371976,0.0,1.0
2020-07-28,58.55,59.82,58.24,59.43,9816702,46.7787930102,47.7934653778,46.5311170779,47.4818730759,9816702,0.0,1.0
2020-07-29,59.16,59.4,58.59,59.15,7358112,47.2661553285,47.4579044373,46.810751195,47.2581657823,7358112,0.0,1.0
