date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,39.32,41.07,38.56,40.29,456680,30.4512506449,31.8065326548,29.8626710292,31.2024641018,456680,0.0,1.0
2020-04-14,40.78,41.13,38.94,39.06,554387,31.5819430646,31.8529994666,30.156960837,30.2498944606,554387,0.0,1.0
2020-04-15,38.86,40.23,37.99,40.09,573608,30.095005088,31.15599729,29.4212363174,31.0475747293,573608,0.0,1.0
2020-04-16,40.14,41.61,39.43,41.17,456357,31.0862970724,32.2247339607,30.5364397998,31.8839773411,456357,0.0,1.0
2020-04-17,41.58,41.76,40.45,41.54,319193,32.2015005548,32.3409009901,31.3263755999,32.1705226803,319193,0.0,1.0
2020-04-20,41.07,41.54,40.71,40.95,239486,31.8065326548,32.1705226803,31.5277317842,31.7135990313,239486,0.0,1.0
2020-04-21,40.31,41.49,40.28,40.61,248678,31.2179530391,32.1318003372,31.1947196332,31.4502870979,248678,0.0,1.0
2020-04-22,41.17,41.46,40.37,40.91,192023,31.8839773411,32.1085669313,31.2644198508,31.6826211567,192023,0.0,1.0
2020-04-23,41.11,42.21,41.1,41.92,338626,31.8375105293,32.6894020784,31.8297660607,32.4648124882,338626,0.0,1.0
2020-04-24,42.18,42.38,41.53,41.67,247237,32.6661686725,32.821058045,32.1627782117,32.2712007725,247237,0.0,1.0
2020-04-27,42.06,43.9,41.91,43.62,451923,32.573235049,33.9982172765,32.4570680195,33.7813721549,451923,0.0,1.0
2020-04-28,44.0,44.9,43.71,43.83,354117,34.0756619628,34.7726641393,33.8510723726,33.9440059961,354117,0.0,1.0
2020-04-29,44.55,44.82,42.89,43.04,405449,34.5016077373,34.7107083903,33.2160259451,33.3321929745,405449,0.0,1.0
2020-04-30,42.75,42.87,41.51,41.51,305141,33.1076033843,33.2005370078,32.1472892744,32.1472892744,305141,0.0,1.0
2020-05-01,41.13,42.45,40.94,42.45,364223,31.8529994666,32.8752693254,31.7058545626,32.8752693254,364223,0.0,1.0
2020-05-04,42.3,43.59,41.79,43.47,337727,32.759102296,33.758138749,32.364134396,33.6652051255,337727,0.0,1.0
2020-05-05,43.59,43.96,43.05,43.08,228932,33.758138749,34.0446840883,33.3399374431,33.363170849,228932,0.0,1.0
2020-05-06,43.04,43.66,42.63,43.2,235855,33.3321929745,33.8123500294,33.0146697607,33.4561044725,235855,0.0,1.0
2020-05-07,43.38,44.54,43.38,44.04,271856,33.5955049078,34.4938632687,33.5955049078,34.1066398373,271856,0.0,1.0
2020-05-08,44.34,44.64,43.98,44.36,297777,34.3389738961,34.5713079549,34.0601730255,34.3544628334,297777,0.0,1.0
2020-05-11,44.03,44.51,42.81,42.96,350974,34.0988953686,34.4706298628,33.154070196,33.2702372255,350974,0.0,1.0
2020-05-12,43.06,43.99,42.84,43.25,294476,33.3476819117,34.0679174941,33.1773036019,33.4948268157,294476,0.0,1.0
2020-05-13,43.2,43.59,42.16,42.7,227233,33.4561044725,33.758138749,32.6506797352,33.0688810411,227233,0.0,1.0
2020-05-14,42.6,43.41,42.04,43.16,313344,32.9914363549,33.6187383137,32.5577461117,33.425126598,313344,0.0,1.0
2020-05-15,43.22,44.72,42.99,43.9,667044,33.4715934098,34.633263704,33.2934706313,33.9982172765,667044,0.0,1.0
2020-05-18,44.1,44.69,43.13,43.86,274432,34.153106649,34.6100302981,33.4018931921,33.967239402,274432,0.0,1.0
2020-05-19,43.89,44.19,42.49,42.55,233251,33.9904728079,34.2228068667,32.9062472,32.9527140117,233251,0.0,1.0
2020-05-20,42.92,43.61,41.9,43.59,206393,33.239259351,33.7736276863,32.4493235509,33.758138749,206393,0.0,1.0
2020-05-21,43.52,43.96,42.59,43.72,244052,33.7039274686,34.0446840883,32.9836918862,33.8588168412,244052,0.0,1.0
2020-05-22,43.86,44.4,42.83,43.77,215439,33.967239402,34.3854407079,33.1695591333,33.8975391843,215439,0.0,1.0
2020-05-26,44.44,44.97,43.91,44.2,350925,34.4164185824,34.8268754197,34.0059617451,34.2305513353,350925,0.0,1.0
2020-05-27,44.66,45.55,44.14,45.46,312420,34.5867968922,35.2760546001,34.1840845236,35.2063543824,312420,0.0,1.0
2020-05-28,45.55,45.85,44.55,44.76,356669,35.2760546001,35.5083886589,34.5016077373,34.6642415785,356669,0.0,1.0
2020-05-29,44.73,44.97,43.35,44.56,377775,34.6410081726,34.8268754197,33.572271502,34.5093522059,377775,0.0,1.0
2020-06-01,44.68,44.85,44.11,44.25,265079,34.6022858295,34.7339417961,34.1608511177,34.2692736785,265079,0.0,1.0
2020-06-02,44.22,44.27,43.38,44.22,228119,34.2460402726,34.2847626157,33.5955049078,34.2460402726,228119,0.0,1.0
2020-06-03,44.46,44.63,42.84,42.91,313936,34.4319075196,34.5635634863,33.1773036019,33.2315148823,313936,0.0,1.0
