date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,30.52,31.06,29.34,29.91,3892374,26.4396690748,26.907474491,25.4174276099,25.9112222159,3892374,0.0,1.0
2020-04-14,30.47,30.98,29.3,30.05,2393221,26.3963537585,26.8381699849,25.3827753569,26.0325051015,2393221,0.0,1.0
2020-04-15,28.67,28.88,27.6,28.12,2585247,24.8370023714,25.0189266999,23.9100546024,24.360533892,2585247,0.0,1.0
2020-04-16,28.03,28.35,26.56,26.92,3233114,24.2825663227,24.559784347,23.0090960232,23.3209663006,3233114,0.0,1.0
2020-04-17,28.03,28.87,27.72,28.29,5346787,24.2825663227,25.0102636366,24.0140113615,24.5078059675,5346787,0.0,1.0
2020-04-20,27.38,28.48,27.03,27.55,3635241,23.7194672106,24.6724041694,23.4162599965,23.8667392861,3635241,0.0,1.0
2020-04-21,26.6,27.31,26.34,26.86,2592086,23.0437482762,23.6588257678,22.8185086314,23.268987921,2592086,0.0,1.0
2020-04-22,27.66,27.66,26.56,27.31,3398698,23.962032982,23.962032982,23.0090960232,23.6588257678,3398698,0.0,1.0
2020-04-23,27.84,28.75,27.49,27.85,2630015,24.1179681207,24.9063068775,23.8147609065,24.1266311839,2630015,0.0,1.0
2020-04-24,28.23,28.46,27.45,28.0,2659312,24.4558275879,24.6550780429,23.7801086535,24.2565771329,2659312,0.0,1.0
2020-04-27,27.91,28.66,27.79,28.37,1503687,24.1786095635,24.8283393081,24.0746528044,24.5771104736,1503687,0.0,1.0
2020-04-28,29.0,29.13,27.69,28.04,2879644,25.122883459,25.2355032814,23.9880221718,24.2912293859,2879644,0.0,1.0
2020-04-29,29.14,29.68,28.76,29.01,3109165,25.2441663447,25.7119717608,24.9149699408,25.1315465223,3109165,0.0,1.0
2020-04-30,28.64,28.64,27.29,27.5,3258130,24.8110131816,24.8110131816,23.6414996413,23.8234239698,3258130,0.0,1.0
2020-05-01,26.98,27.06,25.99,26.61,2404470,23.3729446802,23.4422491863,22.5153014173,23.0524113395,2404470,0.0,1.0
2020-05-04,25.95,26.33,25.45,26.28,2530391,22.4806491642,22.8098455682,22.0474960011,22.7665302519,2530391,0.0,1.0
2020-05-05,26.95,28.12,26.77,27.31,2488562,23.3469554904,24.360533892,23.1910203517,23.6588257678,2488562,0.0,1.0
2020-05-06,27.38,27.72,26.25,26.27,1396587,23.7194672106,24.0140113615,22.7405410621,22.7578671886,1396587,0.0,1.0
2020-05-07,28.2,28.84,27.41,27.54,3241751,24.4298383981,24.9842744469,23.7454564004,23.8580762228,3241751,0.0,1.0
2020-05-08,28.1,29.2,28.06,29.03,1875204,24.3432077655,25.2961447243,24.3085555124,25.1488726488,1875204,0.0,1.0
2020-05-11,26.67,27.61,26.35,27.46,2803906,23.1043897191,23.9187176657,22.8271716947,23.7887717167,2803906,0.0,1.0
2020-05-12,27.38,27.85,26.05,26.09,2324565,23.7194672106,24.1266311839,22.5672797968,22.6019320499,2324565,0.0,1.0
2020-05-13,26.02,26.33,24.4,24.59,2611629,22.541290607,22.8098455682,21.1378743586,21.3024725606,2611629,0.0,1.0
2020-05-14,23.71,24.65,23.05,24.63,5888273,20.7903071957,21.6145538749,20.2115808039,21.5970167115,5888273,0.3,1.0
2020-05-15,24.42,24.83,24.13,24.82,3761771,21.412876496,21.7723883454,21.1585876268,21.7636197637,3761771,0.0,1.0
2020-05-18,26.09,26.95,25.96,26.39,4787227,22.8772296388,23.6313276645,22.7632380768,23.1402870896,4787227,0.0,1.0
2020-05-19,26.57,27.84,25.82,27.19,3498325,23.2981215601,24.4117314352,22.6404779331,23.8417736251,3498325,0.0,1.0
2020-05-20,27.5,27.97,27.26,27.51,2607416,24.1135996576,24.5257229972,23.903153697,24.1223682393,2607416,0.0,1.0
2020-05-21,27.5,27.86,27.31,27.7,2005793,24.1135996576,24.4292685986,23.9469966054,24.2889712915,2005793,0.0,1.0
2020-05-22,27.65,27.78,27.27,27.59,1487247,24.245128383,24.359119945,23.9119222786,24.1925168928,1487247,0.0,1.0
2020-05-26,28.25,29.48,28.25,29.16,2787225,24.7712432846,25.8497788329,24.7712432846,25.5691842188,2787225,0.0,1.0
