date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,4.46,4.5199,4.235,4.36,1521636,4.46,4.5199,4.235,4.36,1521636,0.0,1.0
2020-04-14,4.47,4.54,4.33,4.395,1973868,4.47,4.54,4.33,4.395,1973868,0.0,1.0
2020-04-15,4.35,4.43,4.185,4.35,1537043,4.35,4.43,4.185,4.35,1537043,0.0,1.0
2020-04-16,4.37,4.6092,4.2399,4.41,1487562,4.37,4.6092,4.2399,4.41,1487562,0.0,1.0
2020-04-17,4.56,4.6,4.38,4.58,1537811,4.56,4.6,4.38,4.58,1537811,0.0,1.0
2020-04-20,4.58,4.925,4.52,4.86,2762613,4.58,4.925,4.52,4.86,2762613,0.0,1.0
2020-04-21,4.8881,4.9,4.51,4.69,2126826,4.8881,4.9,4.51,4.69,2126826,0.0,1.0
2020-04-22,4.83,4.85,4.68,4.79,1222725,4.83,4.85,4.68,4.79,1222725,0.0,1.0
2020-04-23,4.79,5.02,4.7214,4.87,2394081,4.79,5.02,4.7214,4.87,2394081,0.0,1.0
2020-04-24,4.98,5.03,4.8,5.02,1574981,4.98,5.03,4.8,5.02,1574981,0.0,1.0
2020-04-27,5.11,5.15,4.9,4.9,2234662,5.11,5.15,4.9,4.9,2234662,0.0,1.0
2020-04-28,5.01,5.035,4.83,4.91,1514182,5.01,5.035,4.83,4.91,1514182,0.0,1.0
2020-04-29,4.95,4.96,4.74,4.81,2114414,4.95,4.96,4.74,4.81,2114414,0.0,1.0
2020-04-30,4.8,4.83,4.67,4.74,1818300,4.8,4.83,4.67,4.74,1818300,0.0,1.0
2020-05-01,4.62,4.69,4.38,4.6,1689831,4.62,4.69,4.38,4.6,1689831,0.0,1.0
2020-05-04,4.58,4.97,4.48,4.96,1711706,4.58,4.97,4.48,4.96,1711706,0.0,1.0
2020-05-05,4.99,5.03,4.76,4.85,1411305,4.99,5.03,4.76,4.85,1411305,0.0,1.0
2020-05-06,4.88,4.88,4.69,4.73,1083918,4.88,4.88,4.69,4.73,1083918,0.0,1.0
2020-05-07,4.79,4.86,4.62,4.84,1036502,4.79,4.86,4.62,4.84,1036502,0.0,1.0
2020-05-08,4.89,4.9,4.76,4.86,1046320,4.89,4.9,4.76,4.86,1046320,0.0,1.0
2020-05-11,4.93,5.12,4.8303,5.05,2918636,4.93,5.12,4.8303,5.05,2918636,0.0,1.0
2020-05-12,4.9,4.96,4.54,4.585,3532890,4.9,4.96,4.54,4.585,3532890,0.0,1.0
2020-05-13,4.63,4.7,4.06,4.385,2839838,4.63,4.7,4.06,4.385,2839838,0.0,1.0
2020-05-14,4.35,4.35,4.11,4.26,1852257,4.35,4.35,4.11,4.26,1852257,0.0,1.0
2020-05-15,4.21,4.56,4.17,4.55,1836791,4.21,4.56,4.17,4.55,1836791,0.0,1.0
2020-05-18,4.69,4.71,4.465,4.55,1884882,4.69,4.71,4.465,4.55,1884882,0.0,1.0
2020-05-19,4.53,4.541,4.29,4.3,1668998,4.53,4.541,4.29,4.3,1668998,0.0,1.0
2020-05-20,4.38,4.55,4.33,4.47,1612528,4.38,4.55,4.33,4.47,1612528,0.0,1.0
2020-05-21,4.51,4.54,4.375,4.4,1037805,4.51,4.54,4.375,4.4,1037805,0.0,1.0
2020-05-22,4.4,4.5,4.325,4.42,1008629,4.4,4.5,4.325,4.42,1008629,0.0,1.0
2020-05-26,4.52,4.55,4.38,4.4,1819510,4.52,4.55,4.38,4.4,1819510,0.0,1.0
2020-05-27,4.43,4.46,4.26,4.43,1914333,4.43,4.46,4.26,4.43,1914333,0.0,1.0
2020-05-28,4.45,4.45,4.29,4.31,1750934,4.45,4.45,4.29,4.31,1750934,0.0,1.0
2020-05-29,4.34,4.375,4.16,4.31,1887783,4.34,4.375,4.16,4.31,1887783,0.0,1.0
2020-06-01,4.3,4.5,4.24,4.47,1852083,4.3,4.5,4.24,4.47,1852083,0.0,1.0
2020-06-02,4.5,4.56,4.36,4.5,1853058,4.5,4.56,4.36,4.5,1853058,0.0,1.0
2020-06-03,4.5,4.615,4.43,4.45,1962670,4.5,4.615,4.43,4.45,1962670,0.0,1.0
2020-06-04,4.45,4.52,4.26,4.33,1872345,4.45,4.52,4.26,4.33,1872345,0.0,1.0
2020-06-05,4.36,4.49,4.3199,4.485,1979175,4.36,4.49,4.3199,4.485,1979175,0.0,1.0
2020-06-08,4.4918,4.59,4.45,4.58,1722019,4.4918,4.59,4.45,4.58,1722019,0.0,1.0
2020-06-09,4.55,4.67,4.47,4.565,1534341,4.55,4.67,4.47,4.565,1534341,0.0,1.0
2020-06-10,4.58,4.695,4.52,4.54,1892935,4.58,4.695,4.52,4.54,1892935,0.0,1.0
2020-06-11,4.4084,4.45,4.22,4.26,2897628,4.4084,4.45,4.22,4.26,2897628,0.0,1.0
2020-06-12,4.35,4.38,4.0,4.1,2828882,4.35,4.38,4.0,4.1,2828882,0.0,1.0
2020-06-15,4.06,4.395,4.02,4.39,1604772,4.06,4.395,4.02,4.39,1604772,0.0,1.0
2020-06-16,4.42,4.55,4.335,4.455,1393325,4.42,4.55,4.335,4.455,1393325,0.0,1.0
2020-06-17,4.48,4.55,4.3,4.505,1726295,4.48,4.55,4.3,4.505,1726295,0.0,1.0
2020-06-18,4.5,4.6,4.43,4.49,1209987,4.5,4.6,4.43,4.49,1209987,0.0,1.0
2020-06-19,4.48,4.69,4.42,4.57,5237791,4.48,4.69,4.42,4.57,5237791,0.0,1.0
2020-06-22,4.65,4.79,4.56,4.78,2207094,4.65,4.79,4.56,4.78,2207094,0.0,1.0
2020-06-23,4.79,4.87,4.65,4.7,1722074,4.79,4.87,4.65,4.7,1722074,0.0,1.0
2020-06-24,4.69,4.88,4.59,4.6,1639856,4.69,4.88,4.59,4.6,1639856,0.0,1.0
2020-06-25,4.59,4.881,4.5529,4.8,1719202,4.59,4.881,4.5529,4.8,1719202,0.0,1.0
2020-06-26,4.71,4.78,4.46,4.51,2079190,4.71,4.78,4.46,4.51,2079190,0.0,1.0
2020-06-29,4.57,4.66,4.5,4.56,991700,4.57,4.66,4.5,4.56,991700,0.0,1.0
2020-06-30,4.57,4.64,4.46,4.62,1126400,4.57,4.64,4.46,4.62,1126400,0.0,1.0
2020-07-01,4.57,4.86,4.56,4.82,1558800,4.57,4.86,4.56,4.82,1558800,0.0,1.0
2020-07-02,4.87,4.89,4.74,4.81,1296600,4.87,4.89,4.74,4.81,1296600,0.0,1.0
2020-07-06,4.84,5.0,4.79,4.9,1947400,4.84,5.0,4.79,4.9,1947400,0.0,1.0
2020-07-07,4.91,5.1,4.82,5.02,1396000,4.91,5.1,4.82,5.02,1396000,0.0,1.0
2020-07-08,5.02,5.15,5.0,5.08,1257000,5.02,5.15,5.0,5.08,1257000,0.0,1.0
2020-07-09,5.06,5.19,4.97,5.01,1010700,5.06,5.19,4.97,5.01,1010700,0.0,1.0
2020-07-10,5.0,5.12,4.92,4.94,955200,5.0,5.12,4.92,4.94,955200,0.0,1.0
2020-07-13,5.01,5.06,4.73,4.74,1245700,5.01,5.06,4.73,4.74,1245700,0.0,1.0
2020-07-14,4.77,4.97,4.74,4.96,1275500,4.77,4.97,4.74,4.96,1275500,0.0,1.0
2020-07-15,5.04,5.14,5.0,5.08,1331900,5.04,5.14,5.0,5.08,1331900,0.0,1.0
2020-07-16,5.08,5.08,4.99,5.06,785400,5.08,5.08,4.99,5.06,785400,0.0,1.0
2020-07-17,5.05,5.11,4.97,5.01,1271400,5.05,5.11,4.97,5.01,1271400,0.0,1.0
2020-07-20,5.07,5.08,4.89,4.96,1280587,5.07,5.08,4.89,4.96,1280587,0.0,1.0
2020-07-21,4.99,5.0,4.79,4.8,1534849,4.99,5.0,4.79,4.8,1534849,0.0,1.0
2020-07-22,4.8413,4.94,4.8163,4.91,1368316,4.8413,4.94,4.8163,4.91,1368316,0.0,1.0
2020-07-23,4.93,4.93,4.71,4.77,1216884,4.93,4.93,4.71,4.77,1216884,0.0,1.0
2020-07-24,4.74,4.78,4.65,4.72,930235,4.74,4.78,4.65,4.72,930235,0.0,1.0
2020-07-27,4.73,4.85,4.7,4.85,1076505,4.73,4.85,4.7,4.85,1076505,0.0,1.0
2020-07-28,4.88,4.88,4.66,4.67,1271958,4.88,4.88,4.66,4.67,1271958,0.0,1.0
2020-07-29,4.72,4.72,4.49,4.54,1196914,4.72,4.72,4.49,4.54,1196914,0.0,1.0
2020-07-30,4.54,4.78,4.49,4.7,1234443,4.54,4.78,4.49,4.7,1234443,0.0,1.0
2020-07-31,4.26,4.49,3.92,4.3,4604218,4.26,4.49,3.92,4.3,4604218,0.0,1.0
2020-08-03,4.25,4.26,4.04,4.13,2000328,4.25,4.26,4.04,4.13,2000328,0.0,1.0
2020-08-04,4.12,4.17,4.05,4.13,2208394,4.12,4.17,4.05,4.13,2208394,0.0,1.0
2020-08-05,4.18,4.23,4.1,4.13,1020861,4.18,4.23,4.1,4.13,1020861,0.0,1.0
2020-08-06,4.15,4.22,4.1305,4.145,1216060,4.15,4.22,4.1305,4.145,1216060,0.0,1.0
2020-08-07,4.17,4.2,3.955,4.05,2713485,4.17,4.2,3.955,4.05,2713485,0.0,1.0
2020-08-10,4.12,4.33,4.05,4.265,3598092,4.12,4.33,4.05,4.265,3598092,0.0,1.0
2020-08-11,3.91,3.96,3.26,3.34,9387979,3.91,3.96,3.26,3.34,9387979,0.0,1.0
2020-08-12,3.45,3.4756,3.23,3.36,5038106,3.45,3.4756,3.23,3.36,5038106,0.0,1.0
2020-08-13,3.36,3.45,3.23,3.41,2934017,3.36,3.45,3.23,3.41,2934017,0.0,1.0
2020-08-14,3.38,3.5316,3.33,3.47,3434181,3.38,3.5316,3.33,3.47,3434181,0.0,1.0
2020-08-17,3.5157,3.7,3.48,3.69,3209668,3.5157,3.7,3.48,3.69,3209668,0.0,1.0
2020-08-18,3.72,3.7256,3.53,3.64,2085483,3.72,3.7256,3.53,3.64,2085483,0.0,1.0
2020-08-19,3.67,3.72,3.4801,3.62,3173446,3.67,3.72,3.4801,3.62,3173446,0.0,1.0
2020-08-20,3.59,3.6,3.46,3.51,2108938,3.59,3.6,3.46,3.51,2108938,0.0,1.0
2020-08-21,3.51,3.5697,3.44,3.47,1962182,3.51,3.5697,3.44,3.47,1962182,0.0,1.0
2020-08-24,3.4799,3.5,3.28,3.34,2037492,3.4799,3.5,3.28,3.34,2037492,0.0,1.0
2020-08-25,3.36,3.3728,3.27,3.34,1489736,3.36,3.3728,3.27,3.34,1489736,0.0,1.0
2020-08-26,3.36,3.45,3.31,3.34,1313488,3.36,3.45,3.31,3.34,1313488,0.0,1.0
2020-08-27,3.33,3.37,3.2,3.22,1868740,3.33,3.37,3.2,3.22,1868740,0.0,1.0
2020-08-28,3.22,3.33,3.2116,3.32,1501500,3.22,3.33,3.2116,3.32,1501500,0.0,1.0
2020-08-31,3.31,3.35,3.23,3.28,1759074,3.31,3.35,3.23,3.28,1759074,0.0,1.0
2020-09-01,3.2526,3.2902,3.12,3.13,1939682,3.2526,3.2902,3.12,3.13,1939682,0.0,1.0
