date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,10.26,10.34,9.43,9.71,11414943,7.5096691101,7.5682240349,6.9021617649,7.1071040019,11414943,0.0,1.0
2020-04-14,9.42,9.72,8.87,9.11,11421753,6.8948423993,7.1144233675,6.4922772911,6.6679420656,11421753,0.0,1.0
2020-04-15,8.35,8.73,8.05,8.67,10234607,6.1116702797,6.3898061726,5.8920893115,6.345889979,10234607,0.0,1.0
2020-04-16,8.6,8.63,8.08,8.09,6900198,6.2946544198,6.3166125166,5.9140474083,5.9213667739,6900198,0.0,1.0
2020-04-17,8.18,9.25,8.13,9.22,12727892,5.9872410644,6.770413184,5.9506442364,6.7484550872,12727892,0.0,1.0
2020-04-20,8.39,9.58,8.3,9.16,12789536,6.1409477421,7.011952249,6.0750734516,6.7045388936,12789536,0.0,1.0
2020-04-21,8.69,9.27,8.58,9.05,14496172,6.3605287102,6.7850519153,6.2800156886,6.624025872,14496172,0.0,1.0
2020-04-22,9.58,9.82,9.33,9.74,7391806,7.011952249,7.1876170235,6.8289681089,7.1290620987,7391806,0.0,1.0
2020-04-23,10.13,11.0,10.05,10.57,12381779,7.4145173572,8.0513021648,7.3559624324,7.7365694438,12381779,0.0,1.0
2020-04-24,10.9,11.23,10.19,10.52,16016790,7.9781085088,8.2196475737,7.4584335509,7.6999726158,16016790,0.0,1.0
2020-04-27,10.3,10.89,9.88,10.76,7465854,7.5389465725,7.9707891432,7.2315332171,7.8756373903,7465854,0.0,1.0
2020-04-28,11.03,11.25,10.66,10.97,8847783,8.0732602616,8.2342863049,7.8024437343,8.029344068,8847783,0.0,1.0
2020-04-29,11.51,12.9,11.35,12.63,11848930,8.4245898106,9.4419816296,8.307479961,9.2443587583,11848930,0.0,1.0
2020-04-30,12.81,12.85,11.9,12.47,10372264,9.3761073392,9.4053848016,8.7100450692,9.1272489087,10372264,0.0,1.0
2020-05-01,11.92,12.2,11.04,11.15,7150320,8.7246838004,8.9296260373,8.0805796272,8.1610926489,7150320,0.0,1.0
2020-05-04,10.86,11.43,10.64,11.42,6549884,7.9488310464,8.3660348858,7.7878050031,8.3587155202,6549884,0.0,1.0
2020-05-05,12.16,12.25,11.11,11.18,8931215,8.9003485749,8.9662228654,8.1318151865,8.1830507457,8931215,0.0,1.0
2020-05-06,11.9,12.05,11.25,11.49,10868501,8.7100450692,8.8198355533,8.2342863049,8.4099510794,10868501,0.0,1.0
2020-05-07,11.95,12.43,11.91,12.01,8928289,8.7466418972,9.0979714462,8.7173644348,8.7905580909,8928289,0.0,1.0
2020-05-08,12.32,12.72,12.25,12.7,7412988,9.0174584246,9.3102330488,8.9662228654,9.2955943176,7412988,0.0,1.0
2020-05-11,12.5,12.78,12.245,12.46,8110023,9.1492070055,9.3541492424,8.9625631826,9.1199295431,8110023,0.0,1.0
2020-05-12,12.64,13.08,12.4,12.4,8826863,9.2516781239,9.5737302105,9.0760133494,9.0760133494,8826863,0.0,1.0
2020-05-13,12.25,12.27,11.29,11.53,9736834,8.9662228654,8.9808615966,8.2635637673,8.4392285418,9736834,0.0,1.0
2020-05-14,11.21,12.06,10.79,11.66,7713446,8.2050088425,8.8271549189,7.8975954871,8.5343802947,7713446,0.0,1.0
2020-05-15,11.61,12.34,11.51,11.95,8335431,8.4977834667,9.0320971558,8.4245898106,8.7466418972,8335431,0.0,1.0
2020-05-18,12.86,13.36,12.63,13.12,10691682,9.4127041672,9.7786724474,9.2443587583,9.6030076729,10691682,0.0,1.0
2020-05-19,13.14,13.16,12.3,12.31,9849840,9.6176464042,9.6322851354,9.0028196934,9.010139059,9849840,0.0,1.0
2020-05-20,12.62,12.87,12.36,12.42,10713739,9.2370393927,9.4200235328,9.046735887,9.0906520806,10713739,0.0,1.0
2020-05-21,12.49,12.61,12.05,12.29,8138646,9.1418876399,9.2297200271,8.8198355533,8.9955003278,8138646,0.0,1.0
2020-05-22,12.15,12.25,11.8,12.14,8327237,8.8930292093,8.9662228654,8.6368514132,8.8857098437,8327237,0.0,1.0
2020-05-26,12.74,12.79,12.11,12.31,9070595,9.32487178,9.361468608,8.8637517469,9.010139059,9070595,0.0,1.0
2020-05-27,12.5,12.5,11.78,12.43,9418141,9.1492070055,9.1492070055,8.622212682,9.0979714462,9418141,0.0,1.0
2020-05-28,12.39,12.4,11.57,11.66,11208691,9.0686939838,9.0760133494,8.4685060043,8.5343802947,11208691,0.0,1.0
2020-05-29,11.5,11.56,10.77,10.81,43101268,8.417270445,8.4611866387,7.8829567559,7.9122342183,43101268,0.0,1.0
2020-06-01,10.8,11.88,10.62,11.7,12173920,7.9049148527,8.695406338,7.7731662718,8.5636577571,12173920,0.0,1.0
2020-06-02,11.88,12.22,11.86,12.16,8451805,8.695406338,8.9442647685,8.6807676068,8.9003485749,8451805,0.0,1.0
2020-06-03,12.4,12.59,12.08,12.52,8259445,9.0760133494,9.2150812959,8.8417936501,9.1638457367,8259445,0.0,1.0
2020-06-04,12.35,12.82,12.08,12.72,10398070,9.0394165214,9.3834267048,8.8417936501,9.3102330488,10398070,0.0,1.0
2020-06-05,13.51,14.9,13.5,14.6,15508707,9.8884629315,10.9058547505,9.8811435659,10.6862737824,15508707,0.0,1.0
2020-06-08,15.65,15.76,14.54,15.76,13039466,11.4548071709,11.5353201925,10.6423575888,11.5353201925,13039466,0.0,1.0
2020-06-09,15.0,15.03,14.22,14.55,10887978,10.9790484066,11.0010065034,10.4081378894,10.6496769544,10887978,0.0,1.0
2020-06-10,14.15,14.5,13.35,13.67,12554187,10.3569023302,10.6130801263,9.7713530818,10.0055727812,12554187,0.0,1.0
2020-06-11,12.2,13.22,11.92,12.2,9174116,8.9296260373,9.676201329,8.7246838004,8.9296260373,9174116,0.0,1.0
2020-06-12,13.03,13.09,12.11,12.8,8103952,9.6190931225,9.6633867209,8.9399246135,9.4493009953,8103952,0.11,1.0
2020-06-15,12.01,13.09,11.82,12.89,7482151,8.8661019495,9.6633867209,8.7258388878,9.5157413929,7482151,0.0,1.0
