date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,18.0,18.04,17.54,17.78,1565291,18.0,18.04,17.54,17.78,1565291,0.0,1.0
2020-04-14,18.21,18.69,18.02,18.65,2429346,18.21,18.69,18.02,18.65,2429346,0.0,1.0
2020-04-15,18.23,18.58,18.08,18.22,2844302,18.23,18.58,18.08,18.22,2844302,0.0,1.0
2020-04-16,18.41,18.68,18.14,18.53,3360973,18.41,18.68,18.14,18.53,3360973,0.0,1.0
2020-04-17,19.1,19.47,18.78,19.44,2916071,19.1,19.47,18.78,19.44,2916071,0.0,1.0
2020-04-20,23.0,24.9,22.49,23.575,18410599,23.0,24.9,22.49,23.575,18410599,0.0,1.0
2020-04-21,23.57,25.128,23.33,24.56,8345825,23.57,25.128,23.33,24.56,8345825,0.0,1.0
2020-04-22,24.93,25.1999,24.41,24.72,3569165,24.93,25.1999,24.41,24.72,3569165,0.0,1.0
2020-04-23,24.8,26.4765,24.54,26.37,5343724,24.8,26.4765,24.54,26.37,5343724,0.0,1.0
2020-04-24,26.5,26.74,25.82,26.53,6437457,26.5,26.74,25.82,26.53,6437457,0.0,1.0
2020-04-27,26.872,27.655,26.28,27.37,3394072,26.872,27.655,26.28,27.37,3394072,0.0,1.0
2020-04-28,27.4,27.5,26.02,26.62,4339543,27.4,27.5,26.02,26.62,4339543,0.0,1.0
2020-04-29,26.99,27.1,25.86,26.065,3215639,26.99,27.1,25.86,26.065,3215639,0.0,1.0
2020-04-30,25.68,25.75,24.65,24.695,5338820,25.68,25.75,24.65,24.695,5338820,0.0,1.0
2020-05-01,24.35,24.59,23.96,24.1,3735794,24.35,24.59,23.96,24.1,3735794,0.0,1.0
2020-05-04,24.2,25.66,24.01,25.63,4100814,24.2,25.66,24.01,25.63,4100814,0.0,1.0
2020-05-05,25.97,26.0,24.98,25.29,3336360,25.97,26.0,24.98,25.29,3336360,0.0,1.0
2020-05-06,25.86,26.95,25.51,26.19,4615474,25.86,26.95,25.51,26.19,4615474,0.0,1.0
2020-05-07,25.02,25.99,25.0,25.3,3268424,25.02,25.99,25.0,25.3,3268424,0.0,1.0
2020-05-08,25.73,26.1401,25.18,26.0,3378035,25.73,26.1401,25.18,26.0,3378035,0.0,1.0
2020-05-11,25.88,27.47,25.67,27.42,4175870,25.88,27.47,25.67,27.42,4175870,0.0,1.0
