date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,23.84,24.06,22.81,23.08,2998289,21.548606755,21.7474613475,20.6176057081,20.8616545262,2998289,0.0,1.0
2020-04-14,23.7,23.96,23.28,23.44,2415899,21.4220629233,21.6570728963,21.0424314285,21.1870529503,2415899,0.0,1.0
2020-04-15,22.22,22.74,22.1,22.54,3307754,20.0843138463,20.5543337923,19.9758477049,20.37355689,3307754,0.0,1.0
2020-04-16,22.5,22.84,22.31,22.8,2012559,20.3374015095,20.6447222434,20.1656634523,20.608566863,2012559,0.0,1.0
2020-04-17,23.55,24.11,23.55,23.93,2017536,21.2864802466,21.7926555731,21.2864802466,21.629956361,2017536,0.0,1.0
2020-04-20,23.47,23.84,22.77,22.95,2397858,21.2141694857,21.548606755,20.5814503276,20.7441495397,2397858,0.0,1.0
2020-04-21,22.47,23.0,22.3,22.71,1687411,20.3102849742,20.7893437653,20.1566246072,20.5272172569,1687411,0.0,1.0
2020-04-22,22.73,23.29,22.66,23.12,2048250,20.5452949472,21.0514702736,20.4820230313,20.8978099067,2048250,0.0,1.0
2020-04-23,23.15,23.76,23.08,23.23,2170583,20.924926442,21.476295994,20.8616545262,20.9972372029,2170583,0.0,1.0
2020-04-24,23.49,24.74,23.35,24.13,2829626,21.2322471759,22.3621028153,21.1057033443,21.8107332633,2829626,0.0,1.0
2020-04-27,24.12,24.51,23.78,24.42,2133594,21.8016944182,22.1542093777,21.4943736843,22.0728597716,2133594,0.0,1.0
2020-04-28,24.68,25.16,24.47,24.48,1588647,22.3078697446,22.7417343102,22.1180539972,22.1270928423,1588647,0.0,1.0
2020-04-29,25.0,25.22,24.53,24.99,2446772,22.5971127883,22.7959673809,22.1722870679,22.5880739432,2446772,0.0,1.0
2020-04-30,24.86,25.13,24.23,24.24,2399053,22.4705689567,22.7146177748,21.9011217145,21.9101605596,2399053,0.0,1.0
2020-05-01,23.88,24.07,23.76,23.88,1956950,21.5847621354,21.7565001926,21.476295994,21.5847621354,1956950,0.0,1.0
2020-05-04,23.72,24.21,23.5,24.13,2191726,21.4401406136,21.8830440242,21.241286021,21.8107332633,2191726,0.0,1.0
2020-05-05,24.27,24.84,24.25,24.56,1824551,21.9372770949,22.4524912665,21.9191994047,22.1994036033,1824551,0.0,1.0
2020-05-06,24.93,25.09,24.54,24.62,1257102,22.5338408725,22.6784623944,22.181325913,22.253636674,1257102,0.0,1.0
2020-05-07,24.95,25.23,24.66,24.82,2302477,22.5519185628,22.805006226,22.2897920544,22.4344135763,2302477,0.0,1.0
2020-05-08,25.28,26.04,25.28,26.02,1826341,22.8502004516,23.5371526803,22.8502004516,23.5190749901,1826341,0.0,1.0
2020-05-11,25.61,26.0,25.52,25.65,2146999,23.1484823404,23.5009972999,23.0671327343,23.1846377208,2146999,0.0,1.0
2020-05-12,25.72,25.86,24.76,24.76,1424756,23.2479096366,23.3744534683,22.3801805056,22.3801805056,1424756,0.0,1.0
2020-05-13,24.65,24.94,23.66,24.11,2519975,22.2807532093,22.5428797176,21.3859075429,21.7926555731,2519975,0.0,1.0
2020-05-14,23.66,24.2,23.11,24.17,1586713,21.3859075429,21.8740051791,20.8887710615,21.8468886438,1586713,0.0,1.0
2020-05-15,23.97,24.43,23.8,24.29,3362136,21.6661117415,22.0818986168,21.5124513745,21.9553547851,3362136,0.0,1.0
2020-05-18,24.96,25.73,24.91,25.43,1488971,22.5609574079,23.2569484818,22.5157631823,22.9857831283,1488971,0.0,1.0
2020-05-19,25.38,25.75,25.24,25.25,1233951,22.9405889027,23.275026172,22.8140450711,22.8230839162,1233951,0.0,1.0
2020-05-20,25.41,25.73,25.27,25.32,1490685,22.9677054381,23.2569484818,22.8411616064,22.886355832,1490685,0.0,1.0
2020-05-21,25.26,25.46,25.12,25.3,1688830,22.8321227613,23.0128996636,22.7055789297,22.8682781418,1688830,0.0,1.0
2020-05-22,25.3,25.62,25.14,25.53,1123141,22.8682781418,23.1575211855,22.7236566199,23.0761715794,1123141,0.0,1.0
2020-05-26,26.41,26.57,26.21,26.28,1100428,23.8715899496,24.0162114714,23.6908130473,23.7540849631,1100428,0.0,1.0
2020-05-27,26.65,26.94,26.31,26.86,1552680,24.0885222324,24.3506487407,23.7812014984,24.2783379798,1552680,0.0,1.0
2020-05-28,26.86,26.98,26.48,26.5,1455039,24.2783379798,24.3868041212,23.9348618654,23.9529395556,1455039,0.0,1.0
2020-05-29,26.36,26.55,26.04,26.44,1896440,23.826395724,23.9981337812,23.5371526803,23.8987064849,1896440,0.0,1.0
2020-06-01,27.35,27.35,26.55,26.64,1436582,24.7212413904,24.7212413904,23.9981337812,24.0794833872,1436582,0.0,1.0
2020-06-02,26.91,27.0,26.63,26.97,1440886,24.3235322054,24.4048818114,24.0704445421,24.3777652761,1440886,0.0,1.0
2020-06-03,27.35,27.58,27.12,27.45,2280150,24.7212413904,24.9291348281,24.5133479528,24.8116298416,2280150,0.0,1.0
2020-06-04,27.34,27.52,26.79,27.06,2639310,24.7122025453,24.8749017574,24.215066064,24.4591148821,2639310,0.0,1.0
2020-06-05,27.84,28.14,27.38,27.68,3399683,25.1641448011,25.4353101545,24.7483579258,25.0195232792,3399683,0.0,1.0
2020-06-08,27.76,27.98,27.57,27.74,1540165,25.0918340402,25.2906886327,24.920095983,25.0737563499,1540165,0.0,1.0
2020-06-09,27.38,27.92,27.21,27.68,1746770,24.7483579258,25.236455562,24.5946975588,25.0195232792,1746770,0.0,1.0
2020-06-10,27.76,27.98,27.4,27.83,3127123,25.0918340402,25.2906886327,24.766435616,25.155105956,3127123,0.0,1.0
2020-06-11,26.98,27.14,26.29,26.37,2465448,24.3868041212,24.531425643,23.7631238082,23.8354345691,2465448,0.0,1.0
2020-06-12,27.7,27.7,26.25,26.71,2974013,25.0376009695,25.0376009695,23.7269684278,24.1427553031,2974013,0.0,1.0
2020-06-15,26.03,27.18,25.9,27.04,2123859,23.5281138352,24.5675810235,23.4106088487,24.4410371919,2123859,0.0,1.0
2020-06-16,27.56,27.6,26.64,26.86,2712028,24.9110571379,24.9472125183,24.0794833872,24.2783379798,2712028,0.0,1.0
2020-06-17,26.99,27.21,26.7,26.89,1639590,24.3958429663,24.5946975588,24.1337164579,24.3054545151,1639590,0.0,1.0
2020-06-18,26.75,26.94,26.57,26.75,2062025,24.1789106835,24.3506487407,24.0162114714,24.1789106835,2062025,0.0,1.0
2020-06-19,27.25,27.25,26.57,27.08,4149781,24.6308529393,24.6308529393,24.0162114714,24.4771925723,4149781,0.0,1.0
2020-06-22,27.14,27.17,26.61,26.71,1658456,24.531425643,24.5585421784,24.0523668519,24.1427553031,1658456,0.0,1.0
2020-06-23,27.12,27.18,26.63,26.65,1636308,24.5133479528,24.5675810235,24.0704445421,24.0885222324,1636308,0.0,1.0
2020-06-24,26.5,26.52,25.59,25.78,2375077,23.9529395556,23.9710172459,23.1304046501,23.3021427073,2375077,0.0,1.0
2020-06-25,25.63,25.74,25.2,25.68,1648154,23.1665600306,23.2659873269,22.7778896906,23.2117542562,1648154,0.0,1.0
2020-06-26,25.61,25.63,25.08,25.2,3179673,23.1484823404,23.1665600306,22.6694235493,22.7778896906,3179673,0.0,1.0
2020-06-29,25.45,25.965,25.29,25.78,2170543,23.0038608185,23.469361342,22.8592392967,23.3021427073,2170543,0.0,1.0
2020-06-30,25.45,25.93,25.36,25.77,2735284,23.0038608185,23.4377253841,22.9225112125,23.2931038622,2735284,0.0,1.0
2020-07-01,25.73,25.95,25.37,25.53,1841609,23.2569484818,23.4558030743,22.9315500576,23.0761715794,1841609,0.0,1.0
2020-07-02,25.94,26.13,25.72,25.98,1153352,23.4467642292,23.6185022864,23.2479096366,23.4829196096,1153352,0.0,1.0
2020-07-06,26.52,26.55,26.01,26.24,986537,23.9710172459,23.9981337812,23.510036145,23.7179295826,986537,0.0,1.0
2020-07-07,25.96,26.1,25.73,25.78,1402569,23.4648419194,23.591385751,23.2569484818,23.3021427073,1402569,0.0,1.0
2020-07-08,25.82,26.02,25.23,25.38,1309300,23.3382980878,23.5190749901,22.805006226,22.9405889027,1309300,0.0,1.0
2020-07-09,25.32,25.37,24.7,24.91,1517046,22.9966072451,23.0420191867,22.4334991688,22.6242293237,1517046,0.12,1.0
2020-07-10,24.94,25.28,24.74,25.27,1551811,22.6514764887,22.9602776918,22.4698287221,22.9511953035,1551811,0.0,1.0
2020-07-13,25.44,25.63,25.0,25.03,1639926,23.105595905,23.2781612833,22.7059708186,22.7332179836,1639926,0.0,1.0
2020-07-14,25.15,25.6,25.05,25.56,2017766,22.8422066435,23.2509141183,22.7513827603,23.214584565,2017766,0.0,1.0
2020-07-15,26.01,26.06,25.51,25.96,1203111,23.6232920397,23.6687039813,23.1691726233,23.5778800981,1203111,0.0,1.0
2020-07-16,25.86,26.13,25.64,26.07,1552978,23.4870562148,23.7322806996,23.2872436716,23.6777863697,1552978,0.0,1.0
2020-07-17,26.11,26.15,25.77,25.82,1178694,23.714115923,23.7504454763,23.4053147198,23.4507266615,1178694,0.0,1.0
2020-07-20,25.8,25.92,25.57,25.81,1413118,23.4325618848,23.5415505448,23.2236669533,23.4416442732,1413118,0.0,1.0
