date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,107.16,107.98,101.66,103.61,2817064,102.099997256,102.8812775635,96.8597025107,98.7176251931,2817064,0.0,1.0
2020-04-14,105.3,112.72,105.22,112.54,3677082,100.3278248513,107.3974588531,100.2516023822,107.2259582978,3677082,0.0,1.0
2020-04-15,106.5,111.35,106.5,109.48,2513217,101.4711618866,106.0921490711,101.4711618866,104.3104488577,2513217,0.0,1.0
2020-04-16,109.53,110.75,106.62,108.32,2591063,104.3580879008,105.5204805534,101.5854955901,103.2052230569,2591063,0.0,1.0
2020-04-17,112.8,116.08,111.22,115.66,2361130,107.4736813221,110.5988025521,105.9682875589,110.1986345897,2361130,0.0,1.0
2020-04-20,112.59,114.92,108.69,110.43,2834473,107.273597341,109.4935767512,103.5577519761,105.2155906773,2834473,0.0,1.0
2020-04-21,103.81,114.29,100.56,105.47,4037650,98.9081813657,108.8933248077,95.8116435617,100.4897975979,4037650,0.0,1.0
2020-04-22,108.33,108.91,104.34,104.52,3110518,103.2147508655,103.7673637659,99.413155223,99.5846557783,3110518,0.0,1.0
2020-04-23,105.5,109.5,104.61,104.74,2894601,100.5183810238,104.329504475,99.6704060559,99.7942675681,2894601,0.0,1.0
2020-04-24,106.01,108.61,104.28,107.83,2366136,101.0042992638,103.4815295071,99.3559883712,102.7383604341,2366136,0.0,1.0
2020-04-27,108.86,111.91,108.68,110.89,2328678,103.7197247228,106.6257063543,103.5482241675,105.6538698742,2328678,0.0,1.0
2020-04-28,111.66,113.74,108.89,109.26,2354130,106.3875111386,108.3692953332,103.7483081487,104.1008370679,2354130,0.0,1.0
2020-04-29,112.59,115.97,111.41,113.33,2837635,107.273597341,110.4939966572,106.1493159229,107.9786551794,2837635,0.0,1.0
2020-04-30,111.86,112.3,109.06,109.88,2205421,106.5780673111,106.9972908907,103.9102808953,104.6915612028,2205421,0.0,1.0
