date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,14.89,14.97,14.24,14.49,2057537,11.832268788,11.8958404134,11.3157493312,11.5144106607,2057537,0.0,1.0
2020-04-14,14.87,15.02,14.26,14.53,1983570,11.8163758816,11.9355726794,11.3316422375,11.5461964734,1983570,0.0,1.0
2020-04-15,13.88,14.13,13.45,13.52,2543835,11.0296770166,11.2283383462,10.6879795298,10.7436047021,2543835,0.0,1.0
2020-04-16,13.54,13.84,13.18,13.68,3052416,10.7594976084,10.9978912039,10.4734252939,10.870747953,3052416,0.0,1.0
2020-04-17,14.25,14.71,14.1,14.36,3690212,11.3236957843,11.6892326307,11.2044989866,11.4111067693,3690212,0.0,1.0
2020-04-20,14.11,14.31,13.69,13.72,2244801,11.2124454398,11.3713745034,10.8786944062,10.9025337657,2244801,0.0,1.0
2020-04-21,13.25,14.06,13.2,13.89,2963436,10.5290504661,11.1727131739,10.4893182002,11.0376234698,2963436,0.0,1.0
2020-04-22,14.25,14.38,13.79,13.86,1938490,11.3236957843,11.4269996757,10.958158938,11.0137841102,1938490,0.0,1.0
2020-04-23,13.93,14.39,13.91,14.25,2562454,11.0694092825,11.4349461289,11.0535163762,11.3236957843,2562454,0.0,1.0
2020-04-24,14.41,14.93,14.31,14.7,4132197,11.4508390353,11.8640546007,11.3713745034,11.6812861775,4132197,0.0,1.0
2020-04-27,14.84,15.06,14.71,14.9,2078601,11.7925365221,11.9673584921,11.6892326307,11.8402152412,2078601,0.0,1.0
2020-04-28,15.42,16.11,15.17,15.81,3379963,12.2534308066,12.8017360762,12.0547694771,12.5633424807,3379963,0.0,1.0
2020-04-29,16.31,16.85,16.23,16.78,9402627,12.9606651398,13.3897736117,12.8970935144,13.3341484394,9402627,0.0,1.0
2020-04-30,16.85,16.96,16.39,16.65,4436618,13.3897736117,13.4771845967,13.0242367653,13.230844548,4436618,0.0,1.0
2020-05-01,16.11,16.47,15.91,16.06,2730618,12.8017360762,13.0878083907,12.6428070126,12.7620038103,2730618,0.0,1.0
2020-05-04,15.71,16.52,15.54,16.5,2753686,12.4838779489,13.1275406567,12.3487882448,13.1116477503,2753686,0.0,1.0
2020-05-05,16.55,16.77,15.84,15.86,2799331,13.1513800162,13.3262019862,12.5871818403,12.6030747466,2799331,0.0,1.0
2020-05-06,16.03,16.11,15.5,15.54,2033832,12.7381644507,12.8017360762,12.3170024321,12.3487882448,2033832,0.0,1.0
2020-05-07,15.7,16.14,15.39,15.6,2185301,12.4759314957,12.8255754357,12.2295914471,12.3964669639,2185301,0.0,1.0
2020-05-08,15.84,16.33,15.78,16.22,2374612,12.5871818403,12.9765580462,12.5395031212,12.8891470612,2374612,0.0,1.0
2020-05-11,16.22,16.22,15.66,16.06,1989121,12.8891470612,12.8891470612,12.444145683,12.7620038103,1989121,0.0,1.0
2020-05-12,16.13,16.42,15.61,15.63,1803840,12.8176289826,13.0480761248,12.4044134171,12.4203063235,1803840,0.0,1.0
2020-05-13,15.54,15.61,14.52,14.71,2901432,12.3487882448,12.4044134171,11.5382500203,11.6892326307,2901432,0.0,1.0
2020-05-14,14.41,15.45,14.11,15.37,2164564,11.4508390353,12.2772701662,11.2124454398,12.2136985407,2164564,0.0,1.0
2020-05-15,15.2,15.98,15.06,15.63,1978272,12.0786088366,12.6984321848,11.9673584921,12.4203063235,1978272,0.0,1.0
2020-05-18,16.34,17.25,16.34,16.73,2749707,12.9845044994,13.7076317389,12.9845044994,13.2944161735,2749707,0.0,1.0
2020-05-19,16.7,16.84,16.23,16.51,2078831,13.2705768139,13.3818271585,12.8970935144,13.1195942035,2078831,0.0,1.0
2020-05-20,16.79,16.93,16.52,16.68,2407738,13.3420948926,13.4533452371,13.1275406567,13.2546839076,2407738,0.0,1.0
2020-05-21,16.66,17.24,16.66,16.99,2417182,13.2387910012,13.6996852858,13.2387910012,13.5010239562,2417182,0.0,1.0
2020-05-22,17.0,17.11,16.67,16.94,1412721,13.5089704094,13.5963813944,13.2467374544,13.4612916903,1412721,0.0,1.0
2020-05-26,17.72,17.88,17.42,17.59,2209910,14.0811150385,14.2082582894,13.842721443,13.9778111471,2209910,0.0,1.0
2020-05-27,18.12,18.14,17.67,17.98,2553618,14.3989731658,14.4148660721,14.0413827726,14.2877228212,2553618,0.0,1.0
2020-05-28,18.05,18.06,17.22,17.27,1992373,14.3433479935,14.3512944467,13.6837923794,13.7235246453,1992373,0.0,1.0
2020-05-29,17.07,17.32,16.72,17.0,3195827,13.5645955817,13.7632569112,13.2864697203,13.5089704094,3195827,0.0,1.0
2020-06-01,17.05,17.61,17.01,17.37,2415097,13.5487026753,13.9937040535,13.5169168626,13.8029891771,2415097,0.0,1.0
2020-06-02,17.68,17.79,16.78,17.16,3560949,14.0493292258,14.1367402108,13.3341484394,13.6361136603,3560949,0.0,1.0
2020-06-03,17.46,18.31,17.46,18.07,2746841,13.8745072558,14.5499557762,13.8745072558,14.3592408999,2746841,0.0,1.0
2020-06-04,18.08,18.66,17.69,18.59,2165645,14.367187353,14.8280816376,14.057275679,14.7724564653,2165645,0.0,1.0
2020-06-05,19.19,19.74,18.95,18.97,3207733,15.2492436562,15.6862985813,15.0585287799,15.0744216862,3207733,0.0,1.0
2020-06-08,19.38,19.81,19.26,19.76,2443918,15.4002262667,15.7419237535,15.3048688285,15.7021914876,2443918,0.0,1.0
2020-06-09,19.33,19.38,18.69,19.1,2391711,15.3604940008,15.4002262667,14.8519209971,15.1777255776,2391711,0.0,1.0
2020-06-10,19.12,19.44,18.41,18.93,3682141,15.193618484,15.4479049858,14.6294203081,15.0426358735,3682141,0.0,1.0
2020-06-11,17.88,18.21,17.36,17.37,2801889,14.2082582894,14.4704912444,13.7950427239,13.8029891771,2801889,0.0,1.0
2020-06-12,18.02,18.18,17.3,17.87,3441864,14.319508634,14.4466518849,13.7473640049,14.2003118362,3441864,0.0,1.0
2020-06-15,17.23,18.04,16.95,17.74,3719261,13.6917388326,14.3354015403,13.4692381435,14.0970079449,3719261,0.0,1.0
2020-06-16,18.4,18.48,17.5,18.03,4101360,14.6214738549,14.6850454803,13.9062930685,14.3274550871,4101360,0.0,1.0
2020-06-17,18.3,18.33,16.25,16.32,7878382,14.5420093231,14.5658486826,12.9129864207,12.968611593,7878382,0.0,1.0
2020-06-18,16.0,16.53,15.7,16.37,4843331,12.7143250912,13.1354871098,12.4759314957,13.0083438589,4843331,0.0,1.0
2020-06-19,16.67,16.75,15.43,15.73,7230505,13.2467374544,13.3103090798,12.2613772598,12.4997708553,7230505,0.0,1.0
2020-06-22,15.5,15.56,14.97,15.28,3805080,12.3170024321,12.3646811512,11.8958404134,12.1421804621,3805080,0.0,1.0
2020-06-23,15.45,16.08,15.39,15.76,4616225,12.2772701662,12.7778967166,12.2295914471,12.5236102148,4616225,0.0,1.0
2020-06-24,15.6,15.68,14.83,14.86,5274786,12.3964669639,12.4600385894,11.7845900689,11.8084294284,5274786,0.0,1.0
2020-06-25,14.46,14.52,13.89,14.1,5147765,11.7024541762,11.7510120774,11.2411541153,11.4111067693,5147765,0.26,1.0
2020-06-26,13.94,14.13,13.46,13.5,6171799,11.281619033,11.4353857199,10.8931558238,10.9255277579,6171799,0.0,1.0
2020-06-29,13.59,14.38,13.55,14.21,3654349,10.9983646096,11.637710308,10.9659926755,11.5001295881,3654349,0.0,1.0
2020-06-30,14.15,14.33,14.04,14.28,3112015,11.451571687,11.5972453904,11.3625488682,11.5567804728,3112015,0.0,1.0
2020-07-01,14.28,14.63,13.99,14.0,3375854,11.5567804728,11.8400348961,11.3220839506,11.3301769341,3375854,0.0,1.0
2020-07-02,14.24,14.51,13.91,13.94,2676477,11.5244085387,11.7429190938,11.2573400824,11.281619033,2676477,0.0,1.0
2020-07-06,14.21,14.49,13.88,14.41,4540535,11.5001295881,11.7267331268,11.2330611318,11.6619892586,4540535,0.0,1.0
2020-07-07,14.22,14.31,14.05,14.11,3593797,11.5082225716,11.5810594234,11.3706418517,11.4191997529,3593797,0.0,1.0
2020-07-08,14.09,14.28,13.63,13.93,2728081,11.4030137858,11.5567804728,11.0307365437,11.2735260494,2728081,0.0,1.0
2020-07-09,13.89,13.89,13.05,13.15,3750720,11.2411541153,11.2411541153,10.5613434993,10.6422733345,3750720,0.0,1.0
2020-07-10,13.17,14.01,13.17,13.96,3075466,10.6584593016,11.3382699176,10.6584593016,11.297805,3075466,0.0,1.0
2020-07-13,14.09,14.45,13.86,14.09,3315672,11.4030137858,11.6943611927,11.2168751648,11.4030137858,3315672,0.0,1.0
2020-07-14,14.0,14.12,13.54,13.61,3940115,11.3301769341,11.4272927364,10.957899692,11.0145505767,3940115,0.0,1.0
2020-07-15,14.2,15.35,14.17,15.26,4899173,11.4920366046,12.4227297099,11.467757654,12.3498928582,4899173,0.0,1.0
2020-07-16,15.15,15.31,14.79,14.95,3163196,12.2608700394,12.3903577758,11.9695226325,12.0990103689,3163196,0.0,1.0
2020-07-17,14.99,15.1,14.54,14.74,3323773,12.131382303,12.2204051218,11.7671980444,11.9290577149,3323773,0.0,1.0
2020-07-20,14.56,14.7,14.06,14.14,3299864,11.7833840115,11.8966857808,11.3787348352,11.4434787034,3299864,0.0,1.0
2020-07-21,14.3,14.77,14.29,14.37,2929882,11.5729664398,11.9533366655,11.5648734563,11.6296173245,2929882,0.0,1.0
2020-07-22,14.28,14.42,14.2,14.36,3054315,11.5567804728,11.6700822421,11.4920366046,11.621524341,3054315,0.0,1.0
2020-07-23,14.28,14.745,14.21,14.55,2029892,11.5567804728,11.9331042067,11.5001295881,11.7752910279,2029892,0.0,1.0
