date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,153.32,153.32,148.9,150.88,204814,153.32,153.32,148.9,150.88,204814,0.0,1.0
2020-04-14,153.43,157.24,150.9,154.99,284538,153.43,157.24,150.9,154.99,284538,0.0,1.0
2020-04-15,150.32,154.99,148.82,152.79,292137,150.32,154.99,148.82,152.79,292137,0.0,1.0
2020-04-16,154.04,157.31,152.0,156.29,335050,154.04,157.31,152.0,156.29,335050,0.0,1.0
2020-04-17,159.59,161.51,158.16,159.89,210919,159.59,161.51,158.16,159.89,210919,0.0,1.0
2020-04-20,154.48,160.29,152.77,158.42,263389,154.48,160.29,152.77,158.42,263389,0.0,1.0
2020-04-21,155.69,158.22,150.36,151.86,360436,155.69,158.22,150.36,151.86,360436,0.0,1.0
2020-04-22,152.7,158.15,152.27,158.13,308791,152.7,158.15,152.27,158.13,308791,0.0,1.0
2020-04-23,163.81,163.87,147.94,148.9,440578,163.81,163.87,147.94,148.9,440578,0.0,1.0
2020-04-24,149.38,149.45,146.41,149.01,336307,149.38,149.45,146.41,149.01,336307,0.0,1.0
2020-04-27,151.53,153.0,148.89,151.02,445341,151.53,153.0,148.89,151.02,445341,0.0,1.0
2020-04-28,152.21,154.84,150.54,152.54,418050,152.21,154.84,150.54,152.54,418050,0.0,1.0
2020-04-29,155.1,162.23,153.7,162.0,289075,155.1,162.23,153.7,162.0,289075,0.0,1.0
2020-04-30,161.38,163.37,160.0,160.47,396625,161.38,163.37,160.0,160.47,396625,0.0,1.0
2020-05-01,158.33,158.33,153.715,154.15,338639,158.33,158.33,153.715,154.15,338639,0.0,1.0
2020-05-04,150.27,155.89,148.76,153.49,273046,150.27,155.89,148.76,153.49,273046,0.0,1.0
2020-05-05,145.45,156.99,145.11,151.92,288720,145.45,156.99,145.11,151.92,288720,0.0,1.0
2020-05-06,151.34,153.82,149.695,150.29,313209,151.34,153.82,149.695,150.29,313209,0.0,1.0
2020-05-07,151.26,156.33,151.26,156.04,269248,151.26,156.33,151.26,156.04,269248,0.0,1.0
2020-05-08,158.29,159.16,157.08,158.88,171506,158.29,159.16,157.08,158.88,171506,0.0,1.0
2020-05-11,157.5,162.14,156.2667,161.08,158657,157.5,162.14,156.2667,161.08,158657,0.0,1.0
2020-05-12,160.42,161.7,154.71,155.35,230351,160.42,161.7,154.71,155.35,230351,0.0,1.0
2020-05-13,154.0,157.77,153.61,154.73,232949,154.0,157.77,153.61,154.73,232949,0.0,1.0
2020-05-14,153.66,155.59,151.54,155.31,276245,153.66,155.59,151.54,155.31,276245,0.0,1.0
2020-05-15,154.61,157.38,154.0,157.03,169150,154.61,157.38,154.0,157.03,169150,0.0,1.0
2020-05-18,160.11,162.6,158.595,162.17,151532,160.11,162.6,158.595,162.17,151532,0.0,1.0
2020-05-19,162.18,162.97,159.115,159.24,191298,162.18,162.97,159.115,159.24,191298,0.0,1.0
2020-05-20,160.27,165.0,160.14,164.39,249688,160.27,165.0,160.14,164.39,249688,0.0,1.0
2020-05-21,162.19,166.1,162.03,164.74,228659,162.19,166.1,162.03,164.74,228659,0.0,1.0
2020-05-22,164.61,170.0,164.61,166.51,416722,164.61,170.0,164.61,166.51,416722,0.0,1.0
2020-05-26,168.03,171.79,166.93,167.7,356602,168.03,171.79,166.93,167.7,356602,0.0,1.0
2020-05-27,168.54,168.54,162.63,164.48,349264,168.54,168.54,162.63,164.48,349264,0.0,1.0
2020-05-28,165.87,167.14,164.38,165.61,268873,165.87,167.14,164.38,165.61,268873,0.0,1.0
2020-05-29,166.22,169.0,163.16,168.45,217552,166.22,169.0,163.16,168.45,217552,0.0,1.0
2020-06-01,167.64,172.18,165.93,169.74,202979,167.64,172.18,165.93,169.74,202979,0.0,1.0
2020-06-02,169.35,171.5,168.06,170.94,144655,169.35,171.5,168.06,170.94,144655,0.0,1.0
2020-06-03,170.94,173.77,168.77,169.48,206465,170.94,173.77,168.77,169.48,206465,0.0,1.0
2020-06-04,168.02,170.27,164.115,164.91,319206,168.02,170.27,164.115,164.91,319206,0.0,1.0
2020-06-05,166.95,167.16,162.17,162.62,276981,166.95,167.16,162.17,162.62,276981,0.0,1.0
2020-06-08,162.62,164.09,161.155,162.36,257538,162.62,164.09,161.155,162.36,257538,0.0,1.0
2020-06-09,162.35,162.83,159.33,159.41,170525,162.35,162.83,159.33,159.41,170525,0.0,1.0
2020-06-10,160.88,167.005,160.01,165.58,315328,160.88,167.005,160.01,165.58,315328,0.0,1.0
2020-06-11,163.84,164.14,155.48,155.66,245188,163.84,164.14,155.48,155.66,245188,0.0,1.0
2020-06-12,161.14,164.1,155.28,158.07,230085,161.14,164.1,155.28,158.07,230085,0.0,1.0
2020-06-15,155.73,160.61,155.45,159.86,128580,155.73,160.61,155.45,159.86,128580,0.0,1.0
2020-06-16,163.06,165.86,159.37,160.03,268701,163.06,165.86,159.37,160.03,268701,0.0,1.0
2020-06-17,160.46,162.0,157.775,159.28,143056,160.46,162.0,157.775,159.28,143056,0.0,1.0
2020-06-18,159.31,162.005,157.41,158.72,159740,159.31,162.005,157.41,158.72,159740,0.0,1.0
2020-06-19,160.0,162.29,159.58,161.62,239269,160.0,162.29,159.58,161.62,239269,0.0,1.0
2020-06-22,162.26,162.425,157.05,159.05,145854,162.26,162.425,157.05,159.05,145854,0.0,1.0
2020-06-23,160.85,168.77,160.62,167.59,466370,160.85,168.77,160.62,167.59,466370,0.0,1.0
2020-06-24,167.32,167.47,161.56,162.58,321964,167.32,167.47,161.56,162.58,321964,0.0,1.0
2020-06-25,162.27,163.98,159.5,162.67,309011,162.27,163.98,159.5,162.67,309011,0.0,1.0
2020-06-26,161.75,163.18,158.625,159.73,196178,161.75,163.18,158.625,159.73,196178,0.0,1.0
2020-06-29,160.49,162.79,159.79,162.49,164900,160.49,162.79,159.79,162.49,164900,0.0,1.0
2020-06-30,162.98,169.3,160.8,168.46,181000,162.98,169.3,160.8,168.46,181000,0.0,1.0
2020-07-01,170.51,171.27,166.69,167.83,144500,170.51,171.27,166.69,167.83,144500,0.0,1.0
2020-07-02,169.32,169.32,166.66,166.91,175200,169.32,169.32,166.66,166.91,175200,0.0,1.0
2020-07-06,169.0,171.18,167.95,169.47,133500,169.0,171.18,167.95,169.47,133500,0.0,1.0
2020-07-07,168.37,172.57,167.09,171.88,187200,168.37,172.57,167.09,171.88,187200,0.0,1.0
2020-07-08,172.96,174.89,170.45,171.4,184800,172.96,174.89,170.45,171.4,184800,0.0,1.0
2020-07-09,171.4,174.79,170.57,174.28,286900,171.4,174.79,170.57,174.28,286900,0.0,1.0
2020-07-10,173.37,173.37,167.24,169.96,320300,173.37,173.37,167.24,169.96,320300,0.0,1.0
2020-07-13,171.46,176.61,171.46,171.79,197100,171.46,176.61,171.46,171.79,197100,0.0,1.0
