date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,140.0,141.49,137.84,139.77,8137084,118.3910757874,119.651095094,116.5644706182,118.1965761629,8137084,0.0,1.0
2020-04-14,145.42,147.42,144.05,146.03,13821935,122.9745017215,124.6658028042,121.8159604799,123.4903485517,13821935,0.0,1.0
2020-04-15,145.55,147.91,143.54,147.66,11950329,123.0844362919,125.0801715694,121.3846787038,124.8687589341,11950329,0.0,1.0
2020-04-16,148.31,150.68,146.44,149.67,12152056,125.418431786,127.4226235689,123.8370652737,126.5685165222,12152056,0.0,1.0
2020-04-17,151.99,152.3,149.6,152.02,10916140,128.5304257781,128.7925774459,126.5093209843,128.5557952943,10916140,0.0,1.0
2020-04-20,150.93,153.0,150.09,151.67,12222908,127.6340362043,129.3845328249,126.9236897496,128.2598176049,12222908,0.0,1.0
2020-04-21,150.12,151.64,148.57,149.68,9944599,126.9490592658,128.2344480886,125.6383009267,126.5769730276,9944599,0.0,1.0
2020-04-22,152.81,155.0,151.73,152.99,11500550,129.223859222,131.0758339075,128.3105566374,129.3760763194,11500550,0.0,1.0
2020-04-23,154.25,157.0,153.7,155.51,10692667,130.4415960015,132.7671349902,129.9764882038,131.5071156836,10692667,0.0,1.0
2020-04-24,155.57,156.3,153.64,154.86,8652827,131.5578547161,132.1751796113,129.9257491713,130.9574428317,8652827,0.0,1.0
2020-04-27,154.81,156.05,154.0,154.29,8921154,130.9151603047,131.9637669759,130.2301833662,130.4754220232,8921154,0.0,1.0
2020-04-28,151.25,153.1,150.7,151.39,8555906,127.9046443775,129.469097879,127.4395365798,128.0230354533,8555906,0.0,1.0
2020-04-29,151.38,151.63,149.16,150.24,9277877,128.0145789479,128.2259915832,126.1372347461,127.0505373308,9277877,0.0,1.0
2020-04-30,148.46,150.43,147.16,150.04,14826054,125.5452793672,127.2112109336,124.4459336634,126.8814072225,14826054,0.0,1.0
2020-05-01,149.62,149.67,146.79,148.29,7307309,126.5262339951,126.5685165222,124.1330429631,125.4015187751,7307309,0.0,1.0
2020-05-04,148.77,149.08,147.09,148.27,7195484,125.807431035,126.0695827028,124.3867381255,125.3846057643,7195484,0.0,1.0
2020-05-05,149.0,150.78,148.64,149.5,6561193,126.0019306595,127.5071886231,125.6974964646,126.4247559302,6561193,0.0,1.0
2020-05-06,150.0,150.32,148.04,148.08,6190061,126.8475812008,127.1181893741,125.1901061398,125.2239321615,6190061,0.0,1.0
2020-05-07,149.37,149.53,147.13,147.59,5570411,126.3148213598,126.4501254464,124.4205641472,124.8095633962,5570411,0.0,1.0
2020-05-08,148.92,149.18,147.89,148.7,4712057,125.9342786162,126.1541477569,125.0632585586,125.7482354971,4712057,0.0,1.0
2020-05-11,148.45,150.1,148.12,149.11,5885409,125.5368228618,126.932146255,125.2577581831,126.094952219,5885409,0.0,1.0
2020-05-12,150.1,150.34,147.03,147.14,7034686,126.932146255,127.1351023849,124.3359990931,124.4290206526,7034686,0.0,1.0
2020-05-13,146.08,148.95,146.01,147.13,6967453,123.5326310788,125.9596481324,123.4734355409,124.4205641472,6967453,0.0,1.0
2020-05-14,145.39,147.76,144.26,147.64,6869276,122.9491322053,124.9533239882,121.9935470936,124.8518459233,6869276,0.0,1.0
2020-05-15,147.87,150.48,145.66,150.44,10336124,125.0463455478,127.2534934607,123.1774578514,127.219667439,10336124,0.0,1.0
2020-05-18,152.49,153.62,150.46,150.52,7388132,128.9532510488,129.9088361605,127.2365804499,127.2873194823,7388132,0.0,1.0
2020-05-19,150.1,151.1,148.4,149.02,6105696,126.932146255,127.7777967963,125.4945403347,126.0188436703,6105696,0.0,1.0
2020-05-20,149.75,150.39,147.27,147.68,5710251,126.6361685655,127.177384912,124.538955223,124.8856719449,5710251,0.0,1.0
2020-05-21,148.5,148.5,145.82,146.71,6537292,125.5791053888,125.5791053888,123.312761938,124.0653909198,6537292,0.0,1.0
2020-05-22,144.57,146.29,144.06,144.37,6137464,123.1109890277,124.5756836471,122.6766900417,122.9406756999,6137464,1.01,1.0
2020-05-26,146.19,146.44,144.3,144.56,7071250,124.4905269832,124.703418643,122.8810660351,123.1024733613,7071250,0.0,1.0
2020-05-27,144.32,145.25,143.01,144.89,7947858,122.8980973679,123.6900543423,121.7825450706,123.3834903522,7947858,0.0,1.0
2020-05-28,146.02,148.11,145.81,146.97,6189565,124.3457606545,126.1255349304,124.1669316603,125.1547489617,6189565,0.0,1.0
2020-05-29,147.96,149.35,145.33,148.75,8503996,125.9977999345,127.181477563,123.7581796735,126.6705375795,8503996,0.0,1.0
2020-06-01,147.29,148.34,146.01,147.19,6141675,125.4272502863,126.3213952574,124.3372449881,125.3420936224,6141675,0.0,1.0
2020-06-02,147.06,148.35,146.12,148.25,6073895,125.2313899593,126.3299109238,124.4309173184,126.2447542599,6073895,0.0,1.0
2020-06-03,148.52,149.14,146.45,148.65,6338069,126.4746772525,127.0026485688,124.7119343094,126.5853809156,6338069,0.0,1.0
2020-06-04,146.8,148.37,145.58,146.73,8168982,125.0099826331,126.3469422566,123.9710713333,124.9503729683,8168982,0.0,1.0
2020-06-05,147.69,149.64,146.6,147.3,9724303,125.767876942,127.4284318884,124.8396693052,125.4357659527,9724303,0.0,1.0
2020-06-08,145.88,147.61,145.74,146.77,7552228,124.226541325,125.6997516108,124.1073219955,124.9844356339,7552228,0.0,1.0
2020-06-09,148.25,149.33,145.65,145.96,8246292,126.2447542599,127.1644462302,124.030680998,124.2946666562,8246292,0.0,1.0
2020-06-10,146.6,150.03,146.6,147.8,10097406,124.8396693052,127.7605428777,124.8396693052,125.8615492723,10097406,0.0,1.0
2020-06-11,148.58,149.17,140.75,140.87,11906959,126.5257712508,127.028195568,119.858004466,119.9601924627,11906959,0.0,1.0
2020-06-12,142.84,143.71,140.28,142.15,8685742,121.6377787419,122.378641718,119.4577681456,121.0501977608,8685742,0.0,1.0
2020-06-15,141.0,142.4,139.39,141.25,8649237,120.0708961258,121.2630894206,118.6998738367,120.2837877856,8649237,0.0,1.0
