date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,144.97,146.59,142.88,144.42,2287832,135.361227443,136.8738520444,133.4097549635,134.8476820537,2287832,0.0,1.0
2020-04-14,147.28,151.55,144.05,151.11,3808936,137.5181180783,141.5050977374,134.5022060645,141.0942614259,3808936,0.0,1.0
2020-04-15,148.94,153.4,148.51,151.18,3614354,139.0680914352,143.2324776834,138.6665923126,141.1596217482,3614354,0.0,1.0
2020-04-16,152.89,155.59,152.0,154.73,3510517,142.7562810496,145.2773220519,141.9252712378,144.4743238067,3510517,0.0,1.0
2020-04-17,155.42,157.67,153.03,157.29,3709851,145.1185898406,147.2194573425,142.8870016942,146.8646441644,3709851,0.0,1.0
2020-04-20,156.63,160.2,155.61,157.79,2562180,146.2483896972,149.5817661335,145.2959964297,147.3315036093,2562180,0.0,1.0
2020-04-21,155.41,155.8,151.41,152.67,4243180,145.1092526517,145.4734030187,141.3743770928,142.5508628939,4243180,0.0,1.0
2020-04-22,154.61,157.28,153.57,156.71,3277855,144.3622775399,146.8553069755,143.3912098946,146.3230872084,3277855,0.0,1.0
2020-04-23,157.18,162.56,154.0,159.93,5689915,146.7619350865,151.7853427132,143.7927090172,149.3296620333,5689915,0.0,1.0
2020-04-24,162.0,164.9,160.61,162.93,4414022,151.262460135,153.9702449152,149.9645908783,152.1308187024,4414022,0.0,1.0
2020-04-27,164.0,164.5,160.72,161.29,3210349,153.1298979144,153.5967573593,150.0672999561,150.5995197233,3210349,0.0,1.0
2020-04-28,160.94,161.98,156.59,157.3,3270176,150.2727181119,151.2437857572,146.2110409416,146.8739813533,3270176,0.0,1.0
2020-04-29,157.76,158.03,154.67,155.16,3240729,147.3034920426,147.5555961428,144.4183006733,144.8758229293,3240729,0.0,1.0
2020-04-30,155.2,156.98,153.28,154.64,4172875,144.9131716849,146.5751913086,143.1204314166,144.3902891066,4172875,0.0,1.0
2020-05-01,153.72,154.6,151.57,153.63,2576415,143.5312677281,144.352940351,141.5237721152,143.447233028,2576415,0.0,1.0
2020-05-04,154.65,156.0,151.26,153.28,2228449,144.3996262955,145.6601467966,141.2343192594,143.1204314166,2228449,0.0,1.0
2020-05-05,153.8,159.22,152.75,157.89,2862594,143.6059652393,148.6667216216,142.6255604051,147.4248754982,2862594,0.0,1.0
2020-05-06,158.46,158.94,156.35,156.68,1964781,147.9570952654,148.4052803324,145.9869484081,146.2950756417,1964781,0.0,1.0
2020-05-07,157.5,157.69,152.72,152.97,2330578,147.0607251312,147.2381317203,142.5975488384,142.8309785608,2330578,0.0,1.0
2020-05-08,154.2,154.42,152.55,153.51,1966618,143.9794527951,144.1848709509,142.4388166271,143.3351867612,1966618,0.0,1.0
2020-05-11,153.47,159.47,153.08,158.55,3196218,143.2978380057,148.900151344,142.9336876387,148.0411299654,3196218,0.0,1.0
2020-05-12,159.87,161.4,157.59,157.72,2329249,149.2736388999,150.7022288011,147.1447598313,147.266143287,2329249,0.0,1.0
2020-05-13,157.03,159.35,156.04,157.93,2649751,146.6218772531,148.7881050772,145.6974955522,147.4622242538,2649751,0.0,1.0
2020-05-14,155.94,158.95,153.81,158.38,2392951,146.2844308454,149.1080561939,144.2863172267,148.5733497326,2392951,0.74,1.0
2020-05-15,158.63,159.51,156.03,159.23,2824541,148.8078701104,149.6333818402,146.3688581814,149.370719017,2824541,0.0,1.0
2020-05-18,161.34,162.37,157.11,157.96,2703651,151.3500710055,152.316294962,147.3819862134,148.1793554979,2703651,0.0,1.0
2020-05-19,156.85,159.13,155.28,156.7,2339379,147.1380850206,149.2769108659,145.6652970481,146.9973727939,2339379,0.0,1.0
2020-05-20,155.27,157.43,151.61,153.13,3780228,145.655916233,147.682172297,142.2225379022,143.6484217992,3780228,0.0,1.0
2020-05-21,153.15,153.15,149.72,152.28,3049755,143.6671834294,143.6671834294,140.4495638462,142.8510525147,3049755,0.0,1.0
2020-05-22,152.22,152.56,150.17,151.16,2354960,142.794767624,143.1137153378,140.8717005262,141.8004012222,2354960,0.0,1.0
2020-05-26,151.11,151.76,147.16,147.96,5007932,141.7534971467,142.3632501289,138.0480751777,138.7985403866,5007932,0.0,1.0
2020-05-27,148.17,148.17,143.62,145.7,5376094,138.995537504,138.995537504,134.7272666283,136.6784761715,5376094,0.0,1.0
2020-05-28,147.43,152.1,146.51,150.65,3982651,138.3013571857,142.6821978427,137.4383221955,141.3219796516,3982651,0.0,1.0
2020-05-29,151.66,153.64,149.94,152.95,9465949,142.2694419778,144.1268433698,140.6559417787,143.4795671272,9465949,0.0,1.0
2020-06-01,154.47,154.99,150.89,152.45,5233750,144.9054510241,145.3932534099,141.5471192142,143.0105263716,5233750,0.0,1.0
2020-06-02,152.08,154.08,151.04,153.86,3269402,142.6634362125,144.5395992347,141.6878314409,144.3332213023,3269402,0.0,1.0
