date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,132.95,133.97,129.16,131.02,1604182,127.9672218901,128.9489937316,124.3192657339,126.1095555626,1604182,0.0,1.0
2020-04-14,136.14,137.77,133.08,137.66,2701684,131.0376651983,132.6065751019,128.0923496738,132.5006977465,2701684,0.0,1.0
2020-04-15,136.95,139.24,133.4,137.98,2131788,131.8173075431,134.0214815794,128.4003565261,132.8087045987,2131788,0.0,1.0
2020-04-16,136.68,139.63,135.12,138.11,2213050,131.5574267615,134.3968649305,130.0558933568,132.9338323824,2213050,0.0,1.0
2020-04-17,141.47,141.76,137.41,141.61,1558319,136.1679043309,136.4470355407,132.2600673931,136.3026573288,1558319,0.0,1.0
2020-04-20,140.19,142.25,138.26,140.49,899143,134.935876922,136.9186710332,133.0782105944,135.2246333459,899143,0.0,1.0
2020-04-21,138.5,138.5,131.27,132.44,2192624,133.3092157336,133.3092157336,126.3501859159,127.4763359694,2192624,0.0,1.0
2020-04-22,134.29,136.59,134.29,135.22,1395668,129.2570005838,131.4707998343,129.2570005838,130.1521454982,1395668,0.0,1.0
2020-04-23,135.78,139.36,134.4,136.57,1023930,130.6911574896,134.136984149,129.3628779393,131.451549406,1023930,0.0,1.0
2020-04-24,136.9,140.19,135.32,139.94,2660522,131.7691814724,134.935876922,130.2483976395,134.6952465686,2660522,0.0,1.0
2020-04-27,141.55,144.19,139.41,143.28,1264773,136.244906044,138.7859625749,134.1851102196,137.9100680889,1264773,0.0,1.0
2020-04-28,145.0,145.41,139.94,140.36,1966819,139.5656049196,139.9602386991,134.6952465686,135.0995055622,1966819,0.0,1.0
2020-04-29,142.0,142.49,139.28,140.26,1252786,136.6780406799,137.1496761724,134.0599824359,135.0032534209,1252786,0.0,1.0
2020-04-30,139.51,142.45,138.05,141.25,2536430,134.2813623609,137.1111753159,132.8760810976,135.95614962,2536430,0.0,1.0
