date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,173.67,175.0,169.45,174.79,19355355,172.3308663258,173.6506109692,168.1434058784,173.442230236,19355355,0.0,1.0
2020-04-14,178.98,181.23,176.62,178.17,21011815,177.5999220072,179.8325727197,175.2581194821,176.7961677507,21011815,0.0,1.0
2020-04-15,175.19,178.19,172.82,176.97,17423003,173.8391459182,176.8160135348,171.4874205011,175.6054207041,17423003,0.0,1.0
2020-04-16,177.95,178.05,172.51,176.25,23593229,176.5778641255,176.6770930461,171.1798108474,174.8909724761,23593229,0.0,1.0
2020-04-17,179.2,180.28,176.66,179.24,20974750,177.8182256324,178.8898979744,175.2978110504,177.8579172007,20974750,0.0,1.0
2020-04-20,177.41,180.5,176.77,178.24,16110664,176.0420279545,179.1082015996,175.406962863,176.8656279951,16110664,0.0,1.0
2020-04-21,175.25,175.38,168.34,170.8,24850528,173.8986832706,174.0276808673,167.0419648603,169.4829963059,24850528,0.0,1.0
2020-04-22,178.45,184.78,178.14,182.28,33369931,177.0740087283,183.3551993993,176.7663990746,180.8744763855,33369931,0.0,1.0
2020-04-23,184.08,187.05,183.15,185.13,21426604,182.6605969555,185.6076958959,181.7377679943,183.7025006213,21426604,0.0,1.0
2020-04-24,183.23,190.41,180.83,190.07,28868528,181.8171511308,188.9417876265,179.4356570375,188.6044092966,28868528,0.0,1.0
2020-04-27,192.66,193.75,187.41,187.5,29197750,191.174438339,192.256033573,185.9649200099,186.0542260384,29197750,0.0,1.0
2020-04-28,188.66,189.2,182.56,182.91,21730986,187.2052815168,187.7411176878,181.152317363,181.499618585,21730986,0.0,1.0
2020-04-29,190.93,196.91,190.0,194.19,45954521,189.4577780134,195.3916674625,188.5349490522,192.6926408235,45954521,0.0,1.0
2020-04-30,206.92,209.69,201.57,204.71,46230116,205.32448241,208.0731235093,200.0157351603,203.1315232657,46230116,0.0,1.0
2020-05-01,201.6,207.28,199.05,202.27,30415581,200.0455038365,205.6817065239,197.5151663624,200.7103376042,30415581,0.0,1.0
2020-05-04,200.2,205.91,198.76,205.26,19250673,198.6562989487,204.3222703124,197.2274024928,203.6772823288,19250673,0.0,1.0
2020-05-05,207.02,210.38,206.5,207.07,21071223,205.4237113305,208.7578030611,204.9077209436,205.4733257908,21071223,0.0,1.0
2020-05-06,208.12,211.6,206.66,208.47,21856963,206.5152294566,209.9683958919,205.0664872165,206.8625306785,21856963,0.0,1.0
2020-05-07,211.16,211.6,209.04,211.26,15151976,209.5317886414,209.9683958919,207.4281355257,209.631017562,15151976,0.0,1.0
2020-05-08,212.24,213.21,210.85,212.35,12524048,210.6034609834,211.5659815128,209.2241789877,210.712612796,12524048,0.0,1.0
