date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,4.64,4.86,4.055,4.44,2282173,4.2086872489,4.4082370754,3.6780661195,4.0272783158,2282173,0.0,1.0
2020-04-14,4.47,4.64,4.34,4.56,1916343,4.0544896557,4.2086872489,3.9365738492,4.1361236757,1916343,0.0,1.0
2020-04-15,4.24,4.34,4.04,4.22,1418781,3.8458693826,3.9365738492,3.6644604495,3.8277284893,1418781,0.0,1.0
2020-04-16,4.14,4.14,3.76,3.77,1081719,3.7551649161,3.7551649161,3.4104879431,3.4195583897,1081719,0.0,1.0
2020-04-17,3.82,4.125,3.73,4.01,1825167,3.464910623,3.7415592461,3.3832766031,3.6372491095,1825167,0.0,1.0
2020-04-20,3.83,4.06,3.593,3.88,1878844,3.4739810697,3.6826013428,3.2590114839,3.519333303,1878844,0.0,1.0
2020-04-21,3.76,4.03,3.7,3.98,1661239,3.4104879431,3.6553900028,3.3560652631,3.6100377695,1661239,0.0,1.0
2020-04-22,4.18,4.545,4.15,4.45,1932514,3.7914467027,4.1225180057,3.7642353627,4.0363487624,1932514,0.0,1.0
2020-04-23,4.9,5.57,4.8,5.16,5550081,4.444518862,5.052238788,4.3538143954,4.6803504751,5550081,0.0,1.0
2020-04-24,5.18,5.321,4.825,5.15,1980633,4.6984913684,4.8263846663,4.3764905121,4.6712800284,1980633,0.0,1.0
2020-04-27,5.02,5.31,4.93,5.17,2185591,4.5533642219,4.8164071749,4.471730202,4.6894209217,2185591,0.0,1.0
2020-04-28,5.2,5.53,5.115,5.52,2560316,4.7166322617,5.0159570014,4.6395334651,5.0068865547,2560316,0.0,1.0
2020-04-29,5.8,6.37,5.705,6.18,2565216,5.2608590611,5.7778745206,5.1746898179,5.6055360341,2565216,0.0,1.0
2020-04-30,6.18,6.555,5.85,6.47,2079057,5.6055360341,5.9456777838,5.3062112944,5.8685789872,2079057,0.0,1.0
2020-05-01,6.18,6.305,5.74,5.82,1380139,5.6055360341,5.7189166173,5.2064363812,5.2789999545,1380139,0.0,1.0
2020-05-04,5.76,5.97,5.59,5.95,1149659,5.2245772745,5.4150566543,5.0703796813,5.396915761,1149659,0.0,1.0
2020-05-05,6.27,6.45,5.345,5.47,3968522,5.687170054,5.8504380939,4.8481537382,4.9615343215,3968522,0.0,1.0
2020-05-06,5.47,5.5,5.05,5.12,2517403,4.9615343215,4.9887456614,4.5805755619,4.6440686885,2517403,0.0,1.0
2020-05-07,5.48,5.54,4.75,4.93,3816442,4.9706047681,5.0250274481,4.3084621621,4.471730202,3816442,0.0,1.0
2020-05-08,5.06,5.13,4.92,5.01,5716999,4.5896460085,4.6531391351,4.4626597553,4.5442937752,5716999,0.0,1.0
2020-05-11,4.93,5.15,4.855,5.04,8433284,4.471730202,4.6712800284,4.403701852,4.5715051152,8433284,0.0,1.0
2020-05-12,5.09,5.63,5.09,5.44,5662177,4.6168573485,5.106661468,4.6168573485,4.9343229815,5662177,0.0,1.0
2020-05-13,5.2,5.335,4.91,5.08,4201899,4.7166322617,4.8390832916,4.4535893087,4.6077869018,4201899,0.0,1.0
2020-05-14,5.01,5.325,4.763,5.02,7279999,4.5442937752,4.8300128449,4.3202537428,4.5533642219,7279999,0.0,1.0
2020-05-15,5.1,5.69,5.01,5.49,4319869,4.6259277951,5.1610841479,4.5442937752,4.9796752148,4319869,0.0,1.0
2020-05-18,5.92,6.18,5.81,6.11,2439043,5.369704421,5.6055360341,5.2699295078,5.5420429075,2439043,0.0,1.0
2020-05-19,6.08,6.27,5.93,5.95,1709649,5.5148315676,5.687170054,5.3787748677,5.396915761,1709649,0.0,1.0
2020-05-20,6.11,6.34,6.06,6.28,996638,5.5420429075,5.7506631806,5.4966906742,5.6962405007,996638,0.0,1.0
2020-05-21,6.29,6.46,6.22,6.26,1620433,5.7053109474,5.8595085405,5.6418178208,5.6780996074,1620433,0.0,1.0
2020-05-22,6.25,6.33,5.82,5.93,1694587,5.6690291607,5.741592734,5.2789999545,5.3787748677,1694587,0.0,1.0
2020-05-26,6.23,6.29,5.935,6.25,1617622,5.6508882674,5.7053109474,5.383310091,5.6690291607,1617622,0.0,1.0
2020-05-27,6.41,6.44,6.128,6.18,1873995,5.8141563072,5.8413676472,5.5583697115,5.6055360341,1873995,0.0,1.0
2020-05-28,6.14,6.145,5.82,5.91,1818962,5.5692542475,5.5737894708,5.2789999545,5.3606339744,1818962,0.0,1.0
2020-05-29,5.81,5.94,5.51,5.55,2141631,5.2699295078,5.3878453143,4.9978161081,5.0340978947,2141631,0.0,1.0
2020-06-01,5.53,5.705,5.38,5.55,1911914,5.0159570014,5.1746898179,4.8799003015,5.0340978947,1911914,0.0,1.0
2020-06-02,5.62,5.98,5.62,5.89,1656828,5.0975910213,5.424127101,5.0975910213,5.3424930811,1656828,0.0,1.0
2020-06-03,6.05,6.4,6.01,6.32,2274828,5.4876202276,5.8050858606,5.4513384409,5.7325222873,2274828,0.0,1.0
2020-06-04,6.19,6.29,6.01,6.24,1807905,5.6146064808,5.7053109474,5.4513384409,5.6599587141,1807905,0.0,1.0
2020-06-05,6.78,7.43,6.77,7.22,2579031,6.1497628336,6.7393418663,6.1406923869,6.5488624865,2579031,0.0,1.0
2020-06-08,7.62,7.755,7.02,7.55,3484764,6.9116803528,7.0341313826,6.3674535533,6.8481872262,3484764,0.0,1.0
2020-06-09,7.13,7.32,6.67,7.04,1843936,6.4672284666,6.639566953,6.0499879203,6.3855944466,1843936,0.0,1.0
2020-06-10,6.83,6.96,6.44,6.59,1652758,6.1951150668,6.3130308734,5.8413676472,5.9774243471,1652758,0.0,1.0
2020-06-11,6.04,6.42,5.81,5.84,1999541,5.4785497809,5.8232267539,5.2699295078,5.2971408478,1999541,0.0,1.0
2020-06-12,6.27,6.305,5.905,6.24,1569506,5.687170054,5.7189166173,5.356098751,5.6599587141,1569506,0.0,1.0
2020-06-15,5.82,6.3,5.76,6.24,1638890,5.2789999545,5.714381394,5.2245772745,5.6599587141,1638890,0.0,1.0
2020-06-16,6.82,6.89,6.28,6.39,2061944,6.1860446202,6.2495377468,5.6962405007,5.7960154139,2061944,0.0,1.0
2020-06-17,6.31,6.34,6.02,6.04,1415597,5.7234518407,5.7506631806,5.4604088876,5.4785497809,1415597,0.0,1.0
2020-06-18,6.07,6.18,5.91,6.01,1227667,5.5057611209,5.6055360341,5.3606339744,5.4513384409,1227667,0.0,1.0
2020-06-19,6.26,6.28,5.81,5.86,2711252,5.6780996074,5.6962405007,5.2699295078,5.3152817411,2711252,0.0,1.0
2020-06-22,5.75,6.09,5.63,5.93,3115424,5.2155068279,5.5239020142,5.106661468,5.3787748677,3115424,0.0,1.0
2020-06-23,6.02,6.08,5.85,6.0,2079871,5.4604088876,5.5148315676,5.3062112944,5.4422679943,2079871,0.0,1.0
2020-06-24,6.06,6.06,5.48,5.59,3057449,5.4966906742,5.4966906742,4.9706047681,5.0703796813,3057449,0.0,1.0
2020-06-25,5.53,5.865,5.49,5.79,2067320,5.0159570014,5.3198169644,4.9796752148,5.2517886145,2067320,0.0,1.0
2020-06-26,5.79,5.8,5.44,5.49,5954926,5.2517886145,5.2608590611,4.9343229815,4.9796752148,5954926,0.0,1.0
2020-06-29,5.63,6.26,5.63,6.23,3714094,5.106661468,5.6780996074,5.106661468,5.6508882674,3714094,0.0,1.0
2020-06-30,6.13,6.16,5.88,6.06,2337096,5.5601838008,5.5873951408,5.3334226344,5.4966906742,2337096,0.0,1.0
2020-07-01,6.08,6.5,6.08,6.32,2950654,5.5148315676,5.8957903272,5.5148315676,5.7325222873,2950654,0.0,1.0
2020-07-02,6.58,6.795,6.42,6.65,2698296,5.9683539004,6.1633685035,5.8232267539,6.031847027,2698296,0.0,1.0
2020-07-06,6.76,6.86,6.48,6.52,2311959,6.1316219402,6.2223264068,5.8776494338,5.9139312205,2311959,0.0,1.0
2020-07-07,6.4,6.48,6.31,6.38,1478531,5.8050858606,5.8776494338,5.7234518407,5.7869449673,1478531,0.0,1.0
2020-07-08,6.33,6.39,6.18,6.31,2012598,5.741592734,5.7960154139,5.6055360341,5.7234518407,2012598,0.0,1.0
2020-07-09,6.26,6.32,6.01,6.06,2093925,5.6780996074,5.7325222873,5.4513384409,5.4966906742,2093925,0.0,1.0
2020-07-10,6.0,6.58,6.0,6.35,1872940,5.4422679943,5.9683539004,5.4422679943,5.7597336273,1872940,0.0,1.0
2020-07-13,6.47,6.49,6.03,6.05,1910782,5.8685789872,5.8867198805,5.4694793343,5.4876202276,1910782,0.0,1.0
2020-07-14,6.1,6.51,6.0,6.49,1771560,5.5329724609,5.9048607738,5.4422679943,5.8867198805,1771560,0.0,1.0
2020-07-15,6.67,6.96,6.64,6.82,1782554,6.0499879203,6.3130308734,6.0227765804,6.1860446202,1782554,0.0,1.0
2020-07-16,6.73,6.91,6.535,6.69,1699309,6.1044106003,6.2676786401,5.9275368905,6.0681288136,1699309,0.0,1.0
2020-07-17,6.75,7.055,6.545,6.56,1341743,6.1225514936,6.3992001166,5.9366073371,5.9502130071,1341743,0.0,1.0
2020-07-20,6.5,6.68,6.44,6.63,1009113,5.8957903272,6.059058367,5.8413676472,6.0137061337,1009113,0.0,1.0
2020-07-21,6.8,7.15,6.8,7.15,1681194,6.1679037269,6.4853693599,6.1679037269,6.4853693599,1681194,0.0,1.0
2020-07-22,7.0,7.07,6.815,7.01,1299882,6.34931266,6.4128057866,6.1815093969,6.3583831067,1299882,0.0,1.0
2020-07-23,6.94,7.06,6.79,6.85,1388280,6.2948899801,6.40373534,6.1588332802,6.2132559602,1388280,0.0,1.0
2020-07-24,6.8,6.94,6.67,6.68,1149288,6.1679037269,6.2948899801,6.0499879203,6.059058367,1149288,0.0,1.0
2020-07-27,6.53,6.7,6.4,6.43,1098607,5.9230016671,6.0771992603,5.8050858606,5.8322972006,1098607,0.0,1.0
