date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,371.31,400.51,367.7,396.72,11692922,37.131,40.051,36.77,39.672,116929220,0.0,1.0
2020-04-14,397.5,417.82,394.85,413.55,11580983,39.75,41.782,39.485,41.355,115809830,0.0,1.0
2020-04-15,413.0,434.98,412.25,426.75,13561222,41.3,43.498,41.225,42.675,135612220,0.0,1.0
2020-04-16,437.0,449.52,431.61,439.17,16128666,43.7,44.952,43.161,43.917,161286660,0.0,1.0
2020-04-17,431.0,432.0,414.7,422.96,12616258,43.1,43.2,41.47,42.296,126162580,0.0,1.0
2020-04-20,435.17,444.49,430.56,437.49,12655818,43.517,44.449,43.056,43.749,126558180,0.0,1.0
2020-04-21,444.77,447.0,425.6,433.83,23177550,44.477,44.7,42.56,43.383,231775500,0.0,1.0
2020-04-22,429.73,433.0,413.0,421.42,21123773,42.973,43.3,41.3,42.142,211237730,0.0,1.0
2020-04-23,419.26,438.41,419.26,426.7,13952330,41.926,43.841,41.926,42.67,139523300,0.0,1.0
2020-04-24,425.0,427.17,415.88,424.99,8670362,42.5,42.717,41.588,42.499,86703620,0.0,1.0
2020-04-27,425.0,429.0,420.84,421.38,6277480,42.5,42.9,42.084,42.138,62774800,0.0,1.0
2020-04-28,419.99,421.0,402.91,403.83,10101233,41.999,42.1,40.291,40.383,101012330,0.0,1.0
2020-04-29,399.53,415.86,393.6,411.89,9693137,39.953,41.586,39.36,41.189,96931370,0.0,1.0
2020-04-30,410.31,424.44,408.0,419.85,7953975,41.031,42.444,40.8,41.985,79539750,0.0,1.0
2020-05-01,415.1,427.97,411.73,415.27,8299858,41.51,42.797,41.173,41.527,82998580,0.0,1.0
2020-05-04,417.78,428.54,414.87,428.15,7799058,41.778,42.854,41.487,42.815,77990580,0.0,1.0
2020-05-05,427.56,431.0,421.56,424.68,6286293,42.756,43.1,42.156,42.468,62862930,0.0,1.0
2020-05-06,429.3,439.77,426.39,434.26,6660737,42.93,43.977,42.639,43.426,66607370,0.0,1.0
2020-05-07,436.89,438.88,430.66,436.53,5650281,43.689,43.888,43.066,43.653,56502810,0.0,1.0
2020-05-08,434.14,442.0,433.64,435.55,5054308,43.414,44.2,43.364,43.555,50543080,0.0,1.0
2020-05-11,436.33,444.89,435.56,440.52,5486037,43.633,44.489,43.556,44.052,54860370,0.0,1.0
2020-05-12,442.0,444.17,431.36,431.82,4598211,44.2,44.417,43.136,43.182,45982110,0.0,1.0
2020-05-13,435.69,447.0,427.27,438.27,7014563,43.569,44.7,42.727,43.827,70145630,0.0,1.0
2020-05-14,444.9,452.38,432.82,441.95,9007467,44.49,45.238,43.282,44.195,90074670,0.0,1.0
2020-05-15,440.7,455.0,437.51,454.19,7243998,44.07,45.5,43.751,45.419,72439980,0.0,1.0
2020-05-18,451.16,456.36,443.35,452.58,7780309,45.116,45.636,44.335,45.258,77803090,0.0,1.0
2020-05-19,453.4,458.97,450.47,451.04,4810487,45.34,45.897,45.047,45.104,48104870,0.0,1.0
2020-05-20,454.25,455.81,444.0,447.67,5607257,45.425,45.581,44.4,44.767,56072570,0.0,1.0
2020-05-21,448.56,448.96,430.25,436.25,9076150,44.856,44.896,43.025,43.625,90761500,0.0,1.0
2020-05-22,437.0,439.09,427.18,429.32,5422334,43.7,43.909,42.718,42.932,54223340,0.0,1.0
2020-05-26,427.77,428.5,413.14,414.77,7881115,42.777,42.85,41.314,41.477,78811150,0.0,1.0
2020-05-27,410.38,420.02,397.86,419.89,10446339,41.038,42.002,39.786,41.989,104463390,0.0,1.0
2020-05-28,417.24,422.37,411.5,413.44,5660160,41.724,42.237,41.15,41.344,56601600,0.0,1.0
2020-05-29,417.46,420.3,411.85,419.73,5270484,41.746,42.03,41.185,41.973,52704840,0.0,1.0
2020-06-01,418.83,426.72,415.98,425.92,3748573,41.883,42.672,41.598,42.592,37485730,0.0,1.0
2020-06-02,425.87,427.59,419.46,427.31,3494801,42.587,42.759,41.946,42.731,34948010,0.0,1.0
2020-06-03,426.95,427.1,418.05,421.97,4316044,42.695,42.71,41.805,42.197,43160440,0.0,1.0
2020-06-04,422.39,428.71,410.03,414.33,5410529,42.239,42.871,41.003,41.433,54105290,0.0,1.0
2020-06-05,407.29,420.24,404.25,419.6,5099561,40.729,42.024,40.425,41.96,50995610,0.0,1.0
2020-06-08,416.0,420.8,406.5,419.49,5851453,41.6,42.08,40.65,41.949,58514530,0.0,1.0
2020-06-09,421.65,434.73,420.31,434.05,6796999,42.165,43.473,42.031,43.405,67969990,0.0,1.0
2020-06-10,436.0,439.69,430.55,434.48,4896893,43.6,43.969,43.055,43.448,48968930,0.0,1.0
2020-06-11,428.2,445.57,424.16,425.56,7462868,42.82,44.557,42.416,42.556,74628680,0.0,1.0
2020-06-12,429.0,434.06,412.45,418.07,6461127,42.9,43.406,41.245,41.807,64611270,0.0,1.0
2020-06-15,421.4,426.49,415.42,425.5,4471499,42.14,42.649,41.542,42.55,44714990,0.0,1.0
2020-06-16,425.76,437.96,425.18,436.13,5514016,42.576,43.796,42.518,43.613,55140160,0.0,1.0
2020-06-17,441.82,450.46,439.22,447.77,6529568,44.182,45.046,43.922,44.777,65295680,0.0,1.0
2020-06-18,448.73,452.76,442.8,449.87,4277627,44.873,45.276,44.28,44.987,42776270,0.0,1.0
2020-06-19,449.12,453.97,445.6,453.72,5933651,44.912,45.397,44.56,45.372,59336510,0.0,1.0
2020-06-22,455.01,468.59,454.21,468.04,6272105,45.501,46.859,45.421,46.804,62721050,0.0,1.0
2020-06-23,466.5,474.01,464.5,466.26,5948436,46.65,47.401,46.45,46.626,59484360,0.0,1.0
2020-06-24,468.54,472.36,454.0,457.85,4826191,46.854,47.236,45.4,45.785,48261910,0.0,1.0
2020-06-25,458.86,467.01,454.0,465.91,4134513,45.886,46.701,45.4,46.591,41345130,0.0,1.0
2020-06-26,466.39,468.03,442.24,443.4,6804726,46.639,46.803,44.224,44.34,68047260,0.0,1.0
2020-06-29,445.23,447.67,432.14,447.24,4843978,44.523,44.767,43.214,44.724,48439780,0.0,1.0
2020-06-30,450.02,457.59,447.0,455.04,4198545,45.002,45.759,44.7,45.504,41985450,0.0,1.0
2020-07-01,454.0,488.23,454.0,485.64,9711520,45.4,48.823,45.4,48.564,97115200,0.0,1.0
2020-07-02,485.64,492.28,475.53,476.89,6351983,48.564,49.228,47.553,47.689,63519830,0.0,1.0
2020-07-06,480.77,499.5,479.8,493.81,7838990,48.077,49.95,47.98,49.381,78389900,0.0,1.0
2020-07-07,497.31,504.82,490.83,493.16,5670204,49.731,50.482,49.083,49.316,56702040,0.0,1.0
2020-07-08,498.58,505.1,493.81,502.78,5691852,49.858,50.51,49.381,50.278,56918520,0.0,1.0
2020-07-09,508.4,510.0,495.78,507.76,5840561,50.84,51.0,49.578,50.776,58405610,0.0,1.0
2020-07-10,519.73,555.88,511.28,548.73,21605587,51.973,55.588,51.128,54.873,216055870,0.0,1.0
2020-07-13,567.98,575.37,520.96,525.5,18401757,56.798,57.537,52.096,52.55,184017570,0.0,1.0
2020-07-14,517.08,525.5,490.49,524.88,15083326,51.708,52.55,49.049,52.488,150833260,0.0,1.0
2020-07-15,516.3,529.0,510.18,523.26,10066652,51.63,52.9,51.018,52.326,100666520,0.0,1.0
2020-07-16,526.48,535.54,504.36,527.39,24499009,52.648,53.554,50.436,52.739,244990090,0.0,1.0
2020-07-17,494.87,503.59,484.14,492.99,24991528,49.487,50.359,48.414,49.299,249915280,0.0,1.0
2020-07-20,489.14,504.5,484.2,502.41,11859644,48.914,50.45,48.42,50.241,118596440,0.0,1.0
2020-07-21,506.0,506.22,488.61,490.1,9072982,50.6,50.622,48.861,49.01,90729820,0.0,1.0
2020-07-22,492.19,497.2,487.2,489.82,6954078,49.219,49.72,48.72,48.982,69540780,0.0,1.0
2020-07-23,491.13,491.9,472.0201,477.58,7722034,49.113,49.19,47.20201,47.758,77220340,0.0,1.0
2020-07-24,468.77,487.17,467.54,480.45,7746247,46.877,48.717,46.754,48.045,77462470,0.0,1.0
2020-07-27,484.51,496.92,482.31,495.65,7863069,48.451,49.692,48.231,49.565,78630690,0.0,1.0
2020-07-28,496.02,497.7927,487.7601,488.51,5986727,49.602,49.77927,48.77601,48.851,59867270,0.0,1.0
2020-07-29,492.25,494.92,484.13,484.48,6611769,49.225,49.492,48.413,48.448,66117690,0.0,1.0
