date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,260.55,270.2,257.0,269.85,9960182,6.4886551145,6.7289756743,6.4002470329,6.7202593845,398407280,0.0,1.0
2020-04-14,275.0,285.32,273.89,283.95,13273667,6.848513362,7.1055193907,6.8208702717,7.0714013424,530946680,0.0,1.0
2020-04-15,277.2,284.17,275.38,280.84,9153721,6.9033014689,7.076880153,6.8579767623,6.9939508821,366148840,0.0,1.0
2020-04-16,287.08,299.0,286.55,294.7,18640510,7.1493498763,7.4462018009,7.1361509232,7.3391159556,745620400,0.0,1.0
2020-04-17,298.0,298.86,286.94,292.32,13478049,7.4212981159,7.442715285,7.1458633604,7.2798451854,539121960,0.0,1.0
2020-04-20,287.24,293.5,285.27,287.05,11234705,7.1533344658,7.3092315337,7.1042742065,7.1486027657,449388200,0.0,1.0
2020-04-21,282.31,284.77,267.11,269.51,18378996,7.030559299,7.091822364,6.6520232877,6.7117921316,735159840,0.0,1.0
2020-04-22,277.23,287.87,275.4,286.15,12118228,6.9040485795,7.1690237874,6.858474836,7.1261894492,484729120,0.0,1.0
2020-04-23,287.84,293.14,283.0,284.01,10603988,7.1682766768,7.3002662071,7.0477428416,7.0728955635,424159520,0.0,1.0
2020-04-24,283.6,289.67,280.6,289.59,8816137,7.0626850526,7.2138504203,6.9879739978,7.2118581255,352645480,0.0,1.0
2020-04-27,294.99,303.5,294.0,297.08,11984699,7.3463380242,7.5582683832,7.3216833761,7.3983867258,479387960,0.0,1.0
2020-04-28,303.0,304.2,291.14,291.36,11072603,7.5458165407,7.5757009626,7.2504588372,7.2559376479,442904120,0.0,1.0
2020-04-29,296.77,300.58,293.75,298.46,9479047,7.3906665834,7.4855496231,7.3154574549,7.432753811,379161880,0.0,1.0
2020-04-30,296.29,298.46,291.72,292.28,9397943,7.3787128147,7.432753811,7.2649029744,7.278849038,375917720,0.0,1.0
2020-05-01,284.35,288.9,280.84,282.78,8552445,7.0813628163,7.1946745829,6.9939508821,7.042264031,342097800,0.0,1.0
2020-05-04,280.88,291.84,280.88,291.29,7938880,6.9949470295,7.2678914166,6.9949470295,7.2541943899,317555200,0.0,1.0
2020-05-05,295.47,300.27,291.29,293.74,9222391,7.358291793,7.4778294808,7.2541943899,7.315208418,368895640,0.0,1.0
2020-05-06,296.93,302.0,295.41,297.79,8086639,7.394651173,7.5209128558,7.3567975719,7.4160683421,323465560,0.0,1.0
2020-05-07,303.38,307.41,301.32,304.87,9343263,7.555279941,7.6556417913,7.50397835,7.5923864316,373730520,0.0,1.0
2020-05-08,307.75,312.75,306.39,312.5,8497678,7.6641090442,7.788627469,7.6302400327,7.7824015478,339907120,0.0,1.0
2020-05-11,312.3,324.5,311.15,322.62,11726504,7.7774208108,8.0812457672,7.7487815731,8.0344268395,469060160,0.0,1.0
2020-05-12,324.94,326.9,311.71,312.1,12326482,8.0922033886,8.1410146111,7.7627276366,7.7724400738,493059280,0.0,1.0
2020-05-13,316.7,323.14,303.79,311.2,15646252,7.8869970246,8.0473767557,7.5654904518,7.7500267573,625850080,0.0,1.0
2020-05-14,313.67,321.44,307.5,321.22,15057809,7.8115388592,8.0050404912,7.657883123,7.9995616805,602312360,0.0,1.0
2020-05-15,315.59,340.02,314.96,339.63,24691543,7.8593539343,8.4677509577,7.8436646127,8.4580385205,987661720,0.0,1.0
2020-05-18,350.42,356.66,347.22,350.01,19410086,8.7267492812,8.8821482753,8.6470574893,8.7165387703,776403440,0.0,1.0
2020-05-19,351.61,363.5,350.51,352.22,17933049,8.7563846663,9.0524894803,8.7289906128,8.7715759141,717321960,0.0,1.0
2020-05-20,359.64,361.72,355.55,358.8,14688405,8.9563612564,9.0081609211,8.854505185,8.9354421611,587536200,0.0,1.0
2020-05-21,362.06,362.1,349.5,351.01,17552200,9.016628174,9.0176243214,8.703837891,8.7414424553,702088000,0.0,1.0
2020-05-22,353.01,363.72,348.53,361.05,25969125,8.7912498252,9.057968291,8.6796813166,8.9914754522,1038765000,0.0,1.0
2020-05-26,366.27,367.27,346.88,348.71,19269476,9.1214726877,9.1463763726,8.6385902364,8.6841639799,770779040,0.0,1.0
2020-05-27,345.0,345.31,319.87,341.01,29397306,8.5917713087,8.5994914511,7.9659417059,8.4924056058,1175892240,0.0,1.0
2020-05-28,336.49,350.42,335.17,339.48,18403204,8.3798409498,8.7267492812,8.3469680856,8.4543029678,736128160,0.0,1.0
2020-05-29,342.18,355.02,339.4,355.02,18647994,8.5215429172,8.841306232,8.452310673,8.841306232,745919760,0.0,1.0
2020-06-01,353.33,353.63,347.58,352.25,9762775,8.7992190044,8.8066901099,8.6560228159,8.7723230246,390511000,0.0,1.0
2020-06-02,351.85,353.49,346.32,353.01,9783014,8.7623615506,8.803203594,8.6246441729,8.7912498252,391320560,0.0,1.0
2020-06-03,352.89,354.65,348.0,350.78,9135972,8.788261383,8.8320918685,8.6664823636,8.7357146078,365438880,0.0,1.0
2020-06-04,349.12,357.73,347.1,350.66,10606960,8.6983415811,8.912860145,8.648013184,8.7367107551,424278400,0.16,1.0
2020-06-05,351.78,359.88,348.32,356.8,12043651,8.764615609,8.9664274983,8.6784095427,8.8896891503,481746040,0.0,1.0
2020-06-08,355.09,355.59,347.43,352.2,9693431,8.8470844181,8.8595419421,8.6562351499,8.7750799292,387737240,0.0,1.0
2020-06-09,352.0,364.39,350.05,361.84,11712221,8.7700969196,9.0787943651,8.7215125758,9.0152609925,468488840,0.0,1.0
