date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,131.69,133.35,129.43,130.89,3785013,109.4736304929,110.8535851335,107.5948970666,108.8085921119,3785013,0.0,1.0
2020-04-14,133.22,138.63,132.35,138.4,6278696,110.7455163966,115.2428384481,110.0222871572,115.0516399136,6278696,0.0,1.0
2020-04-15,137.14,137.56,133.7,135.03,5773136,114.0042044635,114.3533496135,111.1445394252,112.2501657336,5773136,0.0,1.0
2020-04-16,136.9662,136.9662,133.85,135.64,4563973,113.8597248752,113.8597248752,111.2692341216,112.7572574991,4563973,0.0,1.0
2020-04-17,137.73,138.0,134.91,137.55,4866512,114.4946702695,114.7191207231,112.1504099764,114.3450366337,4866512,0.0,1.0
2020-04-20,136.94,137.38,134.51,134.55,3995378,113.8379448682,114.2037159778,111.8178907859,111.851142705,3995378,0.0,1.0
2020-04-21,132.14,132.94,130.59,130.94,4359534,109.8477145822,110.5127529632,108.559202719,108.8501570107,4359534,0.0,1.0
2020-04-22,132.44,133.67,131.22,132.62,4085122,110.0971039751,111.1196004859,109.0829204441,110.2467376108,4085122,0.0,1.0
2020-04-23,132.5,134.14,130.03,130.26,5527717,110.1469818537,111.5103105347,108.0936758523,108.2848743868,5527717,0.0,1.0
2020-04-24,130.87,134.82,130.65,134.36,4065533,108.7919661524,112.0755931586,108.6090805976,111.6931960895,4065533,0.0,1.0
2020-04-27,134.42,135.21,133.89,134.46,4009205,111.7430739681,112.3997993693,111.3024860406,111.7763258871,4009205,0.0,1.0
2020-04-28,136.78,137.68,134.66,136.32,6674220,113.704937192,114.4531053707,111.9425854824,113.3225401229,6674220,0.0,1.0
2020-04-29,136.77,136.98,132.9,133.36,6706841,113.6966242123,113.8711967873,110.4795010442,110.8618981132,6706841,0.0,1.0
2020-04-30,132.41,133.17,130.42,132.29,6782989,110.0721650358,110.7039514977,108.417882063,109.9724092786,6782989,0.0,1.0
2020-05-01,131.12,132.23,129.52,130.14,4488160,108.9997906464,109.9225314001,107.6697138844,108.1851186297,4488160,0.0,1.0
2020-05-04,130.17,131.35,129.32,130.92,5245315,108.210057569,109.190989181,107.5034542892,108.8335310512,5245315,0.0,1.0
2020-05-05,131.64,133.33,130.77,131.67,3580084,109.4320655941,110.8369591739,108.7088363547,109.4570045334,3580084,0.0,1.0
2020-05-06,131.58,132.23,130.69,130.78,4192492,109.3821877155,109.9225314001,108.6423325166,108.7171493345,4192492,0.0,1.0
