date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,35.96,35.98,34.72,35.14,17327516,25.4851846919,25.4993588769,24.6063852197,24.9040431055,18263201,0.0,1.0
2020-04-14,35.93,36.63,35.34,36.44,20721415,25.4639234143,25.9600198905,25.0457849558,25.8253651327,21840371,0.0,1.0
2020-04-15,36.06,36.23,35.58,35.97,20217766,25.556055617,25.6765361898,25.2158751762,25.4922717844,21309525,0.0,1.0
2020-04-16,36.12,36.26,35.575,35.88,19554970,25.5985781721,25.6977974674,25.21233163,25.4284879517,20610938,0.0,1.0
2020-04-17,36.5,37.0,36.11,36.91,23150510,25.8678876878,26.2222423137,25.5914910796,26.158458481,24400637,0.0,1.0
2020-04-20,36.38,36.91,36.08,36.08,21365134,25.7828425776,26.158458481,25.5702298021,25.5702298021,22518851,0.0,1.0
2020-04-21,35.78,35.93,35.37,35.62,22744431,25.3576170266,25.4639234143,25.0670462333,25.2442235463,23972630,0.0,1.0
2020-04-22,36.96,37.0,36.12,36.25,19147625,26.1938939436,26.2222423137,25.5985781721,25.6907103749,20181596,0.0,1.0
2020-04-23,36.28,37.4,36.28,36.69,19215681,25.7119716524,26.5057260143,25.7119716524,26.0025424456,20253327,0.0,1.0
2020-04-24,36.84,37.43,36.78,37.38,16463496,26.1088488334,26.5269872919,26.0663262783,26.4915518293,17352524,0.0,1.0
2020-04-27,37.59,38.54,37.57,38.33,22161879,26.6403807722,27.3136545613,26.6262065871,27.1648256184,23358620,0.0,1.0
2020-04-28,39.05,39.22,37.38,37.91,33824210,27.6750962797,27.7955768525,26.4915518293,26.8671677327,35650717,0.0,1.0
2020-04-29,38.46,38.55,37.71,38.12,25123467,27.2569578212,27.3207416538,26.7254258824,27.0159966756,26480134,0.0,1.0
2020-04-30,38.0,38.51,37.36,38.36,27930431,26.9309515654,27.2923932837,26.4773776443,27.186086896,29438674,0.0,1.0
2020-05-01,37.85,37.94,37.39,37.64,21504869,26.8246451776,26.8884290103,26.4986389218,26.6758162348,22666131,0.0,1.0
2020-05-04,37.6,37.92,37.41,37.62,18872636,26.6474678647,26.8742548252,26.5128131069,26.6616420497,19891758,0.0,1.0
2020-05-05,38.81,38.86,38.27,38.51,22784969,27.5050060593,27.5404415219,27.1223030633,27.2923932837,24015357,0.0,1.0
2020-05-06,38.97,39.01,38.51,38.51,22798144,27.6183995395,27.6467479096,27.2923932837,27.2923932837,24029243,0.0,1.0
