date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,277.14,277.51,271.41,275.66,114353986,254.6670611015,255.0070582604,249.4016996953,253.3070724661,114353986,0.0,1.0
2020-04-14,280.98,284.9,275.51,283.79,133510280,258.1956802638,261.7978123253,253.16923578,260.7778208487,133510280,0.0,1.0
2020-04-15,277.57,283.94,275.46,277.76,121155983,255.0621929348,260.9156575347,253.123290218,255.2367860704,121155983,0.0,1.0
2020-04-16,279.15,280.03,275.76,279.1,126144324,256.5140726943,257.3227145856,253.3989635901,256.4681271323,126144324,0.0,1.0
2020-04-17,285.38,287.3,282.4,286.64,146455688,262.2388897206,264.0031993017,259.5005342248,263.3967178832,146455688,0.0,1.0
2020-04-20,282.61,286.79,281.35,281.59,99323028,259.6935055853,263.5345545692,258.5356774227,258.7562161203,99323028,0.0,1.0
2020-04-21,276.73,278.04,272.02,273.04,125772551,254.2903074931,255.4940812177,249.9622355518,250.8995250168,125772551,0.0,1.0
2020-04-22,278.35,281.0,276.91,279.1,92831657,255.7789437021,258.2140584886,254.4557115163,256.4681271323,92831657,0.0,1.0
2020-04-23,280.49,283.94,278.75,279.08,103685412,257.7454137561,260.9156575347,256.1465081982,256.4497489075,103685412,0.0,1.0
2020-04-24,280.73,283.7,278.5,282.97,85042563,257.9659524538,260.6951188371,255.9167803882,260.0243136317,85042563,0.0,1.0
2020-04-27,285.12,288.27,284.62,287.05,77516422,261.9999727981,264.8945432047,261.540517178,263.7734714916,77516422,0.0,1.0
2020-04-28,291.02,291.4,285.4,285.73,104797847,267.4215491151,267.7707353864,262.2572679454,262.5605086546,104797847,0.0,1.0
2020-04-29,291.53,294.88,290.41,293.21,118066585,267.8901938476,270.9685465022,266.8610132586,269.4339647311,118066585,0.0,1.0
2020-04-30,291.71,293.32,288.59,290.48,121537052,268.0555978709,269.5350449675,265.1885948015,266.9253370454,121537052,0.0,1.0
2020-05-01,285.31,290.66,281.52,282.79,125045778,262.1745659337,267.0907410687,258.6918923335,259.8589096085,125045778,0.0,1.0
2020-05-04,280.74,283.9,279.13,283.57,80462952,257.9751415662,260.8789010851,256.4956944695,260.5756603758,80462952,0.0,1.0
2020-05-05,286.64,289.25,283.71,286.19,79199214,263.3967178832,265.79507622,260.7043079495,262.9832078251,79199214,0.0,1.0
2020-05-06,288.04,288.46,283.78,284.25,72980387,264.6831936194,265.0691363403,260.7686317363,261.2005200192,72980387,0.0,1.0
2020-05-07,287.75,289.78,287.13,287.68,74788296,264.4167093598,266.2820991773,263.8469843909,264.352385573,74788296,0.0,1.0
2020-05-08,291.09,292.95,289.86,292.44,76446082,267.4858729019,269.1950478087,266.3556120765,268.7264030762,76446082,0.0,1.0
2020-05-11,290.34,294.0,289.88,292.5,78982891,266.7966894718,270.1599046108,266.3739903013,268.7815377506,78982891,0.0,1.0
2020-05-12,293.79,294.24,286.52,286.67,94484342,269.9669332504,270.3804433085,263.2864485344,263.4242852204,94484342,0.0,1.0
2020-05-13,286.06,287.19,278.96,281.6,144035915,262.8637493639,263.9021190653,256.3394795586,258.7654052327,144035915,0.0,1.0
2020-05-14,278.95,285.11,272.99,284.97,121473094,256.3302904462,261.9907836857,250.8535794548,261.8621361121,121473094,0.0,1.0
2020-05-15,282.37,286.33,281.34,286.28,111015834,259.4729668876,263.1118553987,258.5264883103,263.0659098367,111015834,0.0,1.0
2020-05-18,293.05,296.75,292.7,295.0,119719465,269.2869389327,272.6869105213,268.9653199986,271.078815851,119719465,0.0,1.0
2020-05-19,294.35,296.21,291.95,291.97,94317356,270.4815235449,272.1906984516,268.2761365685,268.2945147933,94317356,0.0,1.0
2020-05-20,295.82,297.87,295.57,296.93,85279592,271.832323068,273.7160911103,271.6025952579,272.8523145446,85279592,0.0,1.0
2020-05-21,296.79,297.67,293.69,294.88,77863922,272.7236669709,273.5323088623,269.8750421264,270.9685465022,77863922,0.0,1.0
