date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,17.82,18.02,16.135,16.22,11938645,15.3572286521,15.5295881207,13.9051001291,13.9783529033,11938645,0.0,1.0
2020-04-14,16.46,16.98,15.6,15.9,10696509,14.1851842656,14.633318884,13.4440385506,13.7025777535,10696509,0.0,1.0
2020-04-15,14.94,15.29,14.56,14.95,8362304,12.8752523043,13.1768813743,12.5477693139,12.8838702777,8362304,0.0,1.0
2020-04-16,14.85,15.0,14.02,14.17,9806227,12.7976905434,12.9269601448,12.0823987487,12.2116683502,9806227,0.0,1.0
2020-04-17,15.13,15.7,14.99,15.62,11645948,13.0389937994,13.5302182849,12.9183421714,13.4612744975,11645948,0.0,1.0
2020-04-20,15.14,15.985,14.78,15.59,10743579,13.0476117729,13.7758305277,12.7373647294,13.4354205772,10743579,0.0,1.0
2020-04-21,15.0,15.985,14.51,15.17,10926845,12.9269601448,13.7758305277,12.5046794468,13.0734656932,10926845,0.0,1.0
2020-04-22,15.63,16.17,15.25,16.05,9968045,13.4698924709,13.9352630361,13.1424094806,13.831847355,9968045,0.0,1.0
2020-04-23,16.06,16.68,16.04,16.1,9044822,13.8404653284,14.3747796811,13.8232293816,13.8749372221,9044822,0.0,1.0
2020-04-24,16.25,17.015,16.19,16.97,12224224,14.0042068236,14.663481791,13.952498983,14.6247009105,12224224,0.0,1.0
2020-04-27,17.17,17.78,17.07,17.62,11559308,14.7970603791,15.3227567584,14.7108806448,15.1848691835,11559308,0.0,1.0
2020-04-28,18.65,19.23,18.39,18.74,10484618,16.0725204468,16.5723629057,15.8484531376,16.1500822076,10484618,0.0,1.0
2020-04-29,19.98,21.38,19.86,21.05,14819190,17.2187109129,18.4252271931,17.1152952318,18.1408340699,14819190,0.0,1.0
2020-04-30,20.38,20.91,19.42,19.79,10493399,17.5634298501,18.0201824419,16.7361044009,17.0549694178,10493399,0.0,1.0
2020-05-01,18.65,18.76,18.05,18.51,8218211,16.2635498632,16.359474286,15.7403257389,16.1414642342,8218211,0.22,1.0
2020-05-04,17.95,18.56,17.57,18.43,7774890,15.6531217182,16.1850662446,15.3217464395,16.0717010176,7774890,0.0,1.0
2020-05-05,18.9,19.35,17.95,18.0,7899438,16.481559915,16.8739780082,15.6531217182,15.6967237286,7899438,0.0,1.0
2020-05-06,18.2,18.42,17.26,17.3,6315837,15.87113177,16.0629806156,15.0514139753,15.0862955836,6315837,0.0,1.0
2020-05-07,17.58,18.36,17.5,17.99,8191267,15.3304668416,16.0106582031,15.260703625,15.6880033265,8191267,0.0,1.0
2020-05-08,18.48,18.68,18.3,18.62,4907520,16.115303028,16.2897110694,15.9583357907,16.237388657,4907520,0.0,1.0
2020-05-11,18.18,18.23,17.535,17.73,6252550,15.8536909658,15.8972929762,15.2912250322,15.4612728726,6252550,0.0,1.0
2020-05-12,17.76,18.12,16.96,16.98,5825467,15.4874340788,15.8013685534,14.7898019131,14.8072427173,5825467,0.0,1.0
2020-05-13,16.73,16.79,15.75,15.87,14054319,14.5892326655,14.6415550779,13.7346332625,13.8392780873,14054319,0.0,1.0
2020-05-14,15.4,17.18,15.17,17.07,11877302,13.42941919,14.9816507587,13.2288499423,14.8857263359,11877302,0.0,1.0
2020-05-15,16.79,17.13,16.455,16.54,6017229,14.6415550779,14.9380487483,14.3494216085,14.4235450261,6017229,0.0,1.0
2020-05-18,17.65,18.11,17.56,17.96,7785945,15.3915096561,15.7926481513,15.3130260374,15.6618421203,7785945,0.0,1.0
2020-05-19,17.8,18.248,17.23,17.63,8176997,15.5223156871,15.9129896999,15.0252527691,15.3740688519,8176997,0.0,1.0
2020-05-20,18.06,18.425,17.98,18.11,8361493,15.749046141,16.0673408166,15.6792829244,15.7926481513,8361493,0.0,1.0
2020-05-21,18.08,18.36,17.85,18.13,4733251,15.7664869451,16.0106582031,15.5659176975,15.8100889555,4733251,0.0,1.0
2020-05-22,18.08,18.15,17.545,17.85,4521131,15.7664869451,15.8275297596,15.2999454343,15.5659176975,4521131,0.0,1.0
2020-05-26,19.0,19.745,18.9,19.48,6925855,16.5687639357,17.21843389,16.481559915,16.9873432351,6925855,0.0,1.0
2020-05-27,20.95,21.4,20.165,21.35,14809296,18.2692423396,18.6616604328,17.584690777,18.6180584225,14809296,0.0,1.0
2020-05-28,22.01,22.34,21.01,21.24,10108684,19.1936049592,19.4813782275,18.321564752,18.5221339997,10108684,0.0,1.0
2020-05-29,20.55,21.12,20.23,20.37,9237173,17.9204262568,18.4174891748,17.6413733905,17.7634590195,9237173,0.0,1.0
2020-06-01,20.47,21.28,20.19,21.1,5750893,17.8506630402,18.557015608,17.6064917822,18.4000483707,5750893,0.0,1.0
2020-06-02,21.52,22.39,21.5,22.07,11433745,18.7663052577,19.5249802379,18.7488644535,19.2459273716,11433745,0.0,1.0
2020-06-03,22.89,24.1,22.75,23.69,11010092,19.9610003415,21.0161689921,19.8389147125,20.6586325072,11010092,0.0,1.0
2020-06-04,23.42,24.48,22.94,24.33,8537098,20.4231816513,21.3475442708,20.0046023518,21.2167382398,8537098,0.0,1.0
2020-06-05,26.75,27.5,25.355,25.52,13584133,23.327075541,23.9811056964,22.1105794521,22.2544660863,13584133,0.0,1.0
2020-06-08,26.91,27.0,26.125,26.87,11071121,23.4666019742,23.5450855928,22.7820504116,23.4317203659,11071121,0.0,1.0
2020-06-09,25.77,26.165,25.36,25.86,6649450,22.472476138,22.8169320199,22.1149396531,22.5509597567,6649450,0.0,1.0
2020-06-10,25.59,25.71,24.15,24.37,8056813,22.3155089008,22.4201537256,21.0597710025,21.251619848,8056813,0.0,1.0
2020-06-11,22.16,23.32,21.99,22.15,9076067,19.3244109903,20.3359776305,19.176164155,19.3156905882,9076067,0.0,1.0
2020-06-12,23.78,23.82,22.4,23.77,9479518,20.7371161258,20.7719977341,19.53370064,20.7283957238,9479518,0.0,1.0
2020-06-15,22.71,24.65,22.532,24.39,9093724,19.8040331042,21.495791106,19.6488099473,21.2690606522,9093724,0.0,1.0
