date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,106.9,106.9,100.15,102.24,1191989,82.9462260633,82.9462260633,77.7087421912,79.3304223827,1191989,0.0,1.0
2020-04-14,105.97,106.4,101.76,101.93,2505915,82.2246171742,82.558264295,78.9579790851,79.0898860863,2505915,0.0,1.0
2020-04-15,100.9,100.9,97.99,98.98,1228756,78.2906848436,78.2906848436,76.0327473521,76.8009116533,1228756,0.0,1.0
2020-04-16,98.84,99.94,96.42,99.54,1904959,76.6922823582,77.5457982485,74.8145473996,77.2354288338,1904959,0.0,1.0
2020-04-17,103.19,104.3,102.02,103.49,2300100,80.0675497425,80.9288248681,79.1597192046,80.3003268034,2300100,0.0,1.0
2020-04-20,101.29,102.67,99.8,101.15,1199962,78.5932950229,79.6640695034,77.4371689534,78.4846657278,1199962,0.0,1.0
2020-04-21,99.22,100.51,98.3,98.85,909920,76.9871333021,77.9880746643,76.2732836484,76.7000415936,909920,0.0,1.0
2020-04-22,101.11,101.44,99.1,100.63,746963,78.4536287863,78.7096835534,76.8940224777,78.0811854887,746963,0.0,1.0
2020-04-23,100.79,101.91,99.02,99.16,792315,78.2053332546,79.0743676156,76.8319485948,76.9405778899,792315,0.0,1.0
2020-04-24,99.9,100.92,98.52,100.34,756056,77.514761307,78.3062033144,76.4439868265,77.8561676631,756056,0.0,1.0
2020-04-27,101.95,106.76,101.36,106.5,1436684,79.1054045571,82.8375967681,78.6476096705,82.6358566486,1436684,0.0,1.0
2020-04-28,110.0,115.05,109.23,113.89,2025363,85.3515890267,89.2700028866,84.7541279036,88.3699315841,2025363,0.0,1.0
2020-04-29,116.68,119.5,115.3,116.92,1531388,90.5347582513,92.7228626245,89.4639837708,90.7209799001,1531388,0.0,1.0
2020-04-30,114.34,117.5,114.34,115.63,1543326,88.7190971756,91.1710155513,88.7190971756,89.7200385378,1543326,0.0,1.0
2020-05-01,113.03,113.03,110.0,110.44,1110430,87.7026373427,87.7026373427,85.3515890267,85.6929953829,1110430,0.0,1.0
2020-05-04,110.1,110.73,108.67,109.49,972096,85.4291813804,85.9180132085,84.3196107231,84.9558680231,972096,0.0,1.0
2020-05-05,109.6,111.51,109.54,109.67,909466,85.0412196121,86.523233567,84.9946641999,85.0955342597,909466,0.0,1.0
2020-05-06,108.89,110.32,107.79,108.2,843979,84.4903139011,85.5998845585,83.6367980108,83.9549266609,843979,0.0,1.0
2020-05-07,109.67,112.06,109.41,111.34,993027,85.0955342597,86.9499915122,84.8937941401,86.3913265658,993027,0.0,1.0
2020-05-08,114.01,114.5,112.53,114.06,666791,88.4630424085,88.8432449415,87.3146755744,88.5018385854,666791,0.0,1.0
2020-05-11,112.11,114.34,111.34,112.67,889450,86.988787689,88.7190971756,86.3913265658,87.4233048695,889450,0.0,1.0
2020-05-12,114.63,117.93,112.3,112.75,2219581,88.9441150012,91.504662672,87.1362131609,87.4853787524,2219581,0.0,1.0
2020-05-13,113.28,114.03,106.78,107.94,2819710,87.8966182268,88.4785608793,82.8531152389,83.7531865413,2819710,0.0,1.0
2020-05-14,106.53,112.68,105.56,112.57,1741236,82.6591343547,87.4310641049,81.9064885242,87.3457125158,1741236,0.0,1.0
