date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,48.74,49.09,47.96,48.75,9867823,43.9513336615,44.2669464391,43.2479680428,43.9603511695,9867823,0.0,1.0
2020-04-14,50.0,51.27,49.95,50.63,11064250,45.087539661,46.2327631684,45.0424521213,45.6556426607,11064250,0.0,1.0
2020-04-15,49.76,49.97,49.04,49.66,9386177,44.8711194706,45.0604871372,44.2218588995,44.7809443913,9386177,0.0,1.0
2020-04-16,51.81,53.14,51.68,52.4,18591108,46.7197085967,47.9190371517,46.6024809936,47.2517415647,18591108,0.0,1.0
2020-04-17,54.13,54.19,53.0,53.69,11286854,48.811770437,48.8658754846,47.7927920406,48.415000088,11286854,0.0,1.0
2020-04-20,53.0,53.82,52.56,52.59,9900677,47.7927920406,48.5322276911,47.3960216916,47.4230742154,9900677,0.0,1.0
2020-04-21,51.6,51.81,50.52,51.37,13099732,46.5303409301,46.7197085967,45.5564500735,46.3229382477,13099732,0.0,1.0
2020-04-22,52.48,53.11,52.41,52.95,8255475,47.3238816282,47.8919846279,47.2607590726,47.747704501,8255475,0.0,1.0
2020-04-23,52.81,53.13,52.26,52.64,7617759,47.6214593899,47.9100196438,47.1254964537,47.4681617551,7617759,0.0,1.0
2020-04-24,52.6,52.89,52.0,52.73,5701758,47.4320917233,47.6935994534,46.8910412474,47.5493193265,5701758,0.0,1.0
2020-04-27,53.15,53.75,52.97,53.51,5811725,47.9280546596,48.4691051356,47.7657395168,48.2526849452,5811725,0.0,1.0
2020-04-28,53.51,53.73,52.68,52.76,8561048,48.2526849452,48.4510701197,47.5042317868,47.5763718503,8561048,0.0,1.0
2020-04-29,53.75,54.69,53.43,54.48,8564542,48.4691051356,49.3167508812,48.1805448817,49.1273832146,8564542,0.0,1.0
2020-04-30,54.2,54.41,52.96,53.13,6333093,48.8748929925,49.0642606591,47.7567220089,47.9100196438,6333093,0.0,1.0
2020-05-01,52.48,52.56,51.09,51.1,10234639,47.3238816282,47.3960216916,46.0704480256,46.0794655335,10234639,0.0,1.0
2020-05-04,51.79,52.18,51.28,52.15,7512838,46.7016735808,47.0533563902,46.2417806763,47.0263038664,7512838,0.0,1.0
2020-05-05,52.21,52.58,51.58,51.71,7779016,47.080408914,47.4140567075,46.5123059143,46.6295335174,7779016,0.0,1.0
2020-05-06,52.11,52.62,52.0,52.13,8203825,46.9902338347,47.4501267392,46.8910412474,47.0082688505,8203825,0.0,1.0
2020-05-07,52.95,52.98,52.1,52.33,5492982,47.747704501,47.7747570248,46.9812163267,47.1886190092,5492982,0.0,1.0
2020-05-08,52.62,53.34,52.47,52.91,6085977,47.4501267392,48.0993873103,47.3148641202,47.7116344692,6085977,0.0,1.0
2020-05-11,52.61,52.83,52.38,52.4,6441922,47.4411092313,47.6394944058,47.2337065488,47.2517415647,6441922,0.0,1.0
2020-05-12,52.64,52.64,51.08,51.1,8564695,47.4681617551,47.4681617551,46.0614305177,46.0794655335,8564695,0.0,1.0
2020-05-13,51.91,52.02,50.48,50.92,8603305,46.809883676,46.9090762633,45.5203800417,45.9171503907,8603305,0.0,1.0
2020-05-14,50.43,52.15,49.79,52.1,13687539,45.4752925021,47.0263038664,44.8981719944,46.9812163267,13687539,0.0,1.0
2020-05-15,50.56,51.05,49.38,49.8,17758523,45.5925201052,46.0343779939,44.5284541692,44.9071895023,17758523,0.0,1.0
2020-05-18,50.94,52.19,50.77,51.87,12726464,45.9351854066,47.0623738981,45.7818877718,46.7738136443,12726464,0.0,1.0
2020-05-19,51.35,51.46,50.8,50.81,12939008,46.3049032318,46.4040958191,45.8089402956,45.8179578035,12939008,0.0,1.0
2020-05-20,51.58,52.09,50.5,51.84,8401392,46.5123059143,46.9721988188,45.5384150576,46.7467611205,8401392,0.0,1.0
2020-05-21,52.1,52.21,50.69,50.75,7838977,46.9812163267,47.080408914,45.7097477083,45.7638527559,7838977,0.0,1.0
2020-05-22,50.84,50.86,49.61,49.8,12453812,45.8450103273,45.8630453431,44.7358568516,44.9071895023,12453812,0.0,1.0
2020-05-26,51.3,51.4,50.79,50.82,8869886,46.2598156922,46.3499907715,45.7999227876,45.8269753114,8869886,0.0,1.0
2020-05-27,51.03,51.74,50.75,51.74,11403885,46.016342978,46.6565860412,45.7638527559,46.6565860412,11403885,0.0,1.0
2020-05-28,51.46,51.62,50.1,50.28,8178708,46.4040958191,46.548375946,45.1777147403,45.3400298831,8178708,0.0,1.0
2020-05-29,50.34,50.73,49.86,50.33,10918536,45.3941349307,45.74581774,44.9612945499,45.3851174227,10918536,0.0,1.0
2020-06-01,50.91,51.28,50.54,51.03,6187306,45.9081328828,46.2417806763,45.5744850893,46.016342978,6187306,0.0,1.0
2020-06-02,51.45,52.04,51.29,52.01,6060701,46.3950783111,46.9271112791,46.2507981842,46.9000587553,6060701,0.0,1.0
2020-06-03,52.64,53.25,52.42,53.06,8378545,47.4681617551,48.0182297389,47.2697765806,47.8468970882,8378545,0.0,1.0
2020-06-04,53.06,54.37,53.03,54.28,13261440,47.8468970882,49.0281906273,47.8198445644,48.947033056,13261440,0.0,1.0
2020-06-05,55.5,56.34,55.06,55.2,9774094,50.0471690237,50.80463969,49.6503986747,49.7766437857,9774094,0.0,1.0
2020-06-08,55.74,55.78,54.71,55.57,6297985,50.2635892141,50.2996592458,49.334785897,50.1102915792,6297985,0.0,1.0
2020-06-09,55.29,56.63,54.95,56.61,9349461,49.8578013571,51.06614742,49.5512060874,51.0481124042,9349461,0.0,1.0
2020-06-10,56.82,58.04,56.82,57.55,9187306,51.2374800707,52.3376160385,51.2374800707,51.8957581498,9187306,0.0,1.0
2020-06-11,55.85,56.41,55.01,55.04,9870829,50.3627818013,50.8677622455,49.605311135,49.6323636588,9870829,0.0,1.0
2020-06-12,56.5,56.87,55.35,56.0,9838102,50.9489198169,51.2825676104,49.9119064047,50.4980444203,9838102,0.0,1.0
2020-06-15,54.71,56.12,54.52,56.02,7509727,49.334785897,50.6062545155,49.1634532463,50.5160794362,7509727,0.0,1.0
2020-06-16,56.59,57.0,55.54,55.8,8826530,51.0300773883,51.3997952135,50.0832390554,50.3176942617,8826530,0.0,1.0
2020-06-17,56.15,56.82,55.89,56.6,8246014,50.6333070393,51.2374800707,50.398851833,51.0390948962,8246014,0.0,1.0
2020-06-18,56.04,56.54,55.79,56.15,6830733,50.912513721,51.366765271,50.6853879461,51.012449062,6830733,0.420451,1.0
2020-06-19,56.48,56.5,55.27,55.31,6962464,51.312255085,51.330425147,50.2129663341,50.2493064581,6962464,0.0,1.0
2020-06-22,55.5,56.0,55.32,56.0,4479460,50.4219220471,50.876173597,50.2583914891,50.876173597,4479460,0.0,1.0
2020-06-23,56.64,57.16,56.53,56.76,7826530,51.457615581,51.930037193,51.35768024,51.566635953,7826530,0.0,1.0
2020-06-24,56.71,57.06,56.16,56.58,7076313,51.521210798,51.839186883,51.021534093,51.403105395,7076313,0.0,1.0
2020-06-25,56.56,57.09,55.95,57.04,4508481,51.384935333,51.866441976,50.830748442,51.821016821,4508481,0.0,1.0
2020-06-26,57.0,57.26,56.21,56.33,6226181,51.784676697,52.020887503,51.066959248,51.17597962,6226181,0.0,1.0
2020-06-29,56.34,56.41,55.66,56.39,5016572,51.185064651,51.248659868,50.5672825431,51.230489806,5016572,0.0,1.0
2020-06-30,56.25,56.99,56.19,56.77,7158664,51.103299372,51.775591666,51.048789186,51.575720984,7158664,0.0,1.0
2020-07-01,56.97,57.47,56.76,56.82,6865885,51.757421604,52.211673154,51.566635953,51.621146139,6865885,0.0,1.0
2020-07-02,57.95,59.07,57.95,58.62,10015544,52.6477546419,53.6652781139,52.6477546419,53.2564517189,10015544,0.0,1.0
2020-07-06,60.67,62.13,60.56,61.88,12714999,55.1188830738,56.4452975997,55.0189477328,56.2181718247,12714999,0.0,1.0
2020-07-07,61.26,61.5,60.68,60.71,6671146,55.6548999028,55.8729406468,55.1279681048,55.1552231978,6671146,0.0,1.0
2020-07-08,61.64,62.74,61.5,62.59,8715289,56.0001310807,56.9994844907,55.8729406468,56.8632090257,8715289,0.0,1.0
2020-07-09,62.95,64.97,62.89,64.78,16897998,57.1902701417,59.0254464036,57.1357599557,58.8528308146,16897998,0.0,1.0
2020-07-10,64.47,64.56,63.19,63.85,10697432,58.5711948536,58.6529601326,57.4083108857,58.0079229316,10697432,0.0,1.0
2020-07-13,65.2,67.08,64.98,65.07,16645367,59.2344021166,60.9423879445,59.0345314346,59.1162967136,16645367,0.0,1.0
2020-07-14,66.0,67.03,65.33,66.96,10459230,59.9612045965,60.8969627895,59.3525075196,60.8333675725,10459230,0.0,1.0
2020-07-15,67.18,67.21,65.16,66.06,12412418,61.0332382545,61.0604933475,59.1980619926,60.0157147825,12412418,0.0,1.0
2020-07-16,65.38,66.63,64.32,66.59,15703469,59.3979326746,60.5335615495,58.4349193886,60.4972214255,15703469,0.0,1.0
2020-07-17,67.31,68.0,66.37,66.4,11716568,61.1513436574,61.7782107964,60.2973507435,60.3246058365,11716568,0.0,1.0
2020-07-20,66.7,66.98,65.8,66.89,6354280,60.5971567665,60.8515376345,59.7795039765,60.7697723555,6354280,0.0,1.0
2020-07-21,68.84,69.25,67.71,67.81,10615325,62.5413534004,62.9138396713,61.5147448974,61.6055952074,10615325,0.0,1.0
2020-07-22,68.1,68.9,68.03,68.53,7366145,61.8690611064,62.5958635864,61.8054658894,62.2597174394,7366145,0.0,1.0
2020-07-23,68.26,68.5,66.752,67.37,8559459,62.0144216024,62.2324623464,60.6443989277,61.2058538434,8559459,0.0,1.0
2020-07-24,71.4,76.89,71.35,73.9,41226755,64.8671213362,69.8548033549,64.8216961812,67.1383790861,41226755,0.0,1.0
2020-07-27,81.36,83.4,80.43,83.25,39899163,73.9158122117,75.7691585356,73.0709043288,75.6328830706,39899163,0.0,1.0
2020-07-28,79.345,79.58,76.49,76.92,31500115,72.0851784653,72.2986766938,69.491402115,69.8820584479,31500115,0.0,1.0
2020-07-29,77.11,83.37,77.06,82.67,28304032,70.0546740369,75.7419034426,70.0092488819,75.1059512726,28304032,0.0,1.0
2020-07-30,80.01,81.28,78.61,79.93,16820321,72.6893330268,73.8431319637,71.4174286869,72.6166527788,16820321,0.0,1.0
2020-07-31,79.63,79.77,77.51,78.89,12027110,72.3441018488,72.4712922828,70.4180752769,71.6718095548,12027110,0.0,1.0
2020-08-03,77.77,79.15,77.41,78.95,10138008,70.6542860829,71.9080203608,70.3272249669,71.7263197408,10138008,0.0,1.0
2020-08-04,79.33,80.19,78.74,80.19,12569353,72.0715509188,72.8528635848,71.5355340898,72.8528635848,12569353,0.0,1.0
2020-08-05,80.98,84.0,80.57,81.63,14447178,73.5705810337,76.3142603956,73.1980947627,74.1611080487,14447178,0.0,1.0
2020-08-06,82.04,82.1,80.22,80.52,9838671,74.5335943197,74.5881045057,72.8801186778,73.1526696078,9838671,0.0,1.0
2020-08-07,80.49,80.785,79.41,80.03,8705825,73.1254145148,73.3934229292,72.1442311668,72.7075030888,8705825,0.0,1.0
2020-08-10,80.55,80.85,79.2199,79.87,7421360,73.1799247008,73.4524756307,71.9715247275,72.5621425928,7421360,0.0,1.0
