date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,19.53,19.53,18.84,19.14,1970220,19.53,19.53,18.84,19.14,1970220,0.0,1.0
2020-04-14,19.61,19.75,19.26,19.51,1593099,19.61,19.75,19.26,19.51,1593099,0.0,1.0
2020-04-15,19.09,19.09,18.26,18.59,1781953,19.09,19.09,18.26,18.59,1781953,0.0,1.0
2020-04-16,18.6,18.79,17.92,18.34,1385255,18.6,18.79,17.92,18.34,1385255,0.0,1.0
2020-04-17,19.07,19.83,18.87,19.7,1348283,19.07,19.83,18.87,19.7,1348283,0.0,1.0
2020-04-20,19.29,20.4099,19.02,19.99,838828,19.29,20.4099,19.02,19.99,838828,0.0,1.0
2020-04-21,19.22,19.73,19.02,19.1,1063510,19.22,19.73,19.02,19.1,1063510,0.0,1.0
2020-04-22,19.77,19.99,19.09,19.18,1782322,19.77,19.99,19.09,19.18,1782322,0.0,1.0
2020-04-23,19.3,20.13,18.9201,19.73,1164087,19.3,20.13,18.9201,19.73,1164087,0.0,1.0
2020-04-24,19.68,20.63,19.34,20.36,930858,19.68,20.63,19.34,20.36,930858,0.0,1.0
2020-04-27,20.76,21.3,20.4194,21.11,903967,20.76,21.3,20.4194,21.11,903967,0.0,1.0
2020-04-28,21.6,21.79,20.17,20.4,1270360,21.6,21.79,20.17,20.4,1270360,0.0,1.0
2020-04-29,21.43,24.53,21.25,24.43,2456796,21.43,24.53,21.25,24.43,2456796,0.0,1.0
2020-04-30,23.06,23.85,22.04,22.35,1455325,23.06,23.85,22.04,22.35,1455325,0.0,1.0
2020-05-01,21.49,22.15,20.55,22.15,1447922,21.49,22.15,20.55,22.15,1447922,0.0,1.0
2020-05-04,22.21,22.83,21.35,22.71,1309765,22.21,22.83,21.35,22.71,1309765,0.0,1.0
2020-05-05,23.31,24.09,21.8,21.99,1152303,23.31,24.09,21.8,21.99,1152303,0.0,1.0
2020-05-06,22.04,22.74,21.8959,22.12,978698,22.04,22.74,21.8959,22.12,978698,0.0,1.0
2020-05-07,22.61,23.52,22.47,22.91,2244714,22.61,23.52,22.47,22.91,2244714,0.0,1.0
2020-05-08,21.79,23.6,21.6,23.45,2264304,21.79,23.6,21.6,23.45,2264304,0.0,1.0
2020-05-11,22.58,23.12,22.0268,22.15,1290116,22.58,23.12,22.0268,22.15,1290116,0.0,1.0
2020-05-12,22.34,23.4,22.24,22.39,1206929,22.34,23.4,22.24,22.39,1206929,0.0,1.0
2020-05-13,22.31,22.31,18.56,19.17,2786523,22.31,22.31,18.56,19.17,2786523,0.0,1.0
2020-05-14,18.76,19.38,17.835,19.25,1970257,18.76,19.38,17.835,19.25,1970257,0.0,1.0
2020-05-15,19.26,19.66,18.81,19.51,964809,19.26,19.66,18.81,19.51,964809,0.0,1.0
2020-05-18,20.6,21.54,20.5,21.31,1772013,20.6,21.54,20.5,21.31,1772013,0.0,1.0
2020-05-19,21.31,21.8,20.64,20.88,1122048,21.31,21.8,20.64,20.88,1122048,0.0,1.0
2020-05-20,21.57,22.28,21.27,21.82,974603,21.57,22.28,21.27,21.82,974603,0.0,1.0
2020-05-21,20.81,21.6,20.36,21.04,1695269,20.81,21.6,20.36,21.04,1695269,0.0,1.0
2020-05-22,21.04,21.26,20.345,20.83,816638,21.04,21.26,20.345,20.83,816638,0.0,1.0
2020-05-26,21.5,22.63,21.29,22.47,1309094,21.5,22.63,21.29,22.47,1309094,0.0,1.0
2020-05-27,23.1,23.37,21.6093,22.2,1958210,23.1,23.37,21.6093,22.2,1958210,0.0,1.0
2020-05-28,22.31,22.53,21.59,21.73,729309,22.31,22.53,21.59,21.73,729309,0.0,1.0
2020-05-29,21.57,21.92,21.21,21.74,1005294,21.57,21.92,21.21,21.74,1005294,0.0,1.0
2020-06-01,21.19,22.3,21.05,22.19,1212005,21.19,22.3,21.05,22.19,1212005,0.0,1.0
2020-06-02,22.45,22.97,22.09,22.81,803628,22.45,22.97,22.09,22.81,803628,0.0,1.0
2020-06-03,23.17,24.3244,23.17,24.13,1126565,23.17,24.3244,23.17,24.13,1126565,0.0,1.0
2020-06-04,24.0,24.12,23.01,23.34,1081187,24.0,24.12,23.01,23.34,1081187,0.0,1.0
2020-06-05,24.65,27.43,24.65,27.06,2572020,24.65,27.43,24.65,27.06,2572020,0.0,1.0
2020-06-08,28.0,28.33,26.86,27.42,1193692,28.0,28.33,26.86,27.42,1193692,0.0,1.0
2020-06-09,26.66,27.05,25.2413,25.42,1653213,26.66,27.05,25.2413,25.42,1653213,0.0,1.0
2020-06-10,25.72,25.99,24.39,25.29,879193,25.72,25.99,24.39,25.29,879193,0.0,1.0
2020-06-11,23.61,24.16,22.615,22.81,1198188,23.61,24.16,22.615,22.81,1198188,0.0,1.0
2020-06-12,23.97,24.24,22.9,23.5,963844,23.97,24.24,22.9,23.5,963844,0.0,1.0
