date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,94.88,96.55,92.3,95.77,815875,87.2004405255,88.7352712135,84.8292649716,88.0184041856,815875,0.0,1.0
2020-04-14,97.75,99.11,96.88,97.92,615094,89.8381435642,91.0880655616,89.0385611099,89.9943838138,615094,0.0,1.0
2020-04-15,96.38,96.87,93.05,94.46,623550,88.5790309638,89.029370507,85.5185601908,86.8144352028,623550,0.0,1.0
2020-04-16,94.37,95.47,92.15,93.98,754868,86.7317197765,87.7426860979,84.6914059278,86.3732862625,754868,0.0,1.0
2020-04-17,96.37,98.25,94.92,97.63,767493,88.5698403609,90.2976737103,87.2372029372,89.7278563291,767493,0.0,1.0
2020-04-20,95.64,96.31,93.32,93.95,571503,87.8989263476,88.5146967434,85.7667064696,86.3457144537,571503,0.0,1.0
2020-04-21,92.23,92.96,90.26,90.76,603251,84.7649307511,85.4358447645,82.9543819755,83.4139121216,603251,0.0,1.0
2020-04-22,92.33,93.16,91.1,92.97,699923,84.8568367804,85.6196568229,83.7263926209,85.4450353674,699923,0.0,1.0
2020-04-23,94.58,98.29,92.12,95.13,1311085,86.9247224378,90.334436122,84.663834119,87.4302055986,1311085,0.0,1.0
2020-04-24,94.76,96.79,93.37,96.57,691458,87.0901532904,88.9558456836,85.8126594843,88.7536524194,691458,0.0,1.0
2020-04-27,97.57,99.57,97.41,99.07,717737,89.6727127116,91.510833296,89.5256630648,91.0513031499,717737,0.0,1.0
2020-04-28,101.03,103.03,100.64,101.62,564350,92.8526613226,94.6907819071,92.4942278087,93.394906895,564350,0.0,1.0
2020-04-29,104.33,104.6,101.67,102.36,810175,95.885560287,96.1337065659,93.4408599097,94.0750115113,810175,0.0,1.0
2020-04-30,100.85,101.58,98.61,100.54,1215195,92.68723047,93.3581444834,90.6285354155,92.4023217795,1215195,0.0,1.0
2020-05-01,98.92,99.92,96.78,97.48,705867,90.9134441061,91.8325043983,88.9466550807,89.5899972853,705867,0.0,1.0
2020-05-04,96.38,96.38,94.4,94.76,666596,88.5790309638,88.5790309638,86.7592915852,87.0901532904,666596,0.0,1.0
2020-05-05,95.57,97.91,94.89,96.74,751877,87.8345921271,89.9851932109,87.2096311284,88.909892669,751877,0.0,1.0
2020-05-06,97.55,99.61,96.8,97.99,838930,89.6543315057,91.5475957077,88.9650362866,90.0587180343,838930,0.0,1.0
2020-05-07,99.14,101.21,99.14,100.14,908767,91.1156373703,93.0180921752,91.1156373703,92.0346976626,908767,0.0,1.0
2020-05-08,101.94,103.79,101.52,102.27,409901,93.6890061886,95.3892677292,93.3030008658,93.992296085,409901,0.0,1.0
2020-05-11,101.59,102.69,100.02,101.68,530444,93.3673350863,94.3783014077,91.9244104275,93.4500505126,530444,0.0,1.0
2020-05-12,102.19,103.56,99.67,99.72,538690,93.9187712616,95.1778838619,91.6027393252,91.6486923398,538690,0.0,1.0
2020-05-13,98.7,99.85,92.76,93.66,908745,90.7112508418,91.7681701778,85.252032706,86.079186969,908745,0.0,1.0
2020-05-14,92.36,93.62,89.83,93.57,1442749,84.8844085891,86.0424245573,82.5591860498,85.9964715427,1442749,0.0,1.0
2020-05-15,92.78,94.48,92.04,92.94,766097,85.2704139119,86.8328164086,84.5903092956,85.4174635586,766097,0.0,1.0
2020-05-18,96.22,97.71,95.75,95.88,726813,88.4319813171,89.8013811525,88.0000229797,88.1195008177,726813,0.0,1.0
2020-05-19,95.57,97.46,94.11,94.25,712892,87.8345921271,89.5716160794,86.4927641005,86.6214325414,712892,0.0,1.0
2020-05-20,95.76,97.84,95.38,97.34,814731,88.0092135827,89.9208589905,87.6599706716,89.4613288444,814731,0.0,1.0
2020-05-21,93.97,95.52,93.52,94.0,972782,86.3640956596,87.7886391125,85.9505185281,86.3916674684,972782,0.0,1.0
2020-05-22,94.37,94.6,92.92,94.29,497645,86.7317197765,86.9431036437,85.3990823528,86.6581949531,497645,0.0,1.0
2020-05-26,96.96,98.55,96.36,97.64,746109,89.1120859333,90.5733917979,88.560649758,89.737046932,746109,0.0,1.0
2020-05-27,99.6,100.41,97.68,99.03,853612,91.5384051048,92.2828439415,89.7738093437,91.0145407382,853612,0.0,1.0
2020-05-28,100.64,101.59,98.39,99.91,645421,92.4942278087,93.3673350863,90.4263421512,91.8233137954,645421,0.0,1.0
2020-05-29,98.82,100.18,97.85,99.7,917223,90.8215380768,92.0714600743,89.9300495934,91.630311134,917223,0.0,1.0
2020-06-01,100.38,102.01,99.43,100.65,480397,92.2552721327,93.753340409,91.3821648551,92.5034184116,480397,0.0,1.0
2020-06-02,101.37,101.99,99.36,100.01,664067,93.165141822,93.7349592032,91.3178306346,91.9152198246,664067,0.0,1.0
2020-06-03,100.89,105.39,100.6,105.04,714810,92.7239928817,96.8597641967,92.457465397,96.5380930944,714810,0.0,1.0
2020-06-04,103.81,106.24,103.21,106.09,774865,95.407648935,97.6409654451,94.8562127597,97.5031064013,774865,0.0,1.0
2020-06-05,109.84,117.49,109.29,115.35,1535468,100.9495824971,107.9803937325,100.4440993363,106.0136047072,1535468,0.0,1.0
2020-06-08,114.94,116.7,114.32,115.54,707917,105.6367899874,107.2543361017,105.0669726062,106.1882261627,707917,0.0,1.0
2020-06-09,113.57,113.64,111.78,112.29,612132,104.377677387,104.4420116075,102.732559464,103.201280213,612132,0.0,1.0
2020-06-10,111.89,112.42,108.76,109.02,663159,102.8336560961,103.320758051,99.9569973815,100.1959530574,663159,0.0,1.0
2020-06-11,105.26,105.49,101.38,101.56,734354,96.7402863587,96.9516702259,93.1743324249,93.3397632775,734354,0.0,1.0
2020-06-12,104.9,104.91,99.37,102.41,731982,96.4094246535,96.4186152564,91.3270212376,94.1209645259,731982,0.0,1.0
2020-06-15,99.14,103.23,98.47,102.65,540734,91.399680273,95.1703549988,90.7819902813,94.6356382895,540734,0.32,1.0
2020-06-16,106.69,106.81,102.06,104.53,472649,98.3602167473,98.4708477906,94.0917023266,96.3688579679,472649,0.0,1.0
2020-06-17,105.55,106.03,103.64,104.25,481252,97.309221836,97.7517460092,95.5483443968,96.1107188669,481252,0.0,1.0
2020-06-18,103.48,105.26,102.17,102.99,563353,95.400836339,97.0418634813,94.1931141163,94.9490929122,563353,0.0,1.0
2020-06-19,104.99,104.99,101.91,102.74,968996,96.7929436339,96.7929436339,93.9534135225,94.718611572,968996,0.0,1.0
2020-06-22,102.22,102.86,100.41,102.7,709768,94.2392103844,94.8292426153,92.5705254813,94.6817345576,709768,0.0,1.0
2020-06-23,104.23,104.91,102.42,102.66,466736,96.0922803597,96.719189605,94.4235954565,94.6448575431,466736,0.0,1.0
2020-06-24,101.6,101.97,97.71,97.83,560209,93.6676166607,94.0087290442,90.081327007,90.1919580503,560209,0.0,1.0
2020-06-25,97.08,98.25,95.08,98.0,716187,89.5005140297,90.5791667019,87.656663308,90.3486853617,716187,0.0,1.0
2020-06-26,97.7,98.52,96.34,97.05,837545,90.0721077534,90.8280865493,88.8182892627,89.4728562689,837545,0.0,1.0
2020-06-29,98.13,99.81,97.0,99.79,515247,90.4685356586,92.0173702648,89.4267600008,91.9989317576,515247,0.0,1.0
2020-06-30,99.39,102.74,99.39,102.22,805877,91.6301616132,94.718611572,91.6301616132,94.2392103844,805877,0.0,1.0
2020-07-01,102.28,103.36,101.03,101.89,804470,94.294525906,95.2902052957,93.142119205,93.9349750153,804470,0.0,1.0
2020-07-02,103.4,104.6,102.3,102.39,452973,95.3270823102,96.4333927432,94.3129644132,94.3959376957,452973,0.0,1.0
2020-07-06,104.4,105.04,103.4,103.97,397759,96.249007671,96.8390399019,95.3270823102,95.8525797658,397759,0.0,1.0
2020-07-07,103.13,103.77,102.01,102.05,514793,95.0781624627,95.6681946937,94.0456060586,94.082483073,514793,0.0,1.0
2020-07-08,102.9,103.47,101.73,102.49,699962,94.8661196297,95.3916170854,93.7874669576,94.4881302318,699962,0.0,1.0
2020-07-09,102.55,103.18,100.06,100.53,473735,94.5434457535,95.1242587308,92.247851605,92.6811565246,473735,0.0,1.0
2020-07-10,100.27,101.74,99.51,101.51,436582,92.4414559308,93.7966862112,91.7407926565,93.5846433782,436582,0.0,1.0
2020-07-13,102.02,103.54,101.5,101.75,499913,94.0548253122,95.4561518607,93.5754241246,93.8059054648,499913,0.0,1.0
2020-07-14,101.55,104.38,101.15,104.24,548882,93.6215203926,96.2305691638,93.2527502483,96.1014996133,548882,0.0,1.0
2020-07-15,105.95,107.78,105.54,106.8,722851,97.6779919803,99.3651153906,97.3000025823,98.461628537,722851,0.0,1.0
2020-07-16,106.72,107.92,106.14,107.41,586051,98.3878745081,99.4941849411,97.8531577988,99.0240030071,586051,0.0,1.0
2020-07-17,107.53,107.53,104.92,106.85,750344,99.1346340504,99.1346340504,96.7284088586,98.507724805,750344,0.0,1.0
2020-07-20,107.0,108.53,106.65,107.53,635472,98.6460136092,100.0565594112,98.3233397329,99.1346340504,635472,0.0,1.0
2020-07-21,109.08,110.18,108.43,109.82,774274,100.5636183597,101.5777362566,99.9643668752,101.2458431267,774274,0.0,1.0
2020-07-22,109.35,112.395,109.35,111.6,1117059,100.8125382071,103.6198009309,100.8125382071,102.886870269,1117059,0.0,1.0
2020-07-23,108.7,110.0,102.35,102.56,1622510,100.2132867226,101.4117896917,94.3590606813,94.5526650071,1622510,0.0,1.0
2020-07-24,102.75,103.28,100.395,101.02,873738,94.7278308256,95.2164512669,92.5566966009,93.1328999514,873738,0.0,1.0
2020-07-27,101.68,102.08,100.59,101.39,732461,93.7413706895,94.1101408339,92.7364720462,93.4740123349,732461,0.0,1.0
2020-07-28,100.8,101.18,98.47,98.51,657997,92.930076372,93.2804080091,90.7819902813,90.8188672957,657997,0.0,1.0
2020-07-29,98.67,99.64,97.805,98.22,570871,90.9663753534,91.8606429534,90.1689099163,90.551508941,570871,0.0,1.0
2020-07-30,96.96,97.88,95.43,97.58,721795,89.3898829864,90.2380543184,87.9793371843,89.9614767101,721795,0.0,1.0
2020-07-31,97.78,99.51,96.54,99.46,896527,90.1458617823,91.7407926565,89.0026743348,91.6946963885,896527,0.0,1.0
2020-08-03,100.12,100.905,99.005,100.45,703480,92.3031671266,93.0268785349,91.2752203493,92.6074024957,703480,0.0,1.0
2020-08-04,99.6,100.055,98.28,99.41,700811,91.823765939,92.2432419782,90.6068244627,91.6486001204,700811,0.0,1.0
2020-08-05,99.94,101.025,99.68,100.44,748242,92.1372205617,93.1375095782,91.8975199679,92.5981832421,748242,0.0,1.0
2020-08-06,99.79,100.69,98.22,99.2,810543,91.9989317576,92.8286645823,90.551508941,91.4549957947,810543,0.0,1.0
2020-08-07,99.6,100.11,98.63,100.11,692973,91.823765939,92.293947873,90.929498339,92.293947873,692973,0.0,1.0
2020-08-10,100.47,102.39,100.18,102.32,449655,92.6258410029,94.3959376957,92.3584826483,94.3314029205,449655,0.0,1.0
2020-08-11,103.24,106.21,102.64,104.16,759431,95.1795742524,97.9176925741,94.6264190359,96.0277455844,759431,0.0,1.0
2020-08-12,104.79,105.01,103.525,104.17,406988,96.6085585617,96.8113821411,95.4423229803,96.036964838,406988,0.0,1.0
2020-08-13,103.93,104.68,102.36,102.69,453816,95.8157027514,96.507146772,94.3682799349,94.672515304,453816,0.0,1.0
