date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,3.33,3.79,3.14,3.72,1007723,2.0194578671,2.2984220169,1.9042335443,2.2559709506,1007723,0.0,1.0
2020-04-14,3.73,4.39,3.72,4.36,1060467,2.2620353887,2.6622882993,2.2559709506,2.6440949851,1060467,0.0,1.0
2020-04-15,4.03,4.08,3.56,3.74,1000455,2.4439685298,2.47429072,2.158939942,2.2680998267,1000455,0.0,1.0
2020-04-16,3.81,3.92,3.48,3.5,646393,2.310550893,2.3772597114,2.1104244377,2.1225533138,646393,0.0,1.0
2020-04-17,3.81,3.88,3.52,3.61,753093,2.310550893,2.3530019593,2.1346821898,2.1892621322,753093,0.0,1.0
2020-04-20,3.59,3.69,3.39,3.43,855800,2.1771332561,2.2377776365,2.0558444953,2.0801022475,855800,0.0,1.0
2020-04-21,3.31,3.54,3.3,3.46,689839,2.007328991,2.1468110659,2.001264553,2.0982955616,689839,0.0,1.0
2020-04-22,3.55,3.59,3.39,3.39,638682,2.152875504,2.1771332561,2.0558444953,2.0558444953,638682,0.0,1.0
2020-04-23,3.43,3.72,3.35,3.4,699155,2.0801022475,2.2559709506,2.0315867432,2.0619089334,699155,0.0,1.0
2020-04-24,3.49,3.64,3.3,3.35,680899,2.1164888757,2.2074554463,2.001264553,2.0315867432,680899,0.0,1.0
2020-04-27,3.45,3.47,3.21,3.39,913920,2.0922311236,2.1043599996,1.9466846106,2.0558444953,913920,0.0,1.0
2020-04-28,3.5,3.53,3.24,3.27,1237554,2.1225533138,2.1407466279,1.9648779247,1.9830712389,1237554,0.0,1.0
2020-04-29,3.4,4.0,3.37,3.76,1471935,2.0619089334,2.4257752157,2.0437156192,2.2802287028,1471935,0.0,1.0
2020-04-30,3.87,4.09,3.6,3.88,1122152,2.3469375212,2.4803551581,2.1831976942,2.3530019593,1122152,0.0,1.0
2020-05-01,3.72,3.77,3.53,3.62,863842,2.2559709506,2.2862931408,2.1407466279,2.1953265702,863842,0.0,1.0
2020-05-04,3.56,3.74,3.4,3.5,526129,2.158939942,2.2680998267,2.0619089334,2.1225533138,526129,0.0,1.0
2020-05-05,3.63,3.78,3.44,3.47,691473,2.2013910083,2.2923575789,2.0861666855,2.1043599996,691473,0.0,1.0
2020-05-06,3.56,3.61,3.3,3.32,749358,2.158939942,2.1892621322,2.001264553,2.0133934291,749358,0.0,1.0
2020-05-07,3.42,3.5,3.3,3.41,532804,2.0740378094,2.1225533138,2.001264553,2.0679733714,532804,0.0,1.0
2020-05-08,3.33,3.42,3.2,3.36,989388,2.0194578671,2.0740378094,1.9406201726,2.0376511812,989388,0.0,1.0
2020-05-11,3.36,3.49,3.3,3.37,586796,2.0376511812,2.1164888757,2.001264553,2.0437156192,586796,0.0,1.0
2020-05-12,3.39,3.47,3.23,3.23,593649,2.0558444953,2.1043599996,1.9588134867,1.9588134867,593649,0.0,1.0
2020-05-13,3.22,3.25,2.83,2.89,1435482,1.9527490487,1.9709423628,1.7162359651,1.7526225934,1435482,0.0,1.0
2020-05-14,2.9,3.04,2.81,2.83,791393,1.7586870314,1.843589164,1.704107089,1.7162359651,791393,0.0,1.0
2020-05-15,2.84,2.96,2.83,2.84,654418,1.7223004032,1.7950736596,1.7162359651,1.7223004032,654418,0.0,1.0
2020-05-18,3.0,3.33,2.93,3.16,1124676,1.8193314118,2.0194578671,1.7768803455,1.9163624204,1124676,0.0,1.0
2020-05-19,3.3,3.3,3.01,3.03,576441,2.001264553,2.001264553,1.8253958498,1.8375247259,576441,0.0,1.0
2020-05-20,3.09,3.18,3.07,3.08,559075,1.8739113541,1.9284912965,1.8617824781,1.8678469161,559075,0.0,1.0
2020-05-21,3.09,3.2,3.05,3.1,518805,1.8739113541,1.9406201726,1.849653602,1.8799757922,518805,0.0,1.0
2020-05-22,3.15,3.16,3.02,3.07,404889,1.9102979824,1.9163624204,1.8314602879,1.8617824781,404889,0.0,1.0
2020-05-26,3.17,3.3,3.11,3.13,699974,1.9224268585,2.001264553,1.8860402302,1.8981691063,699974,0.0,1.0
2020-05-27,3.2,3.26,3.09,3.22,472689,1.9406201726,1.9770068008,1.8739113541,1.9527490487,472689,0.0,1.0
2020-05-28,3.26,3.42,3.12,3.27,542047,1.9770068008,2.0740378094,1.8921046683,1.9830712389,542047,0.0,1.0
2020-05-29,3.29,3.35,3.1,3.17,561213,1.9952001149,2.0315867432,1.8799757922,1.9224268585,561213,0.0,1.0
2020-06-01,3.19,3.3,3.06,3.06,994514,1.9345557345,2.001264553,1.85571804,1.85571804,994514,0.0,1.0
2020-06-02,3.14,3.19,3.04,3.06,1022340,1.9042335443,1.9345557345,1.843589164,1.85571804,1022340,0.0,1.0
2020-06-03,3.14,3.29,3.1,3.11,1173813,1.9042335443,1.9952001149,1.8799757922,1.8860402302,1173813,0.0,1.0
2020-06-04,3.15,3.5,3.14,3.27,1568367,1.9102979824,2.1225533138,1.9042335443,1.9830712389,1568367,0.0,1.0
2020-06-05,3.56,3.88,3.55,3.77,2035834,2.158939942,2.3530019593,2.152875504,2.2862931408,2035834,0.0,1.0
2020-06-08,4.15,4.91,4.1,4.9,2531685,2.5167417863,2.9776390773,2.4864195961,2.9715746393,2531685,0.0,1.0
2020-06-09,4.99,4.99,4.3,4.49,1350994,3.0261545816,3.0261545816,2.6077083569,2.7229326797,1350994,0.0,1.0
2020-06-10,4.4,4.49,3.99,4.22,1148410,2.6683527373,2.7229326797,2.4197107777,2.5591928526,1148410,0.0,1.0
2020-06-11,3.86,4.26,3.65,3.85,938770,2.3408730832,2.5834506047,2.2135198843,2.3348086451,938770,0.0,1.0
2020-06-12,4.18,4.18,3.85,4.03,781074,2.5349351004,2.5349351004,2.3348086451,2.4439685298,781074,0.0,1.0
2020-06-15,3.89,3.94,3.67,3.71,1230334,2.3590663973,2.3893885875,2.2256487604,2.2499065126,1230334,0.0,1.0
2020-06-16,3.96,4.06,3.74,3.8,1087076,2.4015174636,2.462161844,2.2680998267,2.3044864549,1087076,0.0,1.0
2020-06-17,3.88,3.88,3.56,3.57,850427,2.3530019593,2.3530019593,2.158939942,2.16500438,850427,0.0,1.0
2020-06-18,3.61,3.7,3.49,3.54,637212,2.1892621322,2.2438420745,2.1164888757,2.1468110659,637212,0.0,1.0
2020-06-19,3.65,3.73,3.32,3.52,4057268,2.2135198843,2.2620353887,2.0133934291,2.1346821898,4057268,0.0,1.0
2020-06-22,3.52,3.61,3.46,3.55,530302,2.1346821898,2.1892621322,2.0982955616,2.152875504,530302,0.0,1.0
2020-06-23,3.62,3.79,3.51,3.59,724829,2.1953265702,2.2984220169,2.1286177518,2.1771332561,724829,0.0,1.0
2020-06-24,3.51,3.52,3.38,3.42,585392,2.1286177518,2.1346821898,2.0497800573,2.0740378094,585392,0.0,1.0
2020-06-25,3.4,3.57,3.35,3.57,529890,2.0619089334,2.16500438,2.0315867432,2.16500438,529890,0.0,1.0
2020-06-26,3.57,3.57,3.44,3.44,774892,2.16500438,2.16500438,2.0861666855,2.0861666855,774892,0.0,1.0
