date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,50.33,50.33,48.65,49.03,1769103,43.2201210564,43.2201210564,41.7774466401,42.1037658533,1769103,0.0,1.0
2020-04-14,50.15,50.98,49.32,50.69,1917229,43.0655487975,43.778298658,42.352798937,43.5292655742,1917229,0.0,1.0
2020-04-15,49.83,50.4,48.95,50.07,2265209,42.7907536706,43.2802324904,42.0350670715,42.9968500158,2265209,0.0,1.0
2020-04-16,50.16,50.64,49.11,50.06,1724825,43.0741361452,43.4863288356,42.172464635,42.9882626681,1724825,0.0,1.0
2020-04-17,51.0,51.41,49.85,51.23,2143316,43.7954733534,44.1475546098,42.807928366,43.9929823509,2143316,0.0,1.0
2020-04-20,50.76,52.33,50.12,50.74,1901601,43.5893770082,44.9375905997,43.0397867544,43.5722023128,1901601,0.0,1.0
2020-04-21,50.05,50.2,48.02,48.27,1857193,42.9796753203,43.1084855361,41.2364437339,41.4511274268,1857193,0.0,1.0
2020-04-22,49.16,49.44,48.54,49.04,1740476,42.2154013736,42.4558471096,41.6829858152,42.112353201,1740476,0.0,1.0
2020-04-23,49.24,50.07,48.85,49.32,1942127,42.2841001553,42.9968500158,41.9491935944,42.352798937,1942127,0.0,1.0
2020-04-24,49.6,50.59,48.99,50.32,1963808,42.5932446731,43.443392097,42.0694164624,43.2115337087,1963808,0.0,1.0
2020-04-27,50.74,53.05,50.62,51.93,2208766,43.5722023128,45.5558796352,43.4691541402,44.594096691,2208766,0.0,1.0
2020-04-28,52.52,52.65,51.14,51.45,1903268,45.1007502063,45.2123857266,43.9156962214,44.1819040006,1903268,0.0,1.0
2020-04-29,51.95,52.07,50.83,51.36,2539970,44.6112713864,44.714319559,43.6494884422,44.1046178712,2539970,0.0,1.0
2020-04-30,50.93,51.25,49.04,49.48,7130601,43.7353619194,44.0101570463,42.112353201,42.4901965005,7130601,0.0,1.0
2020-05-01,49.0,49.0,47.19,47.42,2235633,42.0780038101,42.0780038101,40.5236938735,40.7212028709,2235633,0.0,1.0
2020-05-04,47.29,47.47,46.34,47.02,2545982,40.6095673506,40.7641396095,39.7937693176,40.3777089623,2545982,0.0,1.0
2020-05-05,47.54,48.3,47.15,47.45,2137863,40.8242510435,41.47688947,40.4893444826,40.7469649141,2137863,0.0,1.0
2020-05-06,47.82,48.53,47.39,47.4,3022105,41.0646967796,41.6743984675,40.6954408278,40.7040281755,3022105,0.0,1.0
2020-05-07,48.06,49.03,48.0,48.52,3117783,41.2707931248,42.1037658533,41.2192690385,41.6658111197,3117783,0.0,1.0
2020-05-08,49.31,50.24,48.16,49.88,2767449,42.3442115893,43.142834927,41.3566666019,42.8336904092,2767449,0.0,1.0
2020-05-11,53.09,54.2,52.11,53.24,5884322,45.5902290261,46.5434246226,44.7486689499,45.7190392419,5884322,0.0,1.0
2020-05-12,53.46,54.33,50.05,50.1,2420778,45.9079608916,46.6550601429,42.9796753203,43.0226120589,2420778,0.0,1.0
2020-05-13,50.03,50.2,47.27,47.6,2340675,42.9625006249,43.1084855361,40.5923926552,40.8757751298,2340675,0.0,1.0
2020-05-14,46.65,47.36,45.76,47.3,2640570,40.0599770968,40.6696787846,39.29570315,40.6181546983,2640570,0.0,1.0
2020-05-15,48.3,49.0,47.76,48.95,2548565,41.47688947,42.0780038101,41.0131726933,42.0350670715,2548565,0.0,1.0
2020-05-18,50.07,52.45,50.07,52.21,2710162,42.9968500158,45.0406387723,42.9968500158,44.8345424271,2710162,0.0,1.0
2020-05-19,51.9,52.73,51.52,51.56,2086826,44.5683346479,45.2810845083,44.2420154346,44.2763648255,2086826,0.0,1.0
2020-05-20,52.02,53.76,51.04,52.95,2743796,44.6713828205,46.1655813231,43.8298227443,45.4700061581,2743796,0.0,1.0
2020-05-21,52.7,53.46,52.28,53.18,1410373,45.2553224652,45.9079608916,44.8946538611,45.6675151556,1410373,0.0,1.0
2020-05-22,53.05,53.7,52.64,53.59,1364396,45.5558796352,46.1140572368,45.2037983789,46.0195964119,1364396,0.0,1.0
2020-05-26,54.77,55.07,52.44,52.6,2524696,47.0329034425,47.2905238739,45.0320514245,45.169448988,2524696,0.0,1.0
2020-05-27,52.76,53.75,51.69,53.75,1911353,45.3068465515,46.1569939754,44.3880003458,46.1569939754,1911353,0.0,1.0
2020-05-28,54.31,55.29,53.81,54.37,1655974,46.6378854475,47.4794455237,46.2085180617,46.6894095338,1655974,0.0,1.0
2020-05-29,54.5,55.03,53.72,54.69,4376758,46.8010450541,47.2561744831,46.1312319322,46.9642046607,4376758,0.0,1.0
2020-06-01,54.48,55.07,54.14,54.7,1247771,46.7838703587,47.2905238739,46.4919005363,46.9727920084,1247771,0.0,1.0
