date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,30.6,30.6,29.27,30.23,213951,26.6006866778,26.6006866778,25.4445130411,26.2790443879,213951,0.0,1.0
2020-04-14,30.96,31.79,30.31,30.52,282635,26.9136359328,27.6351578264,26.3485886668,26.5311423989,282635,0.0,1.0
2020-04-15,29.19,29.4,28.18,29.1,389580,25.3749687622,25.5575224944,24.4969722412,25.2967314485,389580,0.0,1.0
2020-04-16,28.94,29.18,27.74,28.28,512535,25.1576428907,25.3662757274,24.1144787073,24.5839025898,512535,0.0,1.0
2020-04-17,29.34,30.61,29.34,29.81,406077,25.5053642852,26.6093797127,25.5053642852,25.9139369237,406077,0.0,1.0
2020-04-20,29.01,29.83,28.57,29.13,396564,25.2184941347,25.9313229934,24.8360006008,25.3228105531,396564,0.0,1.0
2020-04-21,28.27,29.15,27.77,28.47,333133,24.5752095549,25.3401966228,24.1405578118,24.7490702522,333133,0.0,1.0
2020-04-22,29.38,29.69,28.61,29.25,323029,25.5401364246,25.8096205053,24.8707727403,25.4271269714,323029,0.0,1.0
2020-04-23,29.7,30.73,29.7,29.94,307135,25.8183135402,26.713696131,25.8183135402,26.0269463769,307135,0.0,1.0
2020-04-24,30.4,30.65,29.77,30.27,211003,26.4268259806,26.6441518521,25.8791647842,26.3138165273,211003,0.0,1.0
2020-04-27,30.62,32.46,30.51,32.15,368224,26.6180727475,28.2175911621,26.522449364,27.9481070814,368224,0.0,1.0
2020-04-28,33.0,33.95,32.55,32.96,270129,28.6870150447,29.5128533566,28.2958284759,28.6522429052,270129,0.0,1.0
2020-04-29,33.93,35.36,33.63,34.96,288143,29.4954672868,30.7385712721,29.234676241,30.3908498776,288143,0.0,1.0
2020-04-30,34.2,34.78,33.55,33.89,493822,29.7301792281,30.2343752501,29.1651319621,29.4606951474,493822,0.0,1.0
2020-05-01,31.38,32.9,31.36,31.84,482380,27.278743397,28.6000846961,27.2613573273,27.6786230007,482380,0.0,1.0
2020-05-04,30.8,31.87,30.65,31.43,309057,26.774547375,27.7047021053,26.6441518521,27.3222085713,309057,0.0,1.0
2020-05-05,32.14,32.76,31.38,31.4,259721,27.9394140465,28.478382208,27.278743397,27.2961294668,259721,0.0,1.0
2020-05-06,31.6,31.86,30.87,30.9,194558,27.469990164,27.6960090704,26.8353986191,26.8614777237,194558,0.0,1.0
2020-05-07,31.44,32.1,31.21,31.34,215856,27.3309016062,27.9046419071,27.1309618044,27.2439712576,215856,0.0,1.0
2020-05-08,31.89,32.52,31.89,32.49,481359,27.722088175,28.2697493713,27.722088175,28.2436702667,481359,0.0,1.0
2020-05-11,31.76,32.25,30.84,31.84,718594,27.6090787218,28.03503743,26.8093195145,27.6786230007,718594,0.0,1.0
2020-05-12,31.54,32.39,29.24,29.47,1279096,27.4178319548,28.1567399181,25.4184339366,25.6183737384,1279096,0.0,1.0
2020-05-13,29.26,29.26,28.0,28.17,507303,25.4358200063,25.4358200063,24.3404976137,24.4882792063,507303,0.0,1.0
2020-05-14,27.47,29.01,26.95,28.74,466719,23.879766766,25.2184941347,23.4277289532,24.9837821935,466719,0.0,1.0
2020-05-15,28.63,29.41,28.39,29.1,437581,24.88815881,25.5662155292,24.6795259733,25.2967314485,437581,0.0,1.0
2020-05-18,30.52,33.01,30.44,32.75,631306,26.5311423989,28.6957080795,26.46159812,28.4696891731,631306,0.0,1.0
2020-05-19,32.62,33.95,31.96,32.87,423770,28.3566797199,29.5128533566,27.782939419,28.5740055915,423770,0.0,1.0
2020-05-20,33.49,34.69,33.26,33.92,434727,29.1129737529,30.1561379364,28.9130339511,29.486774252,434727,0.0,1.0
2020-05-21,33.75,35.0,33.75,34.75,526816,29.3389926593,30.4256220171,29.3389926593,30.2082961455,526816,0.0,1.0
2020-05-22,34.77,35.03,33.66,34.26,293064,30.2256822153,30.4517011217,29.2607553456,29.7823374373,293064,0.0,1.0
2020-05-26,35.63,37.08,35.63,36.21,390096,30.9732832134,32.2337732684,30.9732832134,31.4774792354,390096,0.0,1.0
2020-05-27,37.12,38.34,36.93,37.72,643646,32.2685454078,33.329095661,32.1033777455,32.7901274996,643646,0.0,1.0
2020-05-28,37.9,37.9,36.4,36.53,597572,33.2622689966,33.2622689966,31.9458203556,32.0599125711,597572,0.35,1.0
2020-05-29,36.2,36.68,35.6,35.72,358060,31.7702938701,32.1915574352,31.2437144137,31.349030305,358060,0.0,1.0
2020-06-01,35.91,36.88,35.84,36.5,234720,31.5157804662,32.3670839207,31.4543461963,32.0335835983,234720,0.0,1.0
2020-06-02,36.82,37.99,36.82,37.52,402642,32.3144259751,33.3412559151,32.3144259751,32.9287686742,402642,0.0,1.0
2020-06-03,38.27,39.53,37.92,39.23,289188,33.5869929947,34.6928098532,33.2798216452,34.429520125,289188,0.0,1.0
2020-06-04,39.16,40.63,38.31,40.59,469369,34.3680858551,35.6582055233,33.6220982918,35.6231002262,469369,0.0,1.0
2020-06-05,42.26,43.66,41.04,41.19,524614,37.0887463799,38.3174317782,36.0180348185,36.1496796826,524614,0.0,1.0
2020-06-08,42.14,43.06,41.32,43.04,347142,36.9834304886,37.7908523217,36.2637718982,37.7732996732,347142,0.0,1.0
2020-06-09,42.25,42.9,41.99,42.13,667465,37.0799700556,37.6504311334,36.8517856245,36.9746541643,667465,0.0,1.0
2020-06-10,42.46,42.47,39.55,39.58,513013,37.2642728653,37.2730491896,34.7103625017,34.7366914746,513013,0.0,1.0
2020-06-11,37.68,37.89,35.05,35.19,379819,33.0691898626,33.2534926723,30.7610165787,30.8838851185,379819,0.0,1.0
2020-06-12,36.81,37.24,35.04,36.15,310757,32.3056496508,32.6830315946,30.7522402544,31.7264122488,310757,0.0,1.0
2020-06-15,34.81,37.71,34.81,36.84,472079,30.5503847961,33.0955188354,30.5503847961,32.3319786236,472079,0.0,1.0
2020-06-16,38.67,39.2,37.68,38.46,354450,33.9380459657,34.4031911522,33.0691898626,33.7537431559,354450,0.0,1.0
