date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,6.4,7.05,6.18,7.0,60942,5.7216863295,6.3027950974,5.525003362,6.2580944229,60942,0.0,1.0
2020-04-14,7.19,7.63,6.89,7.0,136531,6.4279569858,6.821322921,6.1597529391,6.2580944229,136531,0.0,1.0
2020-04-15,6.77,6.79,6.34,6.64,111398,6.0524713205,6.0703515902,5.6680455202,5.9362495669,111398,0.0,1.0
2020-04-16,6.83,7.15,6.72,6.93,55812,6.1061121298,6.3921964463,6.007770646,6.1955134787,55812,0.0,1.0
2020-04-17,6.76,7.05,6.73,6.88,6413,6.0435311856,6.3027950974,6.0167107809,6.1508128043,6413,0.0,1.0
2020-04-20,6.95,7.21,6.88,7.1,22188,6.2133937485,6.4458372556,6.1508128043,6.3474957718,22188,0.0,1.0
2020-04-21,6.72,7.2,6.72,7.1,14985,6.007770646,6.4368971207,6.007770646,6.3474957718,14985,0.0,1.0
2020-04-22,7.25,7.74,7.25,7.74,116045,6.4815977952,6.9196644048,6.4815977952,6.9196644048,116045,0.0,1.0
2020-04-23,7.85,8.44,7.85,8.33,161919,7.0180058886,7.5454738471,7.0180058886,7.4471323633,161919,0.0,1.0
2020-04-24,8.46,8.77,8.19,8.77,32383,7.5633541169,7.8404982984,7.3219704748,7.8404982984,32383,0.0,1.0
2020-04-27,8.78,8.78,8.37,8.41,39210,7.8494384333,7.8494384333,7.4828929028,7.5186534424,39210,0.0,1.0
2020-04-28,8.42,8.52,8.2,8.2,86181,7.5275935773,7.6169949262,7.3309106097,7.3309106097,86181,0.0,1.0
2020-04-29,8.25,8.33,8.09,8.33,23468,7.3756112842,7.4471323633,7.2325691259,7.4471323633,23468,0.0,1.0
2020-04-30,8.33,8.34,7.99,8.11,162122,7.4471323633,7.4560724982,7.143167777,7.2504493957,162122,0.0,1.0
2020-05-01,8.0,8.35,7.74,8.35,61429,7.1521079119,7.4650126331,6.9196644048,7.4650126331,61429,0.0,1.0
2020-05-04,8.66,8.9,8.36,8.85,33242,7.7421568147,7.956720052,7.473952768,7.9120193776,33242,0.0,1.0
2020-05-05,8.8,8.92,8.38,8.92,62008,7.8673187031,7.9746003218,7.4918330377,7.9746003218,62008,0.0,1.0
2020-05-06,8.74,8.9,8.72,8.9,18729,7.8136778938,7.956720052,7.795797624,7.956720052,18729,0.0,1.0
2020-05-07,9.0,9.07,8.86,9.04,28997,8.0461214009,8.1087023451,7.9209595125,8.0818819405,28997,0.0,1.0
2020-05-08,8.65,9.41,8.65,9.2,29256,7.7332166798,8.4126669314,7.7332166798,8.2249240987,29256,0.0,1.0
2020-05-11,9.02,9.3,8.71,8.91,41994,8.0640016707,8.3143254476,7.7868574891,7.9656601869,41994,0.0,1.0
2020-05-12,8.89,9.24,8.89,8.93,15381,7.9477799171,8.2606846383,7.9477799171,7.9835404567,15381,0.0,1.0
