date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,146.83,147.55,140.75,143.35,326658,24.4716666667,24.5916666667,23.4583333333,23.8916666667,1959948,0.0,1.0
2020-04-14,148.17,149.88,144.66,145.49,209139,24.695,24.98,24.11,24.2483333333,1254834,0.0,1.0
2020-04-15,140.46,142.84,137.58,138.93,451577,23.41,23.8066666667,22.93,23.155,2709462,0.0,1.0
2020-04-16,138.9,140.97,136.13,139.26,258095,23.15,23.495,22.6883333333,23.21,1548570,0.0,1.0
2020-04-17,144.54,149.18,143.28,145.65,365456,24.09,24.8633333333,23.88,24.275,2192736,0.0,1.0
2020-04-20,142.65,146.51,139.79,140.66,265618,23.775,24.4183333333,23.2983333333,23.4433333333,1593708,0.0,1.0
2020-04-21,136.56,138.36,131.75,131.97,372259,22.76,23.06,21.9583333333,21.995,2233554,0.0,1.0
2020-04-22,137.04,137.18,132.7,132.77,451658,22.84,22.8633333333,22.1166666667,22.1283333333,2709948,0.0,1.0
2020-04-23,132.53,137.11,130.64,132.75,354080,22.0883333333,22.8516666667,21.7733333333,22.125,2124480,0.0,1.0
2020-04-24,133.15,139.03,131.5,137.42,407609,22.1916666667,23.1716666667,21.9166666667,22.9033333333,2445654,0.0,1.0
2020-04-27,139.45,147.31,136.47,146.4,504223,23.2416666667,24.5516666667,22.745,24.4,3025338,0.0,1.0
2020-04-28,151.65,157.31,147.53,147.92,288202,25.275,26.2183333333,24.5883333333,24.6533333333,1729212,0.0,1.0
2020-04-29,154.83,159.1,150.01,155.58,296774,25.805,26.5166666667,25.0016666667,25.93,1780644,0.0,1.0
2020-04-30,152.49,153.17,148.0,148.76,335706,25.415,25.5283333333,24.6666666667,24.7933333333,2014236,0.0,1.0
2020-05-01,147.92,149.01,142.14,143.29,300368,24.6533333333,24.835,23.69,23.8816666667,1802208,0.0,1.0
2020-05-04,140.34,144.89,138.61,140.25,500279,23.39,24.1483333333,23.1016666667,23.375,3001674,0.0,1.0
2020-05-05,143.38,148.23,141.96,143.6,407230,23.8966666667,24.705,23.66,23.9333333333,2443380,0.0,1.0
2020-05-06,143.9,145.29,139.73,142.64,406484,23.9833333333,24.215,23.2883333333,23.7733333333,2438904,0.0,1.0
2020-05-07,144.98,148.73,144.22,144.56,250243,24.1633333333,24.7883333333,24.0366666667,24.0933333333,1501458,0.0,1.0
2020-05-08,147.94,150.38,145.1,149.18,220368,24.6566666667,25.0633333333,24.1833333333,24.8633333333,1322208,0.0,1.0
2020-05-11,147.33,147.97,143.0,147.35,439418,24.555,24.6616666667,23.8333333333,24.5583333333,2636508,0.0,1.0
2020-05-12,147.46,147.89,138.31,138.51,336801,24.5766666667,24.6483333333,23.0516666667,23.085,2020806,0.0,1.0
2020-05-13,137.0,138.17,130.76,135.47,449519,22.8333333333,23.0283333333,21.7933333333,22.5783333333,2697114,0.0,1.0
2020-05-14,132.14,139.72,128.92,139.52,377783,22.0233333333,23.2866666667,21.4866666667,23.2533333333,2266698,0.0,1.0
2020-05-15,138.48,141.76,135.5,140.83,340074,23.08,23.6266666667,22.5833333333,23.4716666667,2040444,0.0,1.0
2020-05-18,148.04,156.88,148.04,152.97,590116,24.6733333333,26.1466666667,24.6733333333,25.495,3540696,0.0,1.0
2020-05-19,152.3,156.64,150.59,154.51,447477,25.3833333333,26.1066666667,25.0983333333,25.7516666667,2684862,0.0,1.0
2020-05-20,156.62,164.23,156.62,162.51,588007,26.1033333333,27.3716666667,26.1033333333,27.085,3528042,0.0,1.0
2020-05-21,162.19,168.39,159.06,168.03,719810,27.0316666667,28.065,26.51,28.005,4318860,0.0,1.0
2020-05-22,178.82,189.61,170.0,179.24,1086938,29.8033333333,31.6016666667,28.3333333333,29.8733333333,6521628,0.0,1.0
2020-05-26,187.24,188.56,179.41,180.05,653571,31.2066666667,31.4266666667,29.9016666667,30.0083333333,3921426,0.0,1.0
2020-05-27,183.98,196.0,182.86,195.28,719646,30.6633333333,32.6666666667,30.4766666667,32.5466666667,4317876,0.0,1.0
2020-05-28,197.03,197.03,185.56,186.39,534868,32.8383333333,32.8383333333,30.9266666667,31.065,3209208,0.0,1.0
2020-05-29,184.63,186.57,181.31,182.53,524224,30.7716666667,31.095,30.2183333333,30.4216666667,3145344,0.0,1.0
2020-06-01,183.22,197.07,183.22,195.82,820464,30.5366666667,32.845,30.5366666667,32.6366666667,4922784,0.0,1.0
2020-06-02,196.81,204.1,195.51,203.97,782660,32.8016666667,34.0166666667,32.585,33.995,4695960,0.0,1.0
2020-06-03,208.34,214.04,205.44,212.58,750406,34.7233333333,35.6733333333,34.24,35.43,4502436,0.0,1.0
2020-06-04,212.27,213.04,200.01,204.0,710795,35.3783333333,35.5066666667,33.335,34.0,4264770,0.0,1.0
2020-06-05,213.46,218.19,204.18,205.06,730408,35.5766666667,36.365,34.03,34.1766666667,4382448,0.0,1.0
2020-06-08,205.48,206.43,199.33,200.45,475940,34.2466666667,34.405,33.2216666667,33.4083333333,2855640,0.0,1.0
2020-06-09,197.55,199.63,194.56,195.44,452314,32.925,33.2716666667,32.4266666667,32.5733333333,2713884,0.0,1.0
2020-06-10,196.06,202.24,193.73,198.15,446989,32.6766666667,33.7066666667,32.2883333333,33.025,2681934,0.0,1.0
2020-06-11,190.0,194.46,186.7,191.02,502994,31.6666666667,32.41,31.1166666667,31.8366666667,3017964,0.0,1.0
2020-06-12,198.25,198.55,189.71,196.09,406762,33.0416666667,33.0916666667,31.6183333333,32.6816666667,2440572,0.0,1.0
2020-06-15,190.42,193.7,186.79,193.1,374665,31.7366666667,32.2833333333,31.1316666667,32.1833333333,2247990,0.0,1.0
2020-06-16,200.94,200.94,189.91,196.88,345072,33.49,33.49,31.6516666667,32.8133333333,2070432,0.0,1.0
2020-06-17,198.22,199.95,193.68,198.39,481234,33.0366666667,33.325,32.28,33.065,2887404,0.0,1.0
2020-06-18,197.98,205.36,195.81,200.45,646893,32.9966666667,34.2266666667,32.635,33.4083333333,3881358,0.0,1.0
2020-06-19,203.01,206.07,194.27,196.01,590018,33.835,34.345,32.3783333333,32.6683333333,3540108,0.0,1.0
2020-06-22,196.01,201.19,194.09,200.73,296366,32.6683333333,33.5316666667,32.3483333333,33.455,1778196,0.0,1.0
2020-06-23,203.72,204.18,198.34,202.14,319477,33.9533333333,34.03,33.0566666667,33.69,1916862,0.0,1.0
2020-06-24,201.51,205.01,193.26,194.52,498110,33.585,34.1683333333,32.21,32.42,2988660,0.0,1.0
2020-06-25,192.67,196.88,191.44,193.06,299372,32.1116666667,32.8133333333,31.9066666667,32.1766666667,1796232,0.0,1.0
2020-06-26,191.38,192.56,184.63,186.11,441607,31.8966666667,32.0933333333,30.7716666667,31.0183333333,2649642,0.0,1.0
2020-06-29,187.87,196.64,186.33,194.67,370254,31.3116666667,32.7733333333,31.055,32.445,2221524,0.0,1.0
