date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,46.2,46.98,42.74,43.29,5757424,34.9622430187,35.5525146541,32.3438585848,32.7600757636,5757424,0.0,1.0
2020-04-14,42.85,43.48,41.77,42.23,5410682,32.4271020206,32.9038598799,31.6098028331,31.9579117463,5410682,0.0,1.0
2020-04-15,39.37,40.4,38.78,39.89,6250798,30.0736674857,30.860456348,29.6229826034,30.4708812803,6250798,0.375,1.0
2020-04-16,39.55,39.65,36.4,36.52,6622784,30.2111645684,30.2875518366,27.8049656205,27.8966303423,6622784,0.0,1.0
2020-04-17,37.55,42.13,37.49,41.84,10886147,28.6834192047,32.1819560877,28.6375868437,31.9604330099,10886147,0.0,1.0
2020-04-20,39.03,43.03,38.84,41.17,6679707,29.8139507738,32.8694415014,29.6688149643,31.4486383131,6679707,0.0,1.0
2020-04-21,39.27,41.64,39.27,40.5,6310412,29.9972802175,31.8076584736,29.9972802175,30.9368436162,6310412,0.0,1.0
2020-04-22,42.69,43.33,41.59,43.15,5273561,32.6097247895,33.0986033059,31.7694648395,32.9611062232,5273561,0.0,1.0
2020-04-23,45.25,46.12,44.08,44.22,7564340,34.5652388552,35.2298080884,33.6715078174,33.7784499928,7564340,0.0,1.0
2020-04-24,45.0,45.33,42.81,43.36,5192238,34.3742706847,34.6263486697,32.7013895114,33.1215194864,5192238,0.0,1.0
2020-04-27,42.86,45.08,42.05,44.54,4774495,32.7395831455,34.4353804992,32.1208462731,34.022889251,4774495,0.0,1.0
2020-04-28,46.04,46.81,44.5,44.98,4407507,35.1686982738,35.7568802389,33.9923343437,34.358993231,4407507,0.0,1.0
2020-04-29,47.2,47.9,45.47,47.72,6657060,36.0547905848,36.5895014621,34.7332908452,36.4520043794,6657060,0.0,1.0
2020-04-30,47.8,49.11,45.86,47.51,5447672,36.513114194,37.5137874072,35.0312011911,36.2915911162,5447672,0.0,1.0
2020-05-01,46.14,46.96,43.84,44.57,5699238,35.245085542,35.8714611412,33.4881783737,34.0458054315,5699238,0.0,1.0
2020-05-04,43.5,46.8,43.26,46.74,7707539,33.2284616619,35.7492415121,33.0451322182,35.7034091512,7707539,0.0,1.0
2020-05-05,48.5,49.2,45.7,46.05,7181448,37.0478250713,37.5825359486,34.908981562,35.1763370007,7181448,0.0,1.0
2020-05-06,46.14,47.08,45.6,45.84,3245914,35.245085542,35.963125863,34.8325942938,35.0159237375,3245914,0.0,1.0
2020-05-07,47.57,49.41,47.39,48.31,5864447,36.3374234771,37.7429492118,36.1999263944,36.9026892617,5864447,0.0,1.0
2020-05-08,49.3,51.51,48.46,51.45,7284188,37.6589232168,39.3470818437,37.017270164,39.3012494828,7284188,0.0,1.0
2020-05-11,50.74,51.97,49.5,49.84,5279080,38.7588998787,39.6984632774,37.8116977532,38.071414465,5279080,0.0,1.0
2020-05-12,50.01,50.54,48.71,49.72,5284818,38.2012728209,38.6061253423,37.2082383345,37.9797497432,5284818,0.0,1.0
2020-05-13,49.45,49.45,47.55,48.2,5767997,37.7735041191,37.7735041191,36.3221460235,36.8186632667,5767997,0.0,1.0
2020-05-14,47.14,48.96,45.91,47.56,5903755,36.0089582239,37.3992065049,35.0693948252,36.3297847503,5903755,0.0,1.0
2020-05-15,47.09,48.81,46.94,47.68,4004814,35.9707645898,37.2846256027,35.8561836875,36.4214494721,4004814,0.0,1.0
2020-05-18,50.5,52.68,50.01,52.44,6340605,38.575570435,40.2408128815,38.2012728209,40.0574834379,6340605,0.0,1.0
2020-05-19,52.29,52.77,50.58,50.66,3558570,39.9429025356,40.3095614229,38.6366802496,38.6977900641,3558570,0.0,1.0
