date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2023-01-04,54.13,60.71,53.5,60.49,33338528,53.8397557837,60.3844739262,53.2131338339,60.1656535628,33338528,0.0,1.0
2023-01-05,60.64,62.98,58.14,59.0,8850591,60.3148492651,62.6423022216,57.8282542262,58.6836429196,8850591,0.0,1.0
2023-01-06,59.68,59.94,57.87,58.95,5902804,59.3599967702,59.6186026542,57.559701962,58.6339110188,5902804,0.0,1.0
2023-01-09,58.79,59.98,57.73,58.1,5288931,58.4747689363,59.6583881749,57.4204526398,57.7884687056,5288931,0.0,1.0
2023-01-10,59.15,60.06,58.055,60.0,6662990,58.8328386219,59.7379592161,57.7437099949,59.6782809352,6662990,0.0,1.0
2023-01-11,60.44,66.38,60.075,64.99,9219390,60.115921662,66.0240714746,59.7528787863,64.6415246329,9219390,0.0,1.0
2023-01-12,66.09,66.52,63.66,65.65,5819815,65.7356264501,66.1633207968,63.3186560722,65.2979857232,5819815,0.0,1.0
2023-01-13,65.0,65.5,63.74,65.44,3772080,64.6514710131,65.1487900209,63.3982271135,65.08911174,3772080,0.0,1.0
2023-01-17,63.94,65.73,63.26,63.33,3774703,63.5971547166,65.3775567645,62.920800866,62.9904255271,3774703,0.0,1.0
2023-01-18,63.2,63.5,61.99,62.08,2610293,62.861122585,63.1595139897,61.6576105862,61.7471280076,2610293,0.0,1.0
2023-01-19,61.33,64.5,61.3,63.94,2585604,61.0011494959,64.1541520053,60.9713103554,63.5971547166,2585604,0.0,1.0
2023-01-20,63.96,67.82,63.54,66.77,4001585,63.6170474769,67.4563502171,63.1992995103,66.4119803007,4001585,0.0,1.0
2023-01-23,67.35,69.91,66.7784,69.52,3724076,66.9888703497,69.5351436696,66.42033526,69.1472348435,3724076,0.0,1.0
2023-01-24,69.03,70.63,68.71,69.6,2590993,68.6598622159,70.2512830408,68.3415780509,69.2268058848,2590993,0.0,1.0
2023-01-25,68.46,69.7,66.95,68.71,2802081,68.092918547,69.3262696864,66.5910151435,68.3415780509,2802081,0.0,1.0
2023-01-26,68.51,69.45,67.8,69.22,2075885,68.1426504478,69.0776101825,67.4364574567,68.8488434389,2075885,0.0,1.0
