date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,1209.18,1220.51,1187.598,1217.56,1739828,59.9640894416,60.5259521364,58.8938228325,60.3796595548,34796560,0.0,1.0
2020-04-14,1245.09,1282.07,1236.93,1269.23,2470353,61.744891681,63.5787559754,61.340231523,62.942011315,49407060,0.0,1.0
2020-04-15,1245.61,1280.46,1240.4,1262.47,1671703,61.7706788479,63.4989149393,61.5123112715,62.6067781449,33434060,0.0,1.0
2020-04-16,1274.1,1279.0,1242.62,1263.47,2518099,63.1835180515,63.4265125091,61.622402638,62.6563688506,50361980,0.0,1.0
2020-04-17,1284.85,1294.43,1271.23,1283.25,1949042,63.7166181371,64.1916970971,63.0411927263,63.6372730081,38980840,0.0,1.0
2020-04-20,1271.0,1281.6,1261.37,1266.61,1695488,63.029786864,63.5554483438,62.5522283687,62.8120836663,33909760,0.0,1.0
2020-04-21,1247.0,1254.27,1209.71,1216.34,2153003,61.8396099287,62.2001343587,59.9903725155,60.3191588939,43060060,0.0,1.0
2020-04-22,1245.54,1285.613,1242.0,1263.21,2093140,61.7672074985,63.7544558455,61.5916564005,62.6434752671,41862800,0.0,1.0
2020-04-23,1271.55,1293.31,1265.67,1276.31,1566203,63.0570617521,64.1361555068,62.765468403,63.2931135109,31324060,0.0,1.0
2020-04-24,1261.17,1280.4,1249.45,1279.31,1640394,62.5423102276,63.495939497,61.9611071575,63.4418856278,32807880,0.0,1.0
2020-04-27,1296.0,1296.15,1269.0,1275.88,1600563,64.2695545049,64.2769931108,62.9306054527,63.2717895075,32011260,0.0,1.0
2020-04-28,1287.93,1288.05,1232.2,1233.67,2951309,63.8693575104,63.8753083951,61.1056674853,61.1785658226,59026180,0.0,1.0
2020-04-29,1341.46,1359.99,1325.34,1341.48,3793630,66.5239479832,67.4428637586,65.7245458083,66.5249397973,75872600,0.0,1.0
2020-04-30,1324.88,1352.82,1322.49,1348.66,2668906,65.7017340837,67.0872983992,65.5832122972,66.8810010637,53378120,0.0,1.0
2020-05-01,1328.5,1352.07,1311.0,1320.61,2072639,65.8812524381,67.05010537,65.0134150895,65.4899817706,41452780,0.0,1.0
2020-05-04,1308.23,1327.66,1299.0,1326.8,1504017,64.8760488349,65.8395962454,64.4183266218,65.7969482385,30080340,0.0,1.0
2020-05-05,1337.92,1373.94,1337.46,1351.11,1651533,66.3483968852,68.1346541022,66.3255851606,67.0024982925,33030660,0.0,1.0
2020-05-06,1361.69,1371.12,1347.29,1347.3,1215423,67.5271679582,67.9948083123,66.813061797,66.8135577041,24308460,0.0,1.0
2020-05-07,1365.94,1377.6,1355.27,1372.56,1399759,67.7379284571,68.3161560849,67.208795628,68.0662189284,27995180,0.0,1.0
2020-05-08,1383.13,1398.76,1375.48,1388.37,1388068,68.590392687,69.3654954161,68.2110237889,68.8502479846,27761360,0.0,1.0
2020-05-11,1378.28,1416.53,1377.152,1403.26,1412116,68.3498777647,70.2467222553,68.2939394487,69.5886535915,28242320,0.0,1.0
2020-05-12,1407.12,1415.0,1374.77,1375.74,1390600,69.7800737152,70.1708484757,68.1758143879,68.2239173724,27812000,0.0,1.0
2020-05-13,1377.05,1385.482,1328.4,1349.33,1812585,68.2888811968,68.7070300267,65.8762933675,66.9142268365,36251700,0.0,1.0
2020-05-14,1335.02,1357.42,1323.91,1356.13,1603077,66.2045838389,67.3154156451,65.6536310992,67.2514436348,32061540,0.0,1.0
2020-05-15,1350.0,1374.48,1339.0,1373.19,1707747,66.9474526093,68.1614330833,66.4019548473,68.097461073,34154940,0.0,1.0
2020-05-18,1361.75,1392.325,1354.25,1383.94,1823964,67.5301434005,69.0463792254,67.1582131082,68.6305611586,36479280,0.0,1.0
2020-05-19,1386.997,1392.0,1373.485,1373.485,1280649,68.7821599457,69.030262246,68.1120903312,68.1120903312,25612980,0.0,1.0
2020-05-20,1389.58,1410.42,1387.25,1406.72,1655375,68.9102527384,69.9437230438,68.7947063942,69.760237433,33107500,0.0,1.0
2020-05-21,1408.0,1415.49,1393.45,1402.8,1378020,69.8237135362,70.1951479214,69.1021687692,69.5658418669,27560400,0.0,1.0
2020-05-22,1396.71,1412.76,1391.83,1410.42,1309408,69.2638344696,70.059765295,69.0218318261,69.9437230438,26188160,0.0,1.0
2020-05-26,1437.27,1441.0,1412.13,1417.02,2060643,71.2752334902,71.4602068222,70.0285231505,70.271021701,41212860,0.0,1.0
2020-05-27,1417.25,1421.74,1391.29,1417.84,1686142,70.2824275633,70.5050898317,68.995052845,70.3116860797,33722840,0.0,1.0
2020-05-28,1396.86,1440.84,1396.0,1416.73,1693976,69.2712730754,71.4522723093,69.2286250686,70.2566403964,33879520,0.0,1.0
2020-05-29,1416.94,1432.57,1413.35,1428.92,1838059,70.2670544446,71.0421571737,70.0890238114,70.8611510981,36761180,0.0,1.0
2020-06-01,1418.39,1437.96,1418.0,1431.82,1217140,70.3389609678,71.3094510771,70.3196205926,71.0049641445,24342800,0.0,1.0
2020-06-02,1430.55,1439.61,1418.83,1439.22,1278128,70.9419839483,71.3912757414,70.3607808782,71.3719353662,25562560,0.0,1.0
2020-06-03,1438.3,1446.552,1429.777,1436.38,1256186,71.326311917,71.7355344199,70.9036503329,71.2310977622,25123720,0.0,1.0
2020-06-04,1430.4,1438.96,1404.73,1412.18,1484272,70.9345453425,71.3590417827,69.6615519288,70.0310026858,29685440,0.0,1.0
2020-06-05,1413.17,1445.05,1406.0,1438.39,1735244,70.0800974843,71.66104918,69.7245321249,71.3307750805,34704880,0.0,1.0
2020-06-08,1422.34,1447.99,1422.34,1446.61,1404178,70.534844255,71.8068458546,70.534844255,71.7384106808,28083560,0.0,1.0
2020-06-09,1445.36,1468.0,1443.21,1456.16,1409249,71.6764222988,72.7991558744,71.5698022817,72.2120019197,28184980,0.0,1.0
2020-06-10,1459.54,1474.259,1456.27,1465.85,1525153,72.3796185047,73.109544101,72.2174568973,72.6925358573,30503060,0.0,1.0
2020-06-11,1442.48,1454.475,1402.0,1403.84,1991332,71.5336010666,72.1284415807,69.5261693024,69.6174162008,39826640,0.0,1.0
2020-06-12,1428.49,1437.0,1386.02,1413.18,1946367,70.8398270947,71.2618439997,68.7337098263,70.0805933914,38927340,0.0,1.0
2020-06-15,1390.8,1424.8,1387.92,1419.85,1506096,68.9707533993,70.6568373909,68.827932167,70.411363398,30121920,0.0,1.0
2020-06-16,1445.22,1455.02,1425.9,1442.72,1711614,71.6694796,72.1554685152,70.7113871671,71.5455028359,34232280,0.0,1.0
2020-06-17,1447.16,1460.0,1431.38,1451.12,1549615,71.7656855689,72.4024302293,70.983144234,71.9620647633,30992300,0.0,1.0
2020-06-18,1449.16,1451.41,1427.01,1435.96,1581916,71.8648669802,71.9764460679,70.7664328504,71.2102696658,31638320,0.0,1.0
2020-06-19,1444.0,1447.8,1421.35,1431.72,3157875,71.6089789391,71.7974236205,70.4857494565,71.0000050739,63157500,0.0,1.0
2020-06-22,1429.0,1452.75,1423.21,1451.86,1542440,70.8651183546,72.0428976134,70.5779881689,71.9987618854,30848800,0.0,1.0
2020-06-23,1455.64,1475.941,1445.24,1464.41,1429764,72.1862147527,73.1929556679,71.6704714141,72.6211252412,28595280,0.0,1.0
2020-06-24,1461.51,1475.42,1429.75,1431.97,1756022,72.4773121948,73.1671189102,70.9023113838,71.0124027503,35120440,0.0,1.0
2020-06-25,1429.9,1442.9,1420.0,1441.33,1230474,70.9097499896,71.5544291629,70.4188020038,71.4765717551,24609480,0.0,1.0
2020-06-26,1431.39,1433.45,1351.99,1359.9,4267698,70.983640141,71.0857969947,67.0461381135,67.4384005951,85353960,0.0,1.0
2020-06-29,1358.18,1395.6,1347.01,1394.97,1810180,67.3531045814,69.2087887863,66.7991763994,69.1775466418,36203600,0.0,1.0
2020-06-30,1390.44,1418.65,1383.96,1413.61,2042381,68.9529007452,70.3518545512,68.6315529727,70.1019173948,40847620,0.0,1.0
2020-07-01,1411.1,1443.0,1409.82,1438.04,1775613,69.9774447237,71.5593882335,69.9139686205,71.3134183335,35512260,0.0,1.0
2020-07-02,1446.94,1482.95,1446.42,1464.7,1859790,71.7547756137,73.5405369237,71.7289884468,72.6355065458,37195800,0.0,1.0
2020-07-06,1480.06,1506.59,1472.86,1495.7,1563997,73.3972197844,74.7128612049,73.0401667038,74.1728184205,31279940,0.0,1.0
2020-07-07,1490.0,1516.8,1483.55,1485.18,1458216,73.8901513984,75.2191823095,73.570291347,73.6511241972,29164320,0.0,1.0
2020-07-08,1494.32,1505.88,1485.63,1496.0,1249731,74.1043832468,74.6776518039,73.6734400148,74.1876956322,24994620,0.0,1.0
2020-07-09,1506.45,1522.72,1488.085,1510.99,1423322,74.7059185061,75.5127592868,73.7951851971,74.9310603097,28466440,0.0,1.0
2020-07-10,1506.15,1543.83,1496.54,1541.74,1857204,74.6910412944,76.5596190828,74.2144746133,76.455974508,37144080,0.0,1.0
2020-07-13,1550.0,1577.132,1505.243,1511.34,1846424,76.8655937366,78.2110887619,74.6460625244,74.9484170567,36928480,0.0,1.0
2020-07-14,1490.31,1522.95,1483.5,1520.58,1585021,73.9055245171,75.5241651491,73.5678118118,75.4066351768,31700420,0.0,1.0
2020-07-15,1523.13,1535.33,1498.0,1513.64,1761036,75.5330914761,76.1380980849,74.2868770435,75.0624756796,35220720,0.0,1.0
2020-07-16,1500.0,1518.69,1486.31,1518.0,1519346,74.3860584548,75.3129087431,73.7071616946,75.2786911562,30386920,0.0,1.0
2020-07-17,1521.62,1523.44,1498.42,1515.55,1457014,75.4582095106,75.5484645949,74.3077051399,75.1571939274,29140280,0.0,1.0
2020-07-20,1515.26,1570.29,1503.6,1565.72,1547136,75.1428126228,77.871789154,74.5645849951,77.6451596292,30942720,0.0,1.0
2020-07-21,1586.99,1586.99,1554.28,1558.42,1183101,78.6999539381,78.6999539381,77.0778419567,77.2831474781,23662020,0.0,1.0
2020-07-22,1560.5,1570.0,1546.1,1568.49,931985,77.3862961458,77.8574078493,76.6721899846,77.7825258838,18639700,0.0,1.0
