date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,85.68,88.24,85.68,88.01,1452276,85.68,88.24,85.68,88.01,1452276,0.0,1.0
2020-04-14,88.24,91.74,88.24,91.28,1937720,88.24,91.74,88.24,91.28,1937720,0.0,1.0
2020-04-15,89.22,91.79,88.93,90.95,1642214,89.22,91.79,88.93,90.95,1642214,0.0,1.0
2020-04-16,91.99,96.14,91.425,95.66,3501253,91.99,96.14,91.425,95.66,3501253,0.0,1.0
2020-04-17,97.8276,100.27,96.1556,100.0,3859345,97.8276,100.27,96.1556,100.0,3859345,0.0,1.0
2020-04-20,99.8,102.42,99.3,101.19,2422789,99.8,102.42,99.3,101.19,2422789,0.0,1.0
2020-04-21,99.5,100.75,97.9,99.46,2620919,99.5,100.75,97.9,99.46,2620919,0.0,1.0
2020-04-22,100.29,101.99,99.56,100.97,1612408,100.29,101.99,99.56,100.97,1612408,0.0,1.0
2020-04-23,101.41,104.2,100.545,101.9,1262702,101.41,104.2,100.545,101.9,1262702,0.0,1.0
2020-04-24,102.74,103.96,101.61,103.48,1535459,102.74,103.96,101.61,103.48,1535459,0.0,1.0
2020-04-27,104.0,104.81,102.4,102.98,1249723,104.0,104.81,102.4,102.98,1249723,0.0,1.0
2020-04-28,104.28,104.36,96.7,97.67,2779248,104.28,104.36,96.7,97.67,2779248,0.0,1.0
2020-04-29,98.14,98.94,95.18,95.96,1779975,98.14,98.94,95.18,95.96,1779975,0.0,1.0
2020-04-30,95.69,98.35,95.03,97.66,1564337,95.69,98.35,95.03,97.66,1564337,0.0,1.0
2020-05-01,97.25,98.21,96.2,97.3,1279344,97.25,98.21,96.2,97.3,1279344,0.0,1.0
2020-05-04,97.71,101.3777,97.71,100.99,1502148,97.71,101.3777,97.71,100.99,1502148,0.0,1.0
2020-05-05,99.35,100.52,97.01,98.82,1850059,99.35,100.52,97.01,98.82,1850059,0.0,1.0
2020-05-06,96.84,97.87,95.38,96.08,1556924,96.84,97.87,95.38,96.08,1556924,0.0,1.0
2020-05-07,97.16,97.82,95.6,96.47,1327838,97.16,97.82,95.6,96.47,1327838,0.0,1.0
2020-05-08,96.88,96.93,94.67,95.92,1198601,96.88,96.93,94.67,95.92,1198601,0.0,1.0
2020-05-11,96.09,99.65,95.66,99.33,1534449,96.09,99.65,95.66,99.33,1534449,0.0,1.0
2020-05-12,100.0,100.14,96.74,96.74,1618089,100.0,100.14,96.74,96.74,1618089,0.0,1.0
2020-05-13,96.98,98.66,95.33,96.45,1648886,96.98,98.66,95.33,96.45,1648886,0.0,1.0
2020-05-14,95.85,96.51,93.8608,94.83,1085544,95.85,96.51,93.8608,94.83,1085544,0.0,1.0
2020-05-15,94.09,96.15,93.22,96.12,1228817,94.09,96.15,93.22,96.12,1228817,0.0,1.0
2020-05-18,97.88,98.81,96.26,96.46,1160206,97.88,98.81,96.26,96.46,1160206,0.0,1.0
2020-05-19,97.33,97.48,94.36,94.92,961686,97.33,97.48,94.36,94.92,961686,0.0,1.0
2020-05-20,95.43,98.49,93.64,98.32,1765947,95.43,98.49,93.64,98.32,1765947,0.0,1.0
2020-05-21,98.49,98.925,96.9659,98.68,1447271,98.49,98.925,96.9659,98.68,1447271,0.0,1.0
2020-05-22,97.67,99.8,97.45,99.37,1320517,97.67,99.8,97.45,99.37,1320517,0.0,1.0
2020-05-26,100.3862,101.875,98.11,98.68,3190272,100.3862,101.875,98.11,98.68,3190272,0.0,1.0
2020-05-27,98.73,99.8094,96.62,98.22,2432560,98.73,99.8094,96.62,98.22,2432560,0.0,1.0
2020-05-28,98.36,102.98,98.02,100.55,1659512,98.36,102.98,98.02,100.55,1659512,0.0,1.0
2020-05-29,101.21,102.57,99.57,101.91,3134069,101.21,102.57,99.57,101.91,3134069,0.0,1.0
2020-06-01,101.7,102.58,100.52,101.75,1345205,101.7,102.58,100.52,101.75,1345205,0.0,1.0
2020-06-02,101.12,102.17,99.17,100.9,1902041,101.12,102.17,99.17,100.9,1902041,0.0,1.0
2020-06-03,100.81,100.81,97.55,98.83,1630398,100.81,100.81,97.55,98.83,1630398,0.0,1.0
2020-06-04,98.19,99.345,93.48,93.8,1528729,98.19,99.345,93.48,93.8,1528729,0.0,1.0
2020-06-05,93.17,96.32,90.17,93.51,1599685,93.17,96.32,90.17,93.51,1599685,0.0,1.0
