date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,81.82,82.47,79.83,80.54,7348940,64.6406399399,65.1541625012,63.0684708678,63.6293955116,7701689,0.0,1.0
2020-04-14,82.33,83.2,80.73,82.84,11590464,65.0435576418,65.7308878392,63.7795021065,65.4464753437,12146806,0.0,1.0
2020-04-15,81.23,82.96,80.56,82.07,10312632,64.1745194613,65.5412795089,63.6451962058,64.8381486173,10807638,0.0,1.0
2020-04-16,82.65,83.33,82.26,83.0,8715648,65.2963687489,65.8335923514,64.9882552122,65.5728808973,9133999,0.0,1.0
2020-04-17,83.95,84.16,82.44,83.46,14725813,66.3234138714,66.4893211604,65.1304614599,65.9362968637,15432652,0.0,1.0
2020-04-20,82.82,84.13,80.76,83.1,11140487,65.4306746495,66.4656201191,63.8032031477,65.6518843682,11675230,0.0,1.0
2020-04-21,81.62,82.3,78.21,78.56,17055178,64.482632998,65.0198566005,61.7886146383,62.0651267866,17873826,0.0,1.0
2020-04-22,79.2,80.65,78.83,79.98,11386870,62.5707490008,63.7162993297,62.2784361582,63.1869760743,11933439,0.0,1.0
2020-04-23,80.19,81.88,80.17,80.88,7778327,63.3528833633,64.6880420225,63.3370826691,63.8980073129,8151686,0.0,1.0
2020-04-24,81.6,82.1,81.02,81.43,7334311,64.4668323038,64.8618496586,64.0086121722,64.3325264032,7686357,0.0,1.0
2020-04-27,81.23,84.67,80.83,83.98,12195710,64.1745194613,66.8922388623,63.8585055774,66.3471149127,12781104,0.0,1.0
2020-04-28,81.18,82.23,80.17,81.18,19342011,64.1350177258,64.9645541709,63.3370826691,64.1350177258,20270427,0.0,1.0
2020-04-29,82.19,82.19,79.03,80.77,13054902,64.9329527825,64.9329527825,62.4364431001,63.8111034948,13681537,0.0,1.0
2020-04-30,79.82,80.4,79.14,79.34,11101384,63.0605705207,63.5187906523,62.5233469182,62.6813538601,11634250,0.0,1.0
2020-05-01,78.86,78.86,76.93,77.67,9082596,62.3021371995,62.3021371995,60.77737021,61.3619958951,9518560,0.0,1.0
2020-05-04,78.02,78.03,76.22,76.86,8444853,61.6385080434,61.6464083905,60.2164455661,60.7220677803,8850205,0.0,1.0
2020-05-05,77.25,78.8,76.77,78.01,7060457,61.030181317,62.2547351169,60.6509646564,61.6306076963,7399358,0.0,1.0
2020-05-06,78.35,78.64,77.08,77.12,11845289,61.8992194976,62.1283295634,60.8958754164,60.9274768048,12413862,0.0,1.0
2020-05-07,77.0,77.12,75.43,75.6,12025094,60.8326726396,60.9274768048,59.5923181455,59.7266240462,12602298,0.0,1.0
2020-05-08,76.5,76.96,75.97,76.4,8389026,60.4376552848,60.8010712512,60.0189368887,60.3586518139,8791699,0.0,1.0
2020-05-11,76.03,78.07,75.92,77.91,10134455,60.0663389713,61.6780097789,59.9794351533,61.5516042254,10620908,0.0,1.0
2020-05-12,78.15,78.7,77.12,77.19,9104590,61.7412125557,62.175731646,60.9274768048,60.9827792345,9541610,0.0,1.0
2020-05-13,76.66,78.8,76.58,77.89,10428878,60.5640608384,62.2547351169,60.5008580616,61.5358035312,10929464,0.0,1.0
2020-05-14,77.28,80.13,77.26,80.05,10883086,61.0538823583,63.3054812807,61.0380816641,63.2422785039,11405474,0.0,1.0
2020-05-15,80.11,80.55,78.83,79.78,8937027,63.2896805865,63.6372958587,62.2784361582,63.0289691323,9366004,0.0,1.0
2020-05-18,81.0,81.0,79.23,79.72,11977378,63.9928114781,63.9928114781,62.594450042,62.9815670498,12552292,0.0,1.0
2020-05-19,79.47,79.73,77.35,77.55,10106292,62.7840583724,62.9894673969,61.109184788,61.2671917299,10591394,0.0,1.0
2020-05-20,78.03,78.24,76.68,76.89,10519413,61.6464083905,61.8123156795,60.5798615326,60.7457688216,11024344,0.0,1.0
2020-05-21,76.76,77.03,76.27,76.55,8586456,60.6430643093,60.8563736809,60.2559473016,60.4771570203,8998605,0.0,1.0
2020-05-22,76.17,76.66,76.07,76.37,6064231,60.1769438307,60.5640608384,60.0979403597,60.3349507726,6355314,0.0,1.0
