date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,164.35,165.57,162.3,165.51,41905264,156.1042951362,157.2630857664,154.1571469462,157.2060960632,41905264,0.0,1.0
2020-04-14,169.0,173.75,168.0,173.7,52874338,160.5209971282,165.0326819587,159.5711687428,164.9851905394,52874338,0.0,1.0
2020-04-15,171.2,173.57,169.24,171.88,40940833,162.610619576,164.8617128493,160.7489559407,163.2565028781,40940833,0.0,1.0
2020-04-16,174.3,177.28,172.9,177.04,50479610,165.5550875707,168.3855761591,164.2253278311,168.1576173466,50479610,0.0,1.0
2020-04-17,179.5,180.0,175.87,178.6,52765625,170.4941951746,170.9691093673,167.0463181357,169.6393496278,52765625,0.0,1.0
2020-04-20,176.63,178.75,174.99,175.06,36669595,167.7681877086,169.7818238856,166.2104691566,166.2769571436,36669595,0.0,1.0
2020-04-21,173.5,173.67,166.11,167.82,56203749,164.7952248624,164.9566956879,157.7759930945,159.4001996334,56203749,0.0,1.0
2020-04-22,171.39,174.0,170.82,173.52,34651604,162.7910869692,165.2701390551,162.2496847896,164.8142214301,34651604,0.0,1.0
2020-04-23,174.11,175.06,170.91,171.42,32790804,165.3746201774,166.2769571436,162.3351693443,162.8195818208,32790804,0.0,1.0
2020-04-24,172.06,174.56,170.71,174.55,34305320,163.4274719874,165.8020429509,162.1452036672,165.792544667,34305320,0.0,1.0
2020-04-27,176.59,176.9,173.3,174.05,33194384,167.7301945732,168.0246413726,164.6052591853,165.3176304743,33194384,0.0,1.0
2020-04-28,175.59,175.67,169.39,169.81,34392694,166.7803661878,166.8563524586,160.8914301985,161.2903581203,34392694,0.0,1.0
2020-04-29,173.22,177.68,171.88,177.43,51286559,164.5292729145,168.7655075132,163.2565028781,168.5280504169,51286559,0.0,1.0
2020-04-30,180.0,180.4,176.23,179.21,53875857,170.9691093673,171.3490407214,167.3882563544,170.2187449429,53875857,0.0,1.0
2020-05-01,175.8,178.64,174.01,174.57,39370474,166.9798301487,169.6773427632,165.2796373389,165.8115412347,39370474,0.0,1.0
2020-05-04,174.49,179.0,173.8,178.84,30372862,165.7355549639,170.0192809819,165.080173378,169.8673084403,30372862,0.0,1.0
2020-05-05,180.62,183.65,179.9,180.76,36839168,171.5580029662,174.4359829739,170.8741265288,171.6909789402,36839168,0.0,1.0
2020-05-06,182.08,184.2,181.63,182.54,32139299,172.9447524089,174.9583885859,172.5173296355,173.3816734662,32139299,0.0,1.0
2020-05-07,184.17,184.55,182.58,183.6,28315992,174.9298937343,175.2908285208,173.4196666016,174.3884915546,28315992,0.0,1.0
2020-05-08,184.98,185.0,183.36,184.68,30912638,175.6992547265,175.7182512942,174.1605327422,175.4143062108,30912638,0.0,1.0
2020-05-11,183.15,187.51,182.85,186.74,30892660,173.9610687812,178.1023205415,173.6761202656,177.3709526847,30892660,0.0,1.0
2020-05-12,186.8,187.04,182.3,182.51,32038199,177.4279423878,177.6559012003,173.1537146537,173.3531786146,32038199,0.0,1.0
2020-05-13,182.55,184.05,176.54,179.75,44711488,173.39117175,174.8159143281,167.6827031539,170.731652271,44711488,0.0,1.0
