date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,52.7,53.14,52.4,52.97,12693965,48.455264828,48.8598249138,48.1794284058,48.7035176079,12693965,0.0,1.0
2020-04-14,53.71,54.1,53.45,54.0,11674548,49.3839141159,49.7425014648,49.1448558834,49.6505559907,11674548,0.0,1.0
2020-04-15,53.21,53.45,52.81,53.16,10398060,48.9241867457,49.1448558834,48.5564048494,48.8782140086,10398060,0.0,1.0
2020-04-16,53.15,53.87,53.07,53.7,14092974,48.8690194612,49.5310268744,48.795463082,49.3747195685,14092974,0.0,1.0
2020-04-17,54.52,54.72,53.97,54.62,13608825,50.1286724558,50.3125634039,49.6229723485,50.2206179299,13608825,0.0,1.0
2020-04-20,54.05,54.58,53.8,53.91,10355660,49.6965287277,50.1838397402,49.4666650426,49.5678050641,10355660,0.0,1.0
2020-04-21,53.23,53.34,51.12,51.31,14050157,48.9425758405,49.0437158619,47.0025263379,47.1772227386,14050157,0.0,1.0
2020-04-22,52.03,52.58,51.77,52.27,9668271,47.8392301518,48.3449302591,47.6001719192,48.0598992895,9668271,0.0,1.0
2020-04-23,52.23,52.99,51.45,51.97,10329953,48.0231210999,48.7219067027,47.3059464023,47.7840628673,10329953,0.0,1.0
2020-04-24,52.41,53.05,51.96,53.01,9403459,48.1886229532,48.7770739872,47.7748683199,48.7402957975,9403459,0.0,1.0
2020-04-27,53.36,53.64,53.06,53.37,9123193,49.0621049567,49.3195522841,48.7862685346,49.0712995041,9123193,0.0,1.0
2020-04-28,53.9,54.15,53.13,53.2,8348779,49.5586105166,49.7884742018,48.8506303664,48.9149921982,8348779,0.0,1.0
2020-04-29,53.95,54.28,53.69,53.88,9064071,49.6045832537,49.9080033181,49.3655250211,49.5402214218,9064071,0.0,1.0
2020-04-30,53.47,53.6,52.8,52.97,11807068,49.1632449782,49.2827740945,48.547210302,48.7035176079,11807068,0.0,1.0
2020-05-01,52.38,52.44,51.31,51.79,8702441,48.161039311,48.2162065954,47.1772227386,47.618561014,8702441,0.0,1.0
2020-05-04,51.71,51.79,51.1,51.75,7567842,47.5450046348,47.618561014,46.9841372431,47.5817828244,7567842,0.0,1.0
2020-05-05,52.22,52.86,51.99,52.05,7271773,48.0139265525,48.6023775865,47.8024519622,47.8576192466,7271773,0.0,1.0
2020-05-06,52.43,52.5,51.7,51.86,7049227,48.207012048,48.2713738799,47.5358100874,47.6829228459,7049227,0.0,1.0
2020-05-07,52.4,52.92,52.27,52.6,7154669,48.1794284058,48.6575448709,48.0598992895,48.3633193539,7154669,0.0,1.0
2020-05-08,53.19,53.78,52.77,53.57,8130824,48.9057976508,49.4482759478,48.5196266598,49.2551904523,8130824,0.0,1.0
2020-05-11,53.13,53.83,53.06,53.53,8138642,48.8506303664,49.4942486848,48.7862685346,49.2184122626,8138642,0.0,1.0
