date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,75.58,76.52,72.49,73.37,354667,37.3549799016,37.8195694902,35.8277651901,36.2627001241,709334,0.0,1.0
2020-04-14,74.97,78.57,74.57,78.06,435804,37.0534909132,38.8327701888,36.855793216,38.5807056248,871608,0.0,1.0
2020-04-15,75.41,76.82,73.52,74.4,714295,37.2709583803,37.9678427632,36.3368367606,36.7717716946,1428590,0.0,1.0
2020-04-16,75.26,77.7,74.85,77.21,307931,37.1968217438,38.4027776972,36.9941816041,38.160598018,615862,0.0,1.0
2020-04-17,79.17,79.91,77.79,78.87,273019,39.1293167347,39.4950574747,38.4472596791,38.9810434618,546038,0.0,1.0
2020-04-20,77.95,78.92,77.19,77.31,255238,38.526338758,39.0057556739,38.1507131332,38.2100224424,510476,0.0,1.0
2020-04-21,76.44,76.44,72.67,73.84,264532,37.7800299508,37.7800299508,35.9167291539,36.4949949184,529064,0.0,1.0
2020-04-22,75.9,77.04,74.79,76.34,217583,37.5131380594,38.0765764967,36.9645269495,37.7306055264,435166,0.0,1.0
2020-04-23,76.83,77.86,76.02,76.2,380710,37.9727852056,38.4818567761,37.5724473686,37.6614113324,761420,0.0,1.0
2020-04-24,76.71,78.09,75.31,76.78,494496,37.9134758964,38.5955329521,37.2215339559,37.9480729935,988992,0.0,1.0
2020-04-27,77.67,79.01,76.35,78.16,428536,38.3879503699,39.0502376558,37.7355479689,38.6301300491,857072,0.0,1.0
2020-04-28,79.3,79.97,77.54,77.64,258594,39.1935684863,39.5247121293,38.3236986183,38.3731230426,517188,0.0,1.0
2020-04-29,79.45,83.68,77.86,82.72,563610,39.2677051228,41.3583582716,38.4818567761,40.8838837981,1127220,0.0,1.0
2020-04-30,85.55,85.55,80.2,83.62,1463099,42.2825950064,42.2825950064,39.6383883052,41.328703617,2926198,0.0,1.0
2020-05-01,80.36,81.26,78.21,79.55,612878,39.7174673841,40.162287203,38.6548422612,39.3171295471,1225756,0.0,1.0
2020-05-04,79.39,81.64,78.02,81.44,351668,39.2380504682,40.3501000154,38.560935855,40.2512511668,703336,0.0,1.0
