date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,104.85,106.29,102.34,105.98,7716160,104.2940407451,105.7264052532,101.7973498317,105.418049005,7716160,0.0,1.0
2020-04-14,109.0,110.98,107.93,109.785,8417858,108.4220356816,110.3915368803,107.3577092763,109.2028732781,8417858,0.0,1.0
2020-04-15,107.46,109.09,106.42,107.95,7821377,106.890201416,108.5115584634,105.855715938,107.3776032278,7821377,0.0,1.0
2020-04-16,109.5,109.525,106.57,108.31,9575624,108.9193844692,108.9442519085,106.0049205742,107.7356943548,9575624,0.0,1.0
2020-04-17,110.3,112.12,110.054,111.85,11069777,109.7151425292,111.5254921158,109.4704469258,111.2569237706,11069777,0.0,1.0
2020-04-20,110.9,114.3,110.025,112.17,10730723,110.3119610743,113.6939328295,109.4416006961,111.5752269946,10730723,0.0,1.0
2020-04-21,111.12,112.85,107.41,107.54,11736608,110.5307945408,112.2516213456,106.8404665373,106.969777222,11736608,0.0,1.0
2020-04-22,110.29,116.0,109.91,115.19,12879850,109.7051955535,115.3849187071,109.3272104749,114.5792136713,12879850,0.0,1.0
2020-04-23,115.94,118.385,115.0,115.24,7563183,115.3252368526,117.7572724236,114.390221132,114.62894855,7563183,0.0,1.0
2020-04-24,115.47,120.47,115.4,120.18,10680406,114.8577289923,119.8312168676,114.788100162,119.5427545708,10680406,0.0,1.0
2020-04-27,121.25,122.387,120.055,120.53,6678219,120.6070809761,121.738052119,119.4184173739,119.8908987221,6678219,0.0,1.0
2020-04-28,121.66,122.0,115.903,116.14,9192284,121.0149069819,121.3531041574,115.2884330423,115.5241763676,9192284,0.0,1.0
2020-04-29,119.3,124.03,118.645,123.58,9891526,118.6674207048,123.3723402348,118.0158937931,122.924726326,9891526,0.0,1.0
2020-04-30,121.35,123.45,120.62,123.0,7569776,120.7065507336,122.7954156413,119.9804215038,122.3478017325,7569776,0.0,1.0
2020-05-01,119.85,122.7,119.43,120.61,5613832,119.214504371,122.04939246,118.7967313895,119.9704745281,5613832,0.0,1.0
2020-05-04,121.26,124.18,120.31,123.66,7674351,120.6170279519,123.5215448711,119.6720652556,123.004302132,7674351,0.0,1.0
2020-05-05,124.94,127.94,124.85,125.43,9241882,124.2775150281,127.2616077533,124.1879922464,124.7649168399,9241882,0.0,1.0
2020-05-06,127.05,129.59,126.12,128.31,14031243,126.3763269115,128.9028587521,125.4512581667,127.6296458561,14031243,0.0,1.0
2020-05-07,139.92,147.2,139.28,146.29,35487924,139.1780847025,146.419483049,138.5414782545,145.5143082557,35487924,0.0,1.0
2020-05-08,143.25,146.4,142.11,144.96,13169422,142.4904276275,145.6237249889,141.3564723919,144.1913604808,13169422,0.0,1.0
2020-05-11,142.96,145.27,142.18,143.96,10273368,142.2019653307,144.4997167291,141.4261012222,143.1966629058,10273368,0.0,1.0
2020-05-12,144.0,145.65,140.91,141.03,9757599,143.2364508088,144.8777018076,140.1628353018,140.2821990108,9757599,0.0,1.0
2020-05-13,140.2,145.1,139.61,143.73,11142641,139.4566000235,144.3306181413,138.8697284543,142.9678824635,11142641,0.0,1.0
