date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,163.85,164.85,159.79,161.26,258845,156.3564136398,157.3106792098,152.4820954257,153.8848658136,258845,0.0,1.0
2020-04-14,164.51,166.96,160.78,164.03,373274,156.986228916,159.3241795624,153.42681834,156.5281814424,373274,0.0,1.0
2020-04-15,160.2,161.77,158.13,159.1,379380,152.8733443094,154.3715412543,150.8980145796,151.8236521824,379380,0.0,1.0
2020-04-16,158.73,159.36,154.45,156.57,326264,151.4705739216,152.0717612306,147.3863172821,149.4093602904,326264,0.0,1.0
2020-04-17,161.29,161.29,155.26,157.29,342767,153.9134937807,153.9134937807,148.1592723938,150.0964315008,342767,0.0,1.0
2020-04-20,155.18,155.96,151.85,153.46,253054,148.0829311482,148.8272582927,144.9052268001,146.4415943678,253054,0.0,1.0
2020-04-21,150.52,152.02,147.61,148.34,390853,143.6360535921,145.067451947,140.8591407835,141.5557546496,390853,0.0,1.0
2020-04-22,151.54,151.77,146.49,148.49,317664,144.6094044735,144.8288855546,139.7903633451,141.698894485,317664,0.0,1.0
2020-04-23,150.18,150.18,144.36,144.39,388226,143.3116032983,143.3116032983,137.7577776811,137.7864056482,388226,0.0,1.0
2020-04-24,146.61,146.61,139.75,141.13,498850,139.9048752135,139.9048752135,133.3586134035,134.6754998901,498850,0.0,1.0
2020-04-27,142.2,149.72,142.2,148.65,309893,135.6965640499,142.8726411361,135.6965640499,141.8515769762,309893,0.0,1.0
2020-04-28,152.48,154.27,148.62,149.13,349631,145.5064141092,147.2145494795,141.8229490091,142.3096244498,349631,0.0,1.0
2020-04-29,152.69,153.87,150.41,151.7,173207,145.7068098789,146.8328432515,143.5310843794,144.7620869647,173207,0.0,1.0
2020-04-30,149.97,149.97,146.01,146.01,308006,143.1112075286,143.1112075286,139.3323158715,139.3323158715,308006,0.0,1.0
2020-05-01,142.56,144.5,140.16,140.92,214034,136.0400996551,137.8913748609,133.7498622872,134.4751041204,214034,0.0,1.0
2020-05-04,140.03,142.54,137.9,141.97,266164,133.6258077631,136.0210143437,131.593222099,135.4770829688,266164,0.0,1.0
2020-05-05,142.2,146.63,142.01,144.49,313082,135.6965640499,139.9239605249,135.5152535916,137.8818322052,313082,0.0,1.0
