date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,98.58,100.25,98.19,98.42,3355060,77.3613272067,78.6718710942,77.0552720473,77.2357661157,3355060,0.0,1.0
2020-04-14,100.56,101.83,99.56,101.4,4092457,78.9151457081,79.9117868681,78.1303888892,79.574341436,4092457,0.0,1.0
2020-04-15,99.94,99.98,97.94,99.92,3718348,78.4285964804,78.4599867531,76.8590828426,78.412901344,3718348,0.0,1.0
2020-04-16,100.18,102.49,99.6,102.22,4291490,78.6169381169,80.4297263686,78.161779162,80.2178420275,4291490,0.0,1.0
2020-04-17,102.16,103.75,99.83,102.75,5849725,80.1707566183,81.4185199604,78.3422732303,80.6337631415,5849725,0.0,1.0
2020-04-20,101.74,103.0,101.05,101.2,4359474,79.8411587544,80.8299523462,79.2996765494,79.4173900722,4359474,0.0,1.0
2020-04-21,100.36,102.11,100.25,100.62,3792944,78.7581943443,80.1315187774,78.6718710942,78.9622311172,3792944,0.0,1.0
2020-04-22,101.5,101.77,97.38,97.61,5098430,79.6528171179,79.864701459,76.419619024,76.6001130924,5098430,0.0,1.0
2020-04-23,98.36,100.24,98.06,99.45,4060350,77.1886807065,78.6640235261,76.9532536609,78.0440656391,4060350,0.0,1.0
2020-04-24,100.19,100.45,98.59,100.18,2792392,78.6247856851,78.828822458,77.3691747749,78.6169381169,2792392,0.0,1.0
2020-04-27,101.0,103.49,99.8,102.55,4357898,79.2604387084,81.2144831875,78.3187305257,80.4768117777,4357898,0.0,1.0
2020-04-28,99.25,99.32,96.18,96.43,10386219,77.8871142754,77.9420472527,75.4779108413,75.6741000461,10386219,0.0,1.0
2020-04-29,96.1,97.15,94.11,96.11,9970347,75.4151302958,76.2391249557,73.8534642262,75.422977864,9970347,0.0,1.0
2020-04-30,95.6,95.74,92.82,94.66,6258715,75.0227518864,75.132617841,72.8411279299,74.2850804766,6258715,0.0,1.0
2020-05-01,93.23,93.71,91.25,91.9,5414482,73.1628782256,73.5395614987,71.6090597242,72.1191516565,5414482,0.0,1.0
2020-05-04,91.61,91.8,89.6,90.44,4779722,71.891572179,72.0406759746,70.314210973,70.9734067009,4779722,0.0,1.0
2020-05-05,91.53,93.85,91.4,92.71,5000891,71.8287916335,73.6494274533,71.726773247,72.7548046798,5000891,0.0,1.0
2020-05-06,93.14,94.43,92.7,92.93,3627656,73.0922501119,74.1045864083,72.7469571116,72.9274511799,3627656,0.0,1.0
2020-05-07,93.99,94.27,92.45,92.83,3309750,73.759293408,73.9790253173,72.5507679069,72.848975498,3309750,0.0,1.0
2020-05-08,93.54,94.98,93.31,94.83,3417514,73.4061528395,74.5362026587,73.2256587711,74.4184891358,3417514,0.0,1.0
2020-05-11,94.21,94.86,93.1,93.91,3117095,73.9319399081,74.4420318404,73.0608598391,73.6965128625,3117095,0.0,1.0
2020-05-12,94.76,95.16,92.83,92.85,3503360,74.3635561585,74.6774588861,72.848975498,72.8646706344,3503360,0.0,1.0
