date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,51.49,51.49,47.82,49.87,422971,51.0331279222,51.0331279222,47.3956919254,49.4275022234,422971,0.0,1.0
2020-04-14,52.26,53.56,50.75,52.83,465401,51.7962956926,53.0847607596,50.299693961,52.3612380682,465401,0.0,1.0
2020-04-15,49.43,50.02,47.64,48.13,336185,48.9914063545,49.5761712695,47.21728907,47.7029412875,336185,0.0,1.0
2020-04-16,48.06,48.74,46.27,48.02,425250,47.6335623993,48.3075287421,45.8594451148,47.5939173203,425250,0.0,1.0
2020-04-17,50.94,52.13,50.44,51.43,349152,50.4880080862,51.667449186,49.9924445989,50.9736603037,349152,0.0,1.0
2020-04-20,49.53,49.89,48.17,48.65,340638,49.090519052,49.4473247628,47.7425863665,48.2183273143,340638,0.0,1.0
2020-04-21,46.78,48.09,46.68,47.17,243951,46.3649198718,47.6632962086,46.2658071744,46.7514593919,243951,0.0,1.0
2020-04-22,47.95,48.63,46.33,47.14,217068,47.5245384321,48.1985047748,45.9189127333,46.7217255827,217068,0.0,1.0
2020-04-23,46.83,50.18,46.32,48.58,214903,46.4144762206,49.7347515855,45.9090014635,48.1489484261,214903,0.0,1.0
2020-04-24,49.41,51.45,49.23,51.0,187402,48.971583815,50.9934828432,48.7931809596,50.5474757047,187402,0.0,1.0
2020-04-27,51.2,54.37,50.83,53.86,201230,50.7457010996,53.8875736091,50.378984119,53.382098852,201230,0.0,1.0
2020-04-28,56.45,57.37,53.76,53.83,419951,55.9491177162,56.8609545329,53.2829861546,53.3523650428,419951,0.0,1.0
2020-04-29,56.15,60.06,55.5,59.19,549049,55.6517796238,59.5270860945,55.0075470904,58.6648056266,549049,0.0,1.0
2020-04-30,57.42,63.81,55.8,60.3,651183,56.9105108816,63.2438122493,55.3048851827,59.7649565684,651183,0.0,1.0
2020-05-01,59.08,61.01,57.11,60.27,453626,58.5557816594,60.4686567204,56.6032615195,59.7352227592,453626,0.0,1.0
2020-05-04,59.73,61.51,58.7,59.45,406007,59.2000141929,60.9642202077,58.1791534091,58.92249864,406007,0.0,1.0
2020-05-05,60.31,62.81,59.22,59.41,377408,59.7748678382,62.2526852747,58.6945394359,58.882853561,377408,0.0,1.0
2020-05-06,60.57,61.83,59.65,59.72,222013,60.0325608516,61.2813808396,59.120724035,59.1901029232,222013,0.0,1.0
2020-05-07,60.17,61.46,58.7,59.02,220595,59.6361100617,60.914663859,58.1791534091,58.496314041,220595,0.0,1.0
2020-05-08,61.04,62.4,59.8,62.35,446574,60.4983905296,61.8463232151,59.2693930811,61.7967668664,446574,0.0,1.0
2020-05-11,61.33,64.18,60.0,62.99,454039,60.7858173523,63.6105292299,59.4676184761,62.4310881301,454039,0.0,1.0
2020-05-12,63.32,64.2,61.86,62.56,465004,62.7581600317,63.6303517694,61.3111146488,62.004903531,465004,0.0,1.0
2020-05-13,61.61,61.68,56.1,57.17,319904,61.0633329052,61.1327117934,55.6022232751,56.6627291379,319904,0.0,1.0
2020-05-14,55.66,62.39,54.61,62.32,634403,55.1661274063,61.8364119454,54.125444083,61.7670330571,634403,0.0,1.0
2020-05-15,62.27,65.88,60.93,65.62,367435,61.7174767084,65.2954450867,60.3893665624,65.0377520733,367435,0.0,1.0
2020-05-18,68.86,71.79,68.33,69.48,418621,68.249003471,71.1530055066,67.7237061745,68.8635021953,418621,0.0,1.0
2020-05-19,69.13,71.6,68.61,69.19,188706,68.5166077542,70.9646913814,68.0012217274,68.5760753726,188706,0.0,1.0
2020-05-20,71.05,73.23,71.05,72.76,228455,70.4195715454,72.58022835,70.4195715454,72.114398672,228455,0.0,1.0
2020-05-21,73.08,74.66,72.19,73.64,465930,72.4315593038,73.9975399237,71.5494562964,72.9865904096,465930,0.0,1.0
2020-05-22,73.71,74.29,71.36,71.66,293670,73.0559692978,73.6308229431,70.7268209075,71.0241589999,293670,0.0,1.0
2020-05-26,74.85,76.06,73.81,74.46,303506,74.1858540489,75.3851176882,73.1550819953,73.7993145288,303506,0.0,1.0
2020-05-27,76.49,77.05,72.33,74.39,435490,75.8113022872,76.366333393,71.6882140729,73.7299356406,435490,0.0,1.0
2020-05-28,75.34,75.34,68.51,69.11,456316,74.6715062664,74.6715062664,67.9021090299,68.4967852147,456316,0.0,1.0
2020-05-29,68.54,72.27,67.58,72.0,426950,67.9318428392,71.6287464544,66.9803609435,71.3611421713,426950,0.0,1.0
2020-06-01,73.22,75.56,71.66,74.4,469147,72.5703170803,74.8895542009,71.0241589999,73.7398469103,469147,0.0,1.0
2020-06-02,75.0,75.31,71.31,73.26,297722,74.3345230951,74.6417724572,70.6772645588,72.6099621593,297722,0.0,1.0
2020-06-03,75.3,77.89,74.57,76.72,414179,74.6318611875,77.1988800517,73.908338496,76.0392614914,414179,0.0,1.0
2020-06-04,75.94,77.05,74.44,75.48,311821,75.2661824512,76.366333393,73.7794919893,74.8102640429,311821,0.0,1.0
2020-06-05,78.81,84.5,78.15,81.67,554385,78.1107168683,83.7502293538,77.4565730651,80.9453400157,554385,0.0,1.0
2020-06-08,82.52,83.22,77.7,79.26,278330,81.7877979441,82.4815868263,77.0105659265,78.5567240069,278330,0.0,1.0
2020-06-09,76.49,78.47,75.64,75.89,287426,75.8113022872,77.7737336969,74.9688443588,75.2166261025,287426,0.0,1.0
2020-06-10,75.94,78.7,74.09,76.08,276039,75.2661824512,78.0016929011,73.4325975482,75.4049402276,276039,0.0,1.0
2020-06-11,72.01,73.58,69.22,69.82,451309,71.371053441,72.9271227911,68.6058091819,69.2004853666,451309,0.0,1.0
2020-06-12,72.84,73.4,70.06,72.0,295303,72.1936888299,72.7487199357,69.4383558405,71.3611421713,295303,0.0,1.0
2020-06-15,69.35,73.75,68.97,73.4,231733,68.7346556886,73.0956143768,68.3580274382,72.7487199357,231733,0.0,1.0
2020-06-16,76.35,77.55,74.04,74.43,310575,75.6725445108,76.8618968803,73.3830411995,73.7695807196,310575,0.0,1.0
2020-06-17,74.56,74.88,72.08,72.85,226383,73.8984272263,74.2155878581,71.4404323292,72.2036000997,226383,0.0,1.0
