date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2020-04-13,254.64,254.95,249.38,253.19,7657728,233.17097746,233.4548409654,228.3544547557,231.8432288058,7657728,0.0,1.0
2020-04-14,258.24,261.63,257.21,260.92,6621378,236.4674568775,239.5716416622,235.5242974886,238.921502666,6621378,0.0,1.0
2020-04-15,255.08,256.9,253.11,255.24,4877384,233.5738805,235.2404339832,231.7699737076,233.7203906963,4877384,0.0,1.0
2020-04-16,256.51,257.3,253.4,256.53,5880497,234.8833153797,235.606709474,232.0355234385,234.9016291542,5880497,0.0,1.0
2020-04-17,262.31,264.0,259.5,263.61,6737133,240.1943099966,241.7418239454,237.6212246736,241.3847053418,6737133,0.0,1.0
2020-04-20,259.65,263.1,258.58,258.86,6481640,237.7585779826,240.917704091,236.7787910447,237.0351838883,6481640,0.0,1.0
2020-04-21,254.25,255.49,250.0,250.95,6510095,232.8138588565,233.949312878,228.9221817665,229.7920860572,6510095,0.0,1.0
2020-04-22,255.83,258.23,254.48,256.47,5626265,234.2606470453,236.4582999902,233.0244672637,234.8466878306,5626265,0.0,1.0
2020-04-23,257.75,260.9,256.2,256.42,7632248,236.0187694012,238.9031888915,234.5994518743,234.8009033942,7632248,0.0,1.0
2020-04-24,258.0,260.7,255.94,260.14,4768180,236.247691583,238.7200511461,234.3613728052,238.2072654589,4768180,0.0,1.0
2020-04-27,262.01,264.91,261.57,263.9,3886145,239.9196033785,242.575100687,239.5167003386,241.6502550727,3886145,0.0,1.0
2020-04-28,267.48,267.79,262.3,262.68,5836500,244.9284207156,245.212284221,240.1851531094,240.5331148257,5836500,0.0,1.0
2020-04-29,267.98,271.0,266.91,269.45,6756461,245.3862650791,248.1516450348,244.4064781411,246.7323275079,6756461,0.0,1.0
2020-04-30,268.08,268.58,265.23,267.1,7361081,245.4778339518,245.9356783153,242.8681210797,244.5804589993,7361081,0.0,1.0
2020-05-01,262.14,262.85,258.74,259.82,4789519,240.038642913,240.6887819093,236.925301241,237.9142450662,4789519,0.0,1.0
2020-05-04,257.92,260.9,256.53,260.64,4119615,236.1744364848,238.9031888915,234.9016291542,238.6651098224,4119615,0.0,1.0
2020-05-05,263.45,265.81,262.6,263.04,4424876,241.2381951455,243.3992205414,240.4598597275,240.8627627674,4424876,0.0,1.0
2020-05-06,264.71,265.11,261.14,261.27,3013578,242.3919629416,242.7582384324,239.122954186,239.2419937205,3013578,0.0,1.0
2020-05-07,264.45,266.3,263.9,264.36,3397249,242.1538838726,243.8479080176,241.6502550727,242.0714718871,3397249,0.0,1.0
2020-05-08,267.53,269.14,266.38,268.78,3205471,244.9742051519,246.4484640025,243.9211631158,246.1188160608,3205471,0.0,1.0
2020-05-11,266.78,270.2,266.43,268.82,3463511,244.2874386066,247.4190940532,243.9669475522,246.1554436098,3463511,0.0,1.0
2020-05-12,269.98,270.4,263.33,263.41,5136343,247.2176425332,247.6022317986,241.1283124982,241.2015675964,5136343,0.0,1.0
2020-05-13,262.87,263.9,256.36,258.74,5599664,240.7070956838,241.6502550727,234.7459620706,236.925301241,5599664,0.0,1.0
2020-05-14,256.33,262.0,253.97,261.86,7725639,234.7184914088,239.9104464912,232.5574660129,239.7822500695,7725639,0.0,1.0
2020-05-15,259.54,263.11,258.56,263.04,3385864,237.6578522227,240.9268609783,236.7604772701,240.8627627674,3385864,0.0,1.0
2020-05-18,269.32,272.7,269.06,271.08,6756396,246.6132879734,249.7083158709,246.3752089043,248.224900133,6756396,0.0,1.0
2020-05-19,270.61,272.25,268.34,268.52,4906021,247.7945264313,249.2962559437,245.7159130208,245.8807369917,4906021,0.0,1.0
2020-05-20,271.92,273.79,271.69,272.9,4881047,248.9940786637,250.7064165834,248.7834702565,249.8914536163,4881047,0.0,1.0
2020-05-21,272.8,273.59,269.95,270.94,3575984,249.7998847436,250.5232788379,247.1901718714,248.0967037112,3575984,0.0,1.0
2020-05-22,270.76,271.72,269.5,271.55,2294862,247.9318797403,248.8109409183,246.7781119442,248.6552738347,2294862,0.0,1.0
2020-05-26,277.53,277.74,274.55,275.04,4904172,254.1310924226,254.3233870553,251.4023400159,251.8510274922,4904172,0.0,1.0
2020-05-27,277.78,279.05,272.86,279.05,5144502,254.3600146043,255.5229392877,249.8548260672,255.5229392877,5144502,0.0,1.0
2020-05-28,280.03,282.04,277.81,278.5,4630614,256.4203142402,258.2608485816,254.3874852662,255.0193104878,4630614,0.0,1.0
2020-05-29,278.03,280.35,275.36,279.75,7048743,254.5889367861,256.7133346329,252.1440478848,256.1639213967,7048743,0.0,1.0
2020-06-01,279.07,281.49,278.57,280.97,3888184,255.5412530623,257.7572197818,255.0834086987,257.2810616437,3888184,0.0,1.0
2020-06-02,281.79,283.28,280.46,283.28,4332176,258.0319263999,259.3963026032,256.8140603929,259.3963026032,4332176,0.0,1.0
2020-06-03,285.2,287.93,284.93,287.02,5502257,261.1544249592,263.6542551841,260.9071890029,262.8209784424,5502257,0.0,1.0
2020-06-04,286.0,287.75,284.2,286.29,3813397,261.8869759408,263.4894312132,260.2387362321,262.1525256717,3813397,0.0,1.0
2020-06-05,291.63,295.38,291.61,293.61,6013481,267.0423034742,270.4761362007,267.0239896997,268.8553671538,6013481,0.0,1.0
2020-06-08,294.43,297.32,293.88,297.17,5552820,269.60623191,272.2525723312,269.1026031101,272.1152190222,5552820,0.0,1.0
2020-06-09,294.49,296.39,293.63,295.06,4680423,269.6611732336,271.400981815,268.8736809283,270.183115808,4680423,0.0,1.0
2020-06-10,295.53,296.39,292.59,293.22,5590473,270.6134895098,271.400981815,267.9213646522,268.4982485502,5590473,0.0,1.0
2020-06-11,286.36,286.92,275.8,276.32,7719058,262.2166238826,262.7294095697,252.5469509248,253.0231090628,7719058,0.0,1.0
2020-06-12,283.35,284.15,274.5,279.65,6229840,259.4604008141,260.1929517958,251.3565555796,256.072352524,6229840,0.0,1.0
2020-06-15,273.91,283.35,272.77,282.2,4411376,250.8162992306,259.4604008141,249.7724140817,258.407358778,4411376,0.0,1.0
2020-06-16,290.05,290.2,282.83,287.72,5276413,265.5955152854,265.7328685945,258.984242676,263.4619605514,5276413,0.0,1.0
2020-06-17,288.73,289.02,285.88,286.4,2648832,264.3868061657,264.6523558966,261.7770932936,262.2532514317,2648832,0.0,1.0
2020-06-18,284.97,287.12,284.55,286.66,2741870,260.943816552,262.9125473151,260.5592272866,262.4913305007,2741870,0.0,1.0
2020-06-19,290.04,290.27,283.67,284.97,3477515,265.5863583982,265.7969668054,259.7534212068,260.943816552,3477515,0.0,1.0
2020-06-22,284.35,287.19,283.26,286.86,2497735,260.3760895412,262.976645526,259.3779888287,262.6744682461,2497735,0.0,1.0
2020-06-23,289.51,290.43,287.76,288.16,2497769,265.1010433728,265.9434770017,263.4985881005,263.8648635913,2497769,0.0,1.0
2020-06-24,286.08,286.7,278.97,280.79,4521951,261.960231039,262.5279580498,255.4496841896,257.1162376728,4521951,0.0,1.0
2020-06-25,280.26,284.1,278.22,283.76,3891040,256.6309226475,260.1471673594,254.7629176443,259.8358331922,3891040,0.0,1.0
2020-06-26,282.72,282.92,276.52,277.11,4477820,258.8835169161,259.0666546615,253.2062468082,253.7465031572,4477820,0.0,1.0
2020-06-29,276.89,279.72,274.72,279.7,3464598,254.8443227224,257.4490012348,252.8470957358,257.4305936128,3464598,1.4333,1.0
2020-06-30,279.29,284.95,279.15,283.43,5199133,257.0532373619,262.2625943867,256.9243840079,260.8636151151,5199133,0.0,1.0
2020-07-01,284.37,286.51,283.95,285.37,3702659,261.7287733489,263.6983889024,261.3422132869,262.6491544487,3702659,0.0,1.0
2020-07-02,288.76,290.05,286.18,286.81,3653217,265.769246377,266.9565379957,263.3946631395,263.9745032324,3653217,0.0,1.0
2020-07-06,290.67,291.58,289.9,291.26,3559825,267.5271742776,268.3647210784,266.8184808307,268.0701991265,3559825,0.0,1.0
2020-07-07,289.67,291.68,287.89,288.24,3406646,266.6067931778,268.4567591884,264.9685148201,265.2906482051,3406646,0.0,1.0
2020-07-08,289.0,290.55,287.29,290.38,2427311,265.9901378409,267.4167285456,264.4162861603,267.2602637586,2427311,0.0,1.0
2020-07-09,291.02,291.3,285.41,288.9,3154633,267.8493076625,268.1070143704,262.6859696927,265.8980997309,3154633,0.0,1.0
2020-07-10,288.72,292.01,287.34,291.8,2711122,265.732431133,268.7604849513,264.4623052153,268.5672049203,2711122,0.0,1.0
2020-07-13,294.1,296.45,288.61,289.16,3644507,270.6840814499,272.8469770344,265.631189212,266.1373988169,3644507,0.0,1.0
2020-07-14,287.79,293.32,286.63,293.03,4024306,264.8764767102,269.966184192,263.8088346344,269.6992736731,4024306,0.0,1.0
2020-07-15,296.19,296.75,293.35,295.63,6582265,272.6076779484,273.1230913643,269.993795625,272.0922645326,6582265,0.0,1.0
2020-07-16,293.8,295.11,293.15,294.77,3729551,270.4079671199,271.6136663607,269.8097194051,271.3007367867,3729551,0.0,1.0
2020-07-17,295.72,296.35,293.75,295.55,2244917,272.1750988315,272.7549389244,270.3619480649,272.0186340446,2244917,0.0,1.0
2020-07-20,295.33,298.68,294.6,298.01,2537064,271.8161502026,274.8994268869,271.1442719998,274.2827715501,2537064,0.0,1.0
